Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kolchanov;M;B;Single-ply;49.5;45-49;50-59;Open;148.1;120+;;;;;;225;-237.5;237.5;;237.5;;;;;;237.5;2;128.16;131.64;124.59;65.94;Yes;Russia;;FPR;IPF;2019-12-21;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksandr Kolchanov;M;B;Raw;49.5;45-49;50-59;Open;149.6;120+;;;;;;170;180;-185;;180;;;;;;180;5;96.87;99.63;94.22;69.58;Yes;Russia;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Kolchanov;M;B;Single-ply;49.5;45-49;50-59;Open;148.89;120+;;;;;;215;225;235;;235;;;;;;235;1;126.63;130.16;123.14;65.17;Yes;Russia;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Kolchanov;M;B;Single-ply;48.5;45-49;40-49;Open;152.35;120+;;;;;;-245;245;-262.5;;245;;;;;;245;3;131.20;135.26;127.73;67.64;Yes;Russia;;FPR;IPF;2018-05-12;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Kolchanov;M;B;Raw;48.5;45-49;40-49;Open;152.8;120+;;;;;;180;;;;180;;;;;;180;7;96.32;99.33;93.78;69.05;Yes;Russia;;FPR;IPF;2018-05-12;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Kolchanov;M;B;Raw;46.5;45-49;40-49;Masters 1;150.3;120+;;;;;;185;195;-200;;195;;;;;;195;2;104.81;107.86;101.97;75.25;Yes;Russia;;FPR;IPF;2016-08-11;Russia;LEN;Zelenogorsk;Russian Masters Bench Press Championships
Aleksandr Kolchanov;M;SBD;Raw;46.5;45-49;40-49;Masters 1;150.4;120+;;;;;235;;;;;185;;;;;265;685;3;368.10;378.87;358.15;72.63;Yes;Russia;;FPR;IPF;2016-03-31;Russia;NIZ;Kstovo;Russian Masters Powerlifting Championships
Aleksandr Kolchanov;M;SBD;Single-ply;46.5;45-49;40-49;Masters 1;151.65;120+;;;;;305;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2016-03-31;Russia;NIZ;Kstovo;Russian Masters Powerlifting Championships
Aleksandr Kolchanov;M;B;Single-ply;45.5;45-49;40-49;Masters 1;151.5;120+;;;;;;235;-250;-250;;235;;;;;;235;4;126.04;129.84;122.67;64.95;Yes;Russia;;FPR;IPF;2015-07-30;Russia;KOS;Kostroma;Russian Masters Bench Press Championships
Aleksandr Kolchanov;M;B;Raw;45.5;45-49;40-49;Masters 1;151.5;120+;;;;;;180;-190;190;;190;;;;;;190;6;101.90;104.98;99.18;73.11;Yes;Russia;;FPR;IPF;2015-07-30;Russia;KOS;Kostroma;Russian Masters Bench Press Championships
