Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kononov;M;B;Raw;24;24-34;24-39;Open;79.7;82.5;;;;;;145;147.5;-152.5;;147.5;;;;;;147.5;1;101.93;100.94;97.27;75.65;Yes;;;RPU;;2016-12-23;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Kononov;M;SBD;Raw;20.5;20-23;19-23;Pro Juniors 20-23;81.9;82.5;150;-160;-170;;150;110;120;-130;;120;170;180;-190;;180;450;1;306.10;302.79;291.44;62.71;;;;WPC-RUS;WPC;2011-02-24;Russia;MOW;Khotkovo;Moscow Powerlifting and Bench Press Championships
Aleksandr Kononov;M;SBD;Raw;19.5;20-23;19-23;Pro Juniors 20-23;79.9;82.5;120;135;-145;;135;105;-110;-110;;105;140;150;-160;;150;390;2;269.12;266.46;256.76;55.04;;;;WPC-RUS;WPC;2010-10-22;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksandr Kononov;M;B;Raw;19.5;20-23;19-23;Juniors;82.3;82.5;;;;;;85;95;100;;100;;;;;;100;1;67.83;67.09;64.56;50.45;;;;BB;;2010-03-07;Russia;;;Russian Hero
Aleksandr Kononov;M;SBD;Single-ply;20.5;20-23;19-23;Open;87.1;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2005-01-23;Russia;SVE;Verkhnyaya Pyshma;Urals & Volga Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;19.5;20-23;19-23;Open;82;82.5;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2004-08-29;Russia;VOR;Voronezh;Russian Powerlifting Cup
Aleksandr Kononov;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;87;90;-310;-315;-315;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2004-04-15;Russia;LEN;Priozersk;Russian Juniors Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;19.5;20-23;19-23;Open;89.4;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2004-01-22;Russia;CHE;Chelyabinsk;Urals & Volga Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;18.5;18-19;19-23;Open;89.4;90;;;;;300;;;;;200;;;;;280;780;13;506.06;499.66;479.01;86.38;Yes;;;FPR;IPF;2003-10-01;Russia;KO;Syktyvkar;Russian Powerlifting Cup
Aleksandr Kononov;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;82.3;82.5;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2003-04-03;Russia;KYA;Krasnoyarsk;Russian Juniors Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;18.5;18-19;19-23;Open;82.45;82.5;;;;;282.5;;;;;182.5;;;;;260;725;3;491.28;485.86;467.50;84.05;Yes;;;FPR;IPF;2003-01-24;Russia;BA;Ufa;Urals & Volga Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;17.5;18-19;14-18;Open;81.9;82.5;;;;;265;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2002-11-21;Russia;MOW;Moscow;Russian Students Powerlifting Championships
Aleksandr Kononov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;81.75;82.5;;;;;265;;;;;180.5;;;;;265;710;3;483.46;478.26;460.37;82.72;Yes;;;FPR;IPF;2002-08-01;Russia;SVE;Rezh;Russian Sub-Juniors Powerlifting Championships
