Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Koryavko;M;B;Raw;38;35-39;24-39;Open;79.6;83;;;;;;-155;-155;155;;155;;;;;;155;3;107.20;106.15;102.31;79.55;Yes;Russia;;FPR;IPF;2021-04-24;Russia;MUR;Apatity;Apatity Classic Bench Press Championships
Aleksandr Koryavko;M;B;Raw;29;24-34;24-39;Pro Open;74.6;75;;;;;;145;152.5;-160;;152.5;;;;;;152.5;5;109.78;109.07;105.41;80.98;;Russia;;WPC-RUS;WPC;2012-06-07;Russia;MOW;Moscow;Russian Powerlifting Championships
Aleksandr Koryavko;M;B;Raw;29;24-34;24-39;Open;73.65;75;;;;;;-150;-150;-150;;;;;;;;;DQ;;;;;;Russia;;WPA-RUS;WPA;2012-05-07;Russia;MOW;Moscow;Russian BP & DL Championships
Aleksandr Koryavko;M;B;Raw;29;24-34;24-39;Open;73.3;75;;;;;;140;150;;;150;;;;;;150;1;109.22;108.63;105.07;80.40;;Russia;;WPA-RUS;WPA;2012-03-25;Russia;MOW;Moscow;NFD Cup
Aleksandr Koryavko;M;B;Multi-ply;29;24-34;24-39;Open;73.3;75;;;;;;-150;155;-160;;155;;;;;;155;1;112.86;112.25;108.57;60.86;;Russia;;WPA-RUS;WPA;2012-03-25;Russia;MOW;Moscow;NFD Cup
Aleksandr Koryavko;M;B;Single-ply;29;24-34;24-39;Open;73.35;75;;;;;;145;150;;;150;;;;;;150;2;109.17;108.58;105.01;58.86;;Russia;;WPA-RUS;WPA;2011-12-24;Russia;MOW;Moscow;Russian Cup
Aleksandr Koryavko;M;B;Raw;29;24-34;24-39;Open;73.35;75;;;;;;-150;150;152.5;;152.5;;;;;;152.5;1;110.99;110.39;106.76;81.71;;Russia;;WPA-RUS;WPA;2011-12-24;Russia;MOW;Moscow;Russian Cup
Aleksandr Koryavko;M;SBD;Wraps;29;24-34;24-39;Open;72.5;75;150;165;175;;175;130;140;145;;145;160;;;;160;480;2;352.06;350.40;339.06;71.22;;Russia;;WPC;WPC;2011-09-27;Russia;SVE;Yekaterinburg;World Cup
Aleksandr Koryavko;M;B;Raw;28;24-34;24-39;Pro Open;73.1;75;;;;;;145;-152.5;;;145;;;;;;145;1;105.77;105.22;101.78;77.83;;Russia;;WPC-RUS;WPC;2011-05-26;Russia;MOW;Khotkovo;Moscow Regional Cup
Aleksandr Koryavko;M;B;Multi-ply;28;24-34;24-39;Pro Open;73.1;75;;;;;;140;-150;150;;150;;;;;;150;1;109.42;108.85;105.29;59.04;;Russia;;WPC-RUS;WPC;2011-05-26;Russia;MOW;Khotkovo;Moscow Regional Cup
Aleksandr Koryavko;M;B;Multi-ply;28;24-34;24-39;Pro Open;73.2;75;;;;;;145;152.5;155;;155;;;;;;155;1;112.97;112.36;108.68;60.93;;Russia;;WPC-RUS;WPC;2011-05-21;Russia;MOW;Puschino;Puschino Bench Press Championship
