Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kovalevskiy;M;B;Raw;55;55-59;50-59;Pro Masters 55-59;136.9;140;;;;;;210;-215;215;;215;;;;;;215;1;118.57;120.56;114.77;85.94;;;;WPC;WPC;2018-07-20;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Kovalevskiy;M;B;Raw;55;55-59;50-59;Pro Open;136.9;140;;;;;;210;-215;215;;215;;;;;;215;1;118.57;120.56;114.77;85.94;;;;WPC;WPC;2018-07-20;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Kovalevskiy;M;B;Raw;52.5;50-54;50-59;Masters 2;130;120+;;;;;;-180;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2016-08-11;Russia;LEN;Zelenogorsk;Russian Masters Bench Press Championships
Aleksandr Kovalevskiy;M;B;Raw;52;50-54;50-59;Pro Masters 50-54;138.6;140;;;;;;210;220;-230;;220;;;;;;220;1;120.91;123.12;117.12;87.52;;;;WPC;WPC;2015-08-01;Russia;AMU;Blagoveschensk;East Asian Championships
Aleksandr Kovalevskiy;M;B;Raw;51.5;50-54;50-59;Masters 2;132.9;120+;;;;;;170;180;190;;190;;;;;;190;2;105.69;107.05;102.12;76.84;Yes;;;FPR;IPF;2015-07-30;Russia;KOS;Kostroma;Russian Masters Bench Press Championships
Aleksandr Kovalevskiy;M;B;Raw;51;50-54;50-59;M-O;141;140+;;;;;;220;230;-235;;230;;;;;;230;1;125.79;128.39;121.97;90.89;;;;GPC-RUS;GPC;2014-12-14;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Kovalevskiy;M;B;Raw;51;50-54;50-59;M-M3;141;140+;;;;;;220;230;-235;;230;;;;;;230;1;125.79;128.39;121.97;90.89;;;;GPC-RUS;GPC;2014-12-14;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Kovalevskiy;M;B;Raw;51;50-54;50-59;M_MR_3_WPC;140.6;140+;;;;;;210;220;230;235;230;;;;;;230;1;125.89;128.44;122.05;90.99;;Russia;;WPC;WPC;2014-11-10;USA;FL;;World Championships
Aleksandr Kovalevskiy;M;B;Raw;50;50-54;50-59;Pro Masters 50-54;130.4;140;;;;;;-200;200;210;;210;;;;;;210;1;117.48;118.71;113.38;85.58;;;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Kovalevskiy;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;81.6;82.5;;;;;175;;;;;95;;;;;190;460;5;313.56;310.21;298.63;53.65;Yes;Belarus;;BelPF;IPF;2008-09-10;Belarus;;Minsk;Belarus Sub-Juniors Powerlifting Championships
Aleksandr Kovalevskiy;M;SBD;Single-ply;17.5;18-19;14-18;Open;81.3;82.5;;;;;175;;;;;95;;;;;200;470;6;321.05;317.67;305.86;54.94;Yes;Belarus;;BelPF;IPF;2008-03-10;Belarus;;Minsk;Minsk Powerlifting Championships
