Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Krovikov;M;B;Multi-ply;60;60-64;60-69;Masters 60-64;93.4;100;;;;;;150;-160;;;150;;;;;;150;2;95.24;94.04;89.99;49.49;;Russia;;RPU;;2022-06-24;Russia;VLA;Suzdal;National Championships
Aleksandr Krovikov;M;B;Multi-ply;60;60-64;60-69;Masters 60-64;93.3;100;;;;;;150;-160;-160;;150;;;;;;150;1;95.29;94.09;90.04;49.52;;Russia;;RPU;;2022-04-30;Russia;MOW;Zhukovsky;Constellation of Power
Aleksandr Krovikov;M;B;Raw;60;60-64;60-69;Pro Masters 60-69;93.6;100;;;;;;140;-150;150;;150;;;;;;150;1;95.14;93.94;89.89;70.94;;Russia;;WRPF;WRPF;2022-04-02;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Krovikov;M;B;Multi-ply;60;60-64;60-69;Masters 60-64;93;100;;;;;;150;160;170;;170;;;;;;170;1;108.16;106.79;102.21;56.23;;Russia;;RPU;;2021-12-25;Russia;VLG;Vologda;Russian North
Aleksandr Krovikov;M;B;Multi-ply;59;55-59;60-69;Masters 55-59;98.5;100;;;;;;160;170;175;;175;;;;;;175;2;108.43;107.16;102.38;56.08;;Russia;;RPU;;2021-06-19;Russia;VLA;Suzdal;National Championships
Aleksandr Krovikov;M;B;Multi-ply;59;55-59;60-69;Masters 55-59;100.3;110;;;;;;160;-170;-170;;160;;;;;;160;2;98.36;97.26;92.89;50.79;;Russia;;IPL;IPL;2021-04-17;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Krovikov;M;D;Raw;58;55-59;50-59;Amateur Masters 50-59;94.6;100;;;;;;;;;;;180;220;240;;240;240;1;151.47;149.57;143.07;;Yes;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Krovikov;M;SBD;Multi-ply;57;55-59;50-59;Masters 55-59;92.4;100;170;180;-185;;180;140;-150;-150;;140;180;220;-250;;220;540;1;344.65;340.27;325.76;58.76;Yes;Russia;;WPF;;2019-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Krovikov;M;SBD;Multi-ply;57;55-59;50-59;Masters 55-59;95.4;100;180;-190;-190;;180;140;150;155;;155;180;210;240;;240;575;1;361.47;356.99;341.37;61.55;;Russia;;RPU;;2019-03-23;Russia;MOW;Moscow;Russian Powerlifting Cup
Aleksandr Krovikov;M;SBD;Multi-ply;57;55-59;50-59;Masters 50-59;95.6;100;160;180;200;;200;140;150;155;;155;160;200;240;;240;595;1;373.68;369.06;352.88;63.62;Yes;Russia;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Krovikov;M;SBD;Multi-ply;56;55-59;50-59;Masters 55-59;96.5;100;200;210;-215;;210;150;160;-170;;160;200;230;240;;240;610;1;381.46;376.81;360.19;64.92;Yes;Russia;;RPU;;2018-04-14;Russia;MOW;Moscow;Central Federal District Tournament
Aleksandr Krovikov;M;SBD;Multi-ply;56;55-59;50-59;Masters 55-59;97.4;100;-200;200;220;;220;160;170;-180;;170;200;230;250;;250;640;1;398.54;393.76;376.29;67.79;Yes;Russia;;GPA;GPA;2017-11-18;Russia;;Dolgoprudny;World Cup
Aleksandr Krovikov;M;SBD;Multi-ply;55;55-59;50-59;Amateur Masters 55-59;94.8;100;-220;220;240;;240;160;-180;180;;180;200;230;250;;250;670;3;422.43;417.16;398.98;71.95;Yes;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Aleksandr Krovikov;M;B;Multi-ply;55;55-59;50-59;Amateur Masters 55-59;93.6;100;;;;;;160;-170;170;;170;;;;;;170;1;107.83;106.47;101.88;56.02;Yes;Russia;;WPC-RUS;WPC;2017-04-23;Russia;MOW;Moscow;Kremlin Gym Competition
Aleksandr Krovikov;M;SBD;Multi-ply;55;55-59;50-59;Amateur Masters 55-59;94.4;100;200;220;240;;240;160;175;-180;;175;200;240;260;;260;675;1;426.43;421.08;402.80;72.64;Yes;Russia;;WPC-RUS;WPC;2017-02-25;Russia;MOW;Moscow;Megapolis Championship
Aleksandr Krovikov;M;SBD;Multi-ply;54;50-54;50-59;Amateur Masters 50-54;98.1;100;-220;-220;-220;;;-180;;;;;-230;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2016-06-08;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Krovikov;M;SBD;Single-ply;;50-54;50-59;Amateur Masters 50-54;97.55;100;-215;230;240;;240;180;-195;195;;195;250;-275;-275;;250;685;1;426.26;421.17;402.47;72.51;Yes;Russia;;NAP;IPA;2015-10-16;Russia;SVE;Ekaterinbourg;Golden Tiger 9
Aleksandr Krovikov;M;SBD;Multi-ply;53;50-54;50-59;Amateur Masters 50-54;99.4;100;220;230;-235;;230;180;190;-195;;190;-240;240;-270;;240;660;1;407.30;402.64;384.61;69.22;Yes;Russia;;WPC-RUS;WPC;2015-06-07;Ukraine;;Surdak;Crimean Cup
Aleksandr Krovikov;M;SBD;Multi-ply;52;50-54;50-59;M_MEM_3_AWPC;99.65;100;210;225;232.5;;232.5;160;175;185;;185;240;270;-290;;270;687.5;1;423.81;418.99;400.21;72.02;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Krovikov;M;SBD;Multi-ply;51;50-54;50-59;Amateur Masters 50-54;96;100;235;-245;-245;;235;155;;-175;;155;-240;240;-275;;240;630;1;394.90;390.05;372.90;67.22;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
