Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kurak;M;B;Raw;28.5;24-34;24-39;Open;122;;;;;;;220;235;-245;;235;;;;;;235;2;134.23;134.60;128.97;98.45;;Belarus;;UPC;UPC;2016-04-16;Belarus;;Minsk;Zeus Gym Raw Bench Press & Deadlift Open
Aleksandr Kurak;M;D;Raw;28.5;24-34;24-39;Open;122;;;;;;;;;;;;310;330;340;;340;340;1;194.20;194.74;186.60;;;Belarus;;UPC;UPC;2016-04-16;Belarus;;Minsk;Zeus Gym Raw Bench Press & Deadlift Open
Aleksandr Kurak;M;SBD;Wraps;27.5;24-34;24-39;Open;120.15;125;360;-370;-370;;360;225;235;-240;;235;305;320;330;;330;925;1;531.01;531.65;509.46;107.47;;Ukraine;;GPA;GPA;2015-11-06;Ukraine;;Kyiv;World Cup
Aleksandr Kurak;M;SBD;Wraps;27.5;24-34;24-39;Pro Open;125;125;360;380;;;380;230;240;250;;250;320;-330;-330;;320;950;1;538.42;541.35;518.06;108.51;;Belarus;;WPA;;2015-05-14;Ukraine;;Lutsk;World Championships
Aleksandr Kurak;M;B;Raw;25.5;24-34;24-39;Pro Open;119.2;125;;;;;;220;230;235;;235;;;;;;235;3;135.26;135.32;129.66;99.43;;Belarus;;WPAU;;2013-01-26;Ukraine;;Yaremche;Challenge at the Foot
Aleksandr Kurak;M;B;Raw;24.5;24-34;24-39;Pro Open;119;125;;;;;;220;230;-235;;230;;;;;;230;1;132.46;132.49;126.95;97.38;;;;WPAU;;2012-09-29;Ukraine;;Chernigov;Open Ukraine Bench Press Cup
Aleksandr Kurak;M;B;Raw;24.5;24-34;24-39;Open;117.4;125;;;;;;210;227.5;-237.5;;227.5;;;;;;227.5;2;131.63;131.49;125.95;96.89;;Belarus;;WPA;;2012-06-30;Russia;MOW;Moscow;European BP & DL Championships
Aleksandr Kurak;M;SBD;Single-ply;23.5;24-34;24-39;Open;120.5;120+;;;;;320;;;;;230;;;;;300;850;1;487.49;488.21;467.84;82.02;Yes;Belarus;;BelPF;IPF;2011-04-14;Belarus;;Gomel;Belarus Powerlifting Championships
Aleksandr Kurak;M;SBD;Single-ply;22.5;20-23;19-23;Open;120.5;125;310;330;350;;350;220;240;-250;;240;260;280;290;;290;880;1;504.69;505.45;484.36;84.91;Yes;Belarus;;BelPF;IPF;2010-11-18;Belarus;;Lida;Belarus Cup
Aleksandr Kurak;M;B;Single-ply;22.5;20-23;19-23;Open;120.5;125;;;;;;220;240;-250;;240;;;;;;240;2;137.64;137.85;132.10;70.50;Yes;Belarus;;BelPF;IPF;2010-11-18;Belarus;;Lida;Belarus Cup
Aleksandr Kurak;M;B;Single-ply;22.5;20-23;19-23;Open;114;125;;;;;;230;-240;240;;240;;;;;;240;4;140.29;139.78;133.76;71.96;Yes;;;BelPF;IPF;2010-06-18;Belarus;;Svetlahorsk;Belarus Bench Press Championships
Aleksandr Kurak;M;B;Single-ply;21.5;20-23;19-23;Open;112.45;125;;;;;;210;230;-240;;230;;;;;;230;5;135.11;134.47;128.62;69.33;Yes;;;BelPF;IPF;2009-11-19;Belarus;;Lida;Belarus Bench Press Cup
Aleksandr Kurak;M;B;Single-ply;21.5;20-23;19-23;Open;115;125;;;;;;220;235;-241;;235;;;;;;235;5;136.95;136.55;130.71;70.22;Yes;;;BelPF;IPF;2009-06-18;Belarus;;Gorki;Belarus Bench Press Championships
Aleksandr Kurak;M;SBD;Single-ply;21.5;20-23;19-23;Open;109.6;110;;;;;330;;;;;225;;;;;292.5;847.5;1;502.64;499.31;477.16;84.99;Yes;Belarus;;BelPF;IPF;2009-04-23;Belarus;;Polotsk;Belarus Powerlifting Championships
Aleksandr Kurak;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;114.2;100+;;;;;300;;;;;225;;;;;290;815;3;476.12;474.45;454.04;80.33;Yes;Belarus;;BelPF;IPF;2008-11-20;Belarus;;Minsk;Belarus Juniors Powerlifting Championships
Aleksandr Kurak;M;B;Single-ply;20.5;20-23;19-23;Open;119.4;125;;;;;;220;240;-252.5;;240;;;;;;240;6;138.06;138.14;132.37;70.73;Yes;;;BelPF;IPF;2008-05-29;Belarus;;Minsk;Belarus Bench Press Championships
Aleksandr Kurak;M;SBD;Single-ply;20.5;20-23;19-23;Open;118.7;110+;;;;;300;;;;;240;;;;;300;840;1;484.18;484.18;463.90;81.52;Yes;Belarus;;BelPF;IPF;2008-03-17;Belarus;;Minsk;Belarus Powerlifting Championships
Aleksandr Kurak;M;B;Single-ply;19.5;20-23;19-23;Open;111.2;125;;;;;;200;220;230;;230;;;;;;230;1;135.67;134.91;128.99;69.65;Yes;;;BelPF;IPF;2007-11-22;Belarus;;Lida;Belarus Bench Press Cup
Aleksandr Kurak;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;111.2;125;;;;;320;;;;;230;;;;;290;840;1;495.49;492.72;471.08;83.72;Yes;Belarus;;BelPF;IPF;2007-11-22;Belarus;;Lida;Belarus Juniors Powerlifting Championships
