Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Kuznetsov #1;M;B;Raw;40;40-44;40-49;Pro Open;119.5;125;;;;;;230;-240;240;;240;;;;;;240;3;138.03;138.12;132.35;101.43;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Kuznetsov #1;M;B;Raw;39;35-39;40-49;Pro Open;119.8;125;;;;;;220;230;240;;240;;;;;;240;1;137.91;138.03;132.27;101.32;;Russia;;WRPF;WRPF;2019-05-25;Russia;;Taldom;Taldom Cup
Aleksandr Kuznetsov #1;M;B;Raw;39;35-39;40-49;Open;119.5;125;;;;;;215;-230;-230;;215;;;;;;215;1;123.65;123.73;118.56;90.87;;Russia;;IPL;IPL;2019-04-19;Russia;MOW;Dolgoprudnyy;European Championships
Aleksandr Kuznetsov #1;M;B;Raw;39;35-39;24-39;Open;116.6;125;;;;;;225;-240;-240;;225;;;;;;225;3;130.49;130.27;124.75;96.11;;Russia;;RPU;;2018-12-23;Russia;;Yegoryevsk;Yegoryevsk Cup
Aleksandr Kuznetsov #1;M;B;Raw;39;35-39;;Open;117.4;125;;;;;;235;240;-245;;240;;;;;;240;2;138.86;138.71;132.87;102.21;;Russia;;RPU;;2018-06-22;Russia;VLA;Suzdal;Russian Championships
Aleksandr Kuznetsov #1;M;B;Raw;38;35-39;24-39;Open;118.5;125;;;;;;240;-250;-250;;240;;;;;;240;2;138.42;138.39;132.59;101.80;;Russia;;GPA;GPA;2017-11-18;Russia;;Dolgoprudny;World Cup
Aleksandr Kuznetsov #1;M;B;Raw;37;35-39;24-39;Pro Open;117.2;125;;;;;;240;250;255;;255;;;;;;255;1;147.62;147.44;141.22;108.68;;Russia;;WPC-RUS;WPC;2017-04-23;Russia;MOW;Moscow;Kremlin Gym Competition
Aleksandr Kuznetsov #1;M;SBD;Wraps;38;35-39;24-39;Pro Open;89.2;90;-185;195;-205;;195;-137.5;147.5;-157.5;;147.5;215;-240;-240;;215;557.5;4;362.11;357.54;342.80;74.44;;Russia;;WPC-RUS;WPC;2017-02-25;Russia;MOW;Moscow;Megapolis Championship
Aleksandr Kuznetsov #1;M;B;Raw;36.5;35-39;24-39;O;118.7;125;;;;;;235;-245;-245;;235;;;;;;235;1;135.46;135.45;129.78;99.61;;Russia;;Vityaz;;2016-11-05;Russia;MOW;Moscow;Ivan Poddubniy International Tournament
Aleksandr Kuznetsov #1;M;D;Raw;37.5;35-39;24-39;Pro Open;86.5;90;;;;;;;;;;;205;220;-235;;220;220;2;145.20;143.43;137.70;;;Russia;;WPC-RUS;WPC;2016-10-30;Russia;MOW;Moscow;Wild Athletic Bench Press & Deadlift Cup
Aleksandr Kuznetsov #1;M;B;Raw;37.5;35-39;24-39;Pro Open;86.5;90;;;;;;-140;-140;-150;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2016-10-30;Russia;MOW;Moscow;Wild Athletic Bench Press & Deadlift Cup
Aleksandr Kuznetsov #1;M;SBD;Wraps;38;35-39;24-39;Pro Open;84.4;90;180;-195;-210;;180;140;-150;-150;;140;195;210;220;;220;540;2;361.17;356.95;343.09;74.12;;Russia;;WPC-RUS;WPC;2016-10-08;Russia;MOW;Moscow;PROMotion
Aleksandr Kuznetsov #1;M;B;Raw;37.5;35-39;24-39;Pro Open;86.8;90;;;;;;140;-150;-160;;140;;;;;;140;5;92.23;91.10;87.45;68.74;;Russia;;WPC-RUS;WPC;2016-04-23;Russia;MOW;Moscow;Moscow Kremlin Bench Press Championships
Aleksandr Kuznetsov #1;M;B;Raw;36.5;35-39;24-39;O;115.8;125;;;;;;230;240;-245;;240;;;;;;240;2;139.52;139.20;133.28;102.83;;Russia;;Vityaz;;2016-04-02;Russia;MOW;Moscow;Russian Cup
Aleksandr Kuznetsov #1;M;B;Raw;35.5;35-39;24-39;Pro Open;116.9;125;;;;;;215;225;232.5;;232.5;;;;;;232.5;2;134.72;134.52;128.84;99.20;;Russia;;WPC-RUS;WPC;2015-10-24;Russia;MOW;Moscow;PROMotion
Aleksandr Kuznetsov #1;M;B;Raw;35.5;35-39;24-39;Amateur Open;112;125;;;;;;200;207.5;-212.5;;207.5;;;;;;207.5;1;122.08;121.46;116.15;90.22;Yes;Russia;;WPC-RUS;WPC;2015-02-20;Russia;MOW;Moscow;Megapolis Tournament
Aleksandr Kuznetsov #1;M;SBD;Raw;34.5;24-34;24-39;Amateur Open;105.3;110;-215;-215;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2014-02-20;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Kuznetsov #1;M;B;Raw;33.5;24-34;24-39;Amateur Open;108.7;110;;;;;;195;-205;-205;;195;;;;;;195;2;116.01;115.18;110.05;85.94;Yes;Russia;;WPC-RUS;WPC;2013-10-10;Russia;MOW;Moscow;PROdvijenie Championships
Aleksandr Kuznetsov #1;M;B;Raw;;;;Amateur Open;109.4;110;;;;;;-200;207.5;-212.5;;207.5;;;;;;207.5;2;123.15;122.32;116.89;91.18;Yes;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Kuznetsov #1;M;SBD;Raw;33;24-34;24-39;Amateur Open;109.3;110;210;220;225;;225;195;205;-210;;205;230;240;-245;;240;670;5;397.78;395.07;377.52;81.20;Yes;Russia;;WPC-RUS;WPC;2013-02-22;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Kuznetsov #1;M;SBD;Raw;32.5;24-34;24-39;Amateur Open;108.1;110;205;215;-220;;215;195;-205;-205;;195;225;235;-245;;235;645;2;384.56;381.66;364.61;78.57;Yes;Russia;;WPC-RUS;WPC;2012-10-25;Russia;MOW;Moscow;PROdvijenie Championships
Aleksandr Kuznetsov #1;M;B;Raw;32;24-34;24-39;Amateur Open;107.65;110;;;;;;195;205;210;;210;;;;;;210;6;125.41;124.43;118.86;92.96;Yes;Russia;;WPC-RUS;WPC;2012-06-07;Russia;MOW;Moscow;Russian Powerlifting Championships
Aleksandr Kuznetsov #1;M;SBD;Raw;32.5;24-34;24-39;Amateur Open;107.8;110;205;215;220;;220;-185;195;200;;200;220;-240;;;220;640;3;381.99;379.05;362.09;78.06;Yes;Russia;;WPC-RUS;WPC;2012-02-23;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Kuznetsov #1;M;B;Raw;32.5;24-34;24-39;Amateur Open;107.8;110;;;;;;185;-195;-200;;185;;;;;;185;5;110.42;109.57;104.67;81.84;Yes;Russia;;WPC-RUS;WPC;2012-02-23;Russia;MOW;Moscow;Megapolis Championships
Aleksandr Kuznetsov #1;M;SBD;Raw;31.5;24-34;24-39;Amateur Open;107.5;110;200;215;;;215;-185;;;;;-220;;;;;215;5;128.46;127.45;121.74;26.26;Yes;Russia;;WPC-RUS;WPC;2011-10-10;Russia;MOW;Khotkovo;PRODvijenie
Aleksandr Kuznetsov #1;M;B;Raw;31.5;24-34;24-39;Amateur Open;109.1;110;;;;;;185;195;200;;200;;;;;;200;2;118.82;118.00;112.75;88.00;Yes;Russia;;WPC-RUS;WPC;2011-08-27;Russia;MOW;Moscow;Kremlin Press Moscow Bench Press Tournament
Aleksandr Kuznetsov #1;M;SBD;Raw;31.5;24-34;24-39;Amateur Open;104.05;110;-200;205;-215;;205;180;187.5;192.5;;192.5;210;225;-237.5;;225;622.5;3;376.81;373.18;356.33;77.18;Yes;Russia;;WPC-RUS;WPC;2011-05-26;Russia;MOW;Khotkovo;Moscow Regional Cup
Aleksandr Kuznetsov #1;M;B;Raw;30.5;24-34;24-39;Amateur Open;101.9;110;;;;;;177.5;185;-190;;185;;;;;;185;1;112.96;111.77;106.73;84.00;Yes;Russia;;WPC-RUS;WPC;2010-10-22;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksandr Kuznetsov #1;M;B;Raw;30.5;24-34;24-39;Amateur Open;99.45;100;;;;;;170;-180;182.5;;182.5;;;;;;182.5;1;112.60;111.31;106.33;83.83;Yes;Russia;;WPC-RUS;WPC;2010-02-04;Russia;MOW;Krasnoarmeysk;Moscow Powerliftng and Bench PressChampionships
Aleksandr Kuznetsov #1;M;B;Raw;29.5;24-34;24-39;Amateur Open;97.9;100;;;;;;175;180;-185;;180;;;;;;180;2;111.83;110.50;105.59;83.30;Yes;Russia;;WPC-RUS;WPC;2009-10-16;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksandr Kuznetsov #1;M;SBD;Raw;28.5;24-34;24-39;Amateur Open;94.6;100;170;-180;180;;180;160;170;-172.5;;170;180;190;-200;;190;540;4;340.80;336.54;321.90;70.06;Yes;Russia;;WPC-RUS;WPC;2008-11-02;Russia;MOW;Pushkino;Russian Bogatyr
Aleksandr Kuznetsov #1;M;SBD;Raw;28.5;24-34;24-39;Amateur Open;90.5;100;155;165;-170;;165;-145;145;-150;;145;165;175;;;175;485;2;312.73;308.76;295.84;64.30;Yes;Russia;;WPC-RUS;WPC;2008-05-24;Russia;MOW;Pushkino;Flawless Victory Raw Powerliftng and Bench Press Meet
