Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Laptev;M;B;Raw;26.5;24-34;24-39;Open;82.8;83;;;;;;-60;80;-100;;80;;;;;;80;16;54.08;53.48;51.45;40.23;Yes;Russia;;FPR;IPF;2019-11-04;Russia;NVS;Novosibirsk;Dynamo Classic Bench Press Championships
Aleksandr Laptev;M;B;Raw;49.5;45-49;50-59;Masters 2;79.7;83;;;;;;100;105;-107.5;;105;;;;;;105;2;72.56;71.85;69.24;53.86;Yes;Russia;;FPR;IPF;2019-04-07;Russia;MUR;Apatity;Apatity Classic Bench Press Championships
Aleksandr Laptev;M;SBD;Raw;48.5;45-49;40-49;Open;82;83;;;;;140;;;;;100;;;;;170;410;2;278.69;275.67;265.32;57.10;Yes;Russia;;FPR;IPF;2018-12-08;Russia;MUR;Aptatity;Aptatity Classic Powerlifting Champioships
Aleksandr Laptev;M;B;Single-ply;48.5;45-49;40-49;Masters 1;77.8;83;;;;;;90;95;-100;;95;;;;;;95;3;66.61;66.03;63.70;35.50;Yes;Russia;;FPR;IPF;2018-04-08;Russia;MUR;Apatity;Apatity Masters Bench Press Championships
Aleksandr Laptev;M;SBD;Raw;47.5;45-49;40-49;Open;78.4;83;;;;;130;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2017-11-16;Russia;MUR;Murmansk;Murmansk Oblast Powerlifting Championships
Aleksandr Laptev;M;B;Raw;47.5;45-49;40-49;Open;77.7;83;;;;;;97.5;-102.5;105;;105;;;;;;105;4;73.68;73.05;70.47;54.57;Yes;Russia;;FPR;IPF;2017-10-22;Russia;MUR;Apatity;Apatity Classic Bench Press Championships
Aleksandr Laptev;M;D;Single-ply;47.5;45-49;40-49;Open;76.4;83;;;;;;;;;;;160;-170;-170;;160;160;8;113.45;112.57;108.68;;Yes;Russia;;FPR;IPF;2017-05-07;Russia;MUR;Apatity;Vladimir Korepin Deadlift Memorial
Aleksandr Laptev;M;B;Single-ply;47.5;45-49;40-49;Masters 1;76.5;83;;;;;;95;100;-105;;100;;;;;;100;2;70.85;70.29;67.86;37.87;Yes;Russia;;FPR;IPF;2017-04-15;Russia;MUR;Monchegorsk;Murmansk Oblast Masters Bench Press Championships
Aleksandr Laptev;M;D;Single-ply;47.5;45-49;40-49;Masters 1;76.5;83;;;;;;;;;;;155;160;170;;170;170;2;120.45;119.50;115.37;;Yes;Russia;;FPR;IPF;2017-04-15;Russia;MUR;Monchegorsk;Murmansk Oblast Masters Cup
Aleksandr Laptev;M;B;Single-ply;47.5;45-49;40-49;Open;76.9;83;;;;;;-95;100;-105;;100;;;;;;100;1;70.62;70.05;67.61;37.71;Yes;Russia;;FPR;IPF;2017-04-09;Russia;MUR;Apatity;Apatity Masters Bench Press Cup
