Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Litovchenko;M;B;Raw;34;24-34;24-39;Amateur Open;99.4;100;;;;;;170;180;-187.5;;180;;;;;;180;1;111.08;109.81;104.89;82.70;Yes;Russia;;NAP;IPA;2021-04-23;Russia;BEL;Belgorod;Zeus IV World Cup
Aleksandr Litovchenko;M;B;Raw;33;24-34;24-39;Amateur Open;98.9;100;;;;;;165;175;180;;180;;;;;;180;1;111.33;110.04;105.12;82.90;Yes;Russia;;NAP;IPA;2019-12-14;Russia;BEL;Belgorod;Belgorod Cup
Aleksandr Litovchenko;M;B;Raw;33;24-34;24-39;Amateur Open;99.3;100;;;;;;170;180;-187.5;;180;;;;;;180;1;111.13;109.86;104.94;82.74;Yes;Russia;;NAP;IPA;2019-11-16;Russia;BEL;Belgorod;Russian Championships
Aleksandr Litovchenko;M;B;Raw;32;24-34;24-39;Amateur Open;99;100;;;;;;160;170;175;;175;;;;;;175;2;108.19;106.94;102.16;80.56;Yes;Russia;;NAP;IPA;2019-04-20;Russia;BEL;Belgorod;Zeus III Power Sports Festival
Aleksandr Litovchenko;M;B;Raw;31;24-34;24-39;Amateur Open;98.6;100;;;;;;-162.5;-162.5;-162.5;;;;;;;;;DQ;;;;;;Russia;;NAP;IPA;2018-03-17;Russia;BEL;Belgorod;Central Federal District Championships
Aleksandr Litovchenko;M;SBD;Single-ply;23.5;24-34;24-39;Open;79;83;;;;;177.5;;;;;135;;;;;197.5;510;9;354.31;350.98;338.37;60.66;Yes;Russia;;FPR;IPF;2017-11-24;Russia;KDA;Krasnodar;Krasnodar Oblast Powerlifting Championships
Aleksandr Litovchenko;M;SBD;Raw;22.5;20-23;19-23;Juniors;71.75;74;;;;;140;;;;;120;;;;;180;440;1;324.98;323.66;313.33;65.64;Yes;Russia;;FPR;IPF;2016-09-03;Ukraine;;Kerch;VOSPORO Cup
Aleksandr Litovchenko;M;B;Raw;22.5;20-23;19-23;Juniors;60.1;66;;;;;;90;92.5;95;;95;;;;;;95;2;80.07;80.90;78.99;56.74;Yes;Russia;;FPR;IPF;2016-03-20;Russia;STA;Pyatigorsk;Pyatigorsk Classic Bench Press Championships
Aleksandr Litovchenko;M;SBD;Raw;21.5;20-23;19-23;Open;69.92;74;120;125;-130;;125;100;105;-110;;105;150;-160;160;;160;390;3;293.18;292.52;283.50;58.98;Yes;Russia;;FPR;IPF;2015-09-04;Russia;;Kerch;VOSPORO Cup
Aleksandr Litovchenko;M;B;Raw;21.5;20-23;19-23;Open;69.92;74;;;;;;100;105;-110;;105;;;;;;105;1;78.93;78.75;76.33;57.72;Yes;Russia;;FPR;IPF;2015-09-04;Russia;;Kerch;VOSPORO Cup
