Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Litvinov;M;SBD;Raw;41;40-44;40-49;Masters 40-44;107.6;110;230;240;-245;;240;140;-145;-145;;140;270;280;-290;;280;660;1;394.21;391.13;373.62;80.57;;Russia;;GPA;GPA;2021-04-03;Russia;VLG;Volzhsky;Eastern European Championships
Aleksandr Litvinov;M;D;Raw;41;40-44;40-49;Masters 40-44;107.6;110;;;;;;;;;;;270;280;-290;;280;280;1;167.24;165.93;158.50;;;Russia;;GPA;GPA;2021-04-03;Russia;VLG;Volzhsky;Eastern European Championships
Aleksandr Litvinov;M;SBD;Raw;39;35-39;40-49;Open;104;110;200;210;220;;220;125;130;135;;135;250;260;270;;270;625;1;378.40;374.74;357.83;77.51;;Russia;;WRPF;WRPF;2019-04-06;Russia;VGG;Volzhsky;Eurasian Powerlifting Championships
Aleksandr Litvinov;M;SBD;Wraps;;;;Open;88;90;230;-240;-240;;230;-150;150;;;150;-240;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2018-05-06;Kazakhstan;;Almaty;Asian Championships
Aleksandr Litvinov;M;SBD;Raw;41;40-44;40-49;Masters 40-49;99.9;100;230;-240;-240;;230;160;175;180;;180;240;250;-260;;250;660;1;406.42;401.83;383.80;83.42;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Litvinov;M;BD;Raw;41;40-44;40-49;Masters 40-49;99.9;100;;;;;;160;175;180;;180;240;250;-260;;250;430;1;264.79;261.80;250.05;;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Litvinov;M;SBD;Wraps;;;;Open;106.7;110;260;-285;285;;285;170;180;185;;185;250;270;285;;285;755;1;452.43;448.67;428.52;92.52;;Russia;;WRPF;WRPF;2017-04-29;Kazakhstan;;Almaty;Asian Championships
Aleksandr Litvinov;M;SBD;Wraps;;;;Masters 40-49;106.7;110;260;-285;285;;285;170;180;185;;185;250;270;285;;285;755;1;452.43;448.67;428.52;92.52;;Russia;;WRPF;WRPF;2017-04-29;Kazakhstan;;Almaty;Asian Championships
Aleksandr Litvinov;M;D;Raw;36.5;35-39;24-39;Amateur Open;96.2;100;;;;;;;;;;;-202.5;205;215;;215;215;3;134.64;132.99;127.14;;Yes;Russia;;WPC-RUS;WPC;2016-06-04;Russia;VGG;Volgograd;Volgograd Oblast Championships
Aleksandr Litvinov;M;B;Single-ply;30.5;24-34;24-39;Open;93.6;100;;;;;;185;-192.5;192.5;;192.5;;;;;;192.5;10;122.10;120.56;115.36;63.44;Yes;Russia;;FPR;IPF;2000-06-10;Russia;PER;Perm;Russian Bench Press Championships
