Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Luzanov;M;D;Raw;24;24-34;24-39;Open;107.6;110;;;;;;;;;;;260;-280;-280;;260;260;3;155.29;154.08;147.18;;;Russia;;GPA;GPA;2018-06-09;Russia;LEN;St. Petersburg;European Championships
Aleksandr Luzanov;M;SBD;Raw;24;24-34;24-39;Open;108.4;110;235;-245;-245;;235;155;165;170;;170;275;-280;;;275;680;4;404.99;402.02;384.08;82.73;;Russia;;IPL;IPL;2017-12-15;Russia;;Dolgoprudnyy;World Cup
Aleksandr Luzanov;M;D;Raw;23;20-23;24-39;Juniors 20-23;118.5;125;;;;;;;;;;;-275;275;-290;;275;275;1;158.60;158.58;151.93;;;;;IPL;IPL;2017-09-29;Russia;LEN;St. Petersburg;Eastern European Championships
Aleksandr Luzanov;M;SBD;Raw;23;20-23;24-39;Juniors 20-23;111;125;230;-240;-240;;230;-155;-155;155;;155;255;265;-275;;265;650;1;383.67;381.48;364.70;78.23;;;;RPU;;2017-06-23;Russia;VLA;Suzdal;National Powerlifting Cup
Aleksandr Luzanov;M;SBD;Raw;23;20-23;19-23;Juniors 20-23;121.7;125;220;230;-240;;230;155;-165;165;;165;250;-260;-265;;250;645;1;368.71;369.64;354.19;74.52;;;;RPU;;2016-12-17;Russia;LEN;St. Petersburg;Neva Battle
Aleksandr Luzanov;M;S;Wraps;23;20-23;19-23;Juniors 20-23;124;125;260;;;;260;;;;;;;;;;;260;1;147.73;148.40;142.10;;;;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Luzanov;M;S;Wraps;23;20-23;19-23;Open;124;125;260;;;;260;;;;;;;;;;;260;1;147.73;148.40;142.10;;;;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Luzanov;M;SBD;Wraps;23;20-23;19-23;Open;124;125;-240;240;-260;;240;-150;-150;-150;;;;;;;;;DQ;;;;;;;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Luzanov;M;SBD;Wraps;23;20-23;19-23;Juniors 20-23;124;125;-240;240;-260;;240;-150;-150;-150;;;;;;;;;DQ;;;;;;;;RPU;;2016-09-30;Russia;LEN;St. Petersburg;Russian Championships
Aleksandr Luzanov;M;D;Raw;22;20-23;19-23;Juniors 20-23;121.3;125;;;;;;;;;;;240;250;260;;260;260;1;148.79;149.11;142.89;;;;;RPU;;2016-05-29;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Luzanov;M;SBD;Wraps;22;20-23;19-23;Juniors 20-23;119.7;125;-270;-270;270;;270;160;167.5;170;;170;250;265;270;;270;710;2;408.10;408.43;391.38;82.62;;;;IPL;IPL;2016-04-21;Russia;MOW;Dolgoprudnyy;European Powerlifting Championships
Aleksandr Luzanov;M;SBD;Wraps;22;20-23;19-23;Amateur Juniors 20-23;119;125;250;270;;;270;160;-170;-170;;160;240;260;-270;;260;690;5;397.38;397.48;380.85;80.50;;Russia;;WRPF;WRPF;2015-12-03;Russia;MOW;Moscow;World Championships
Aleksandr Luzanov;M;SBD;Wraps;21;20-23;19-23;Pro Open;111.3;125;-240;240;-250;;240;150;-160;165;;165;220;230;-240;;230;635;2;374.44;372.37;356.03;76.33;;;;WRPF;WRPF;2015-05-03;Russia;MOW;Moscow;Russian Open Championship
Aleksandr Luzanov;M;SBD;Single-ply;50.5;50-54;50-59;Masters 2;91.3;100;200;230;250;;250;140;160;180;;180;230;270;-300;;270;700;1;449.40;443.68;424.96;76.65;Yes;Uzbekistan;;AsianPF;IPF;2005-04-30;India;;Alleppey;Asian Powerlifting Championships
Aleksandr Luzanov;M;SBD;Single-ply;;;;Masters 1;94.1;100;270;-285;-285;;270;190;205;212.5;;212.5;295;305;315;;315;797.5;3;504.57;498.23;476.65;85.96;Yes;Uzbekistan;;IPF;IPF;2003-10-08;Canada;SK;Regina;World Masters Powerlifting Championships
Aleksandr Luzanov;M;SBD;Single-ply;;;;Open;93.75;100;260;275;285;;285;180;195;205;;205;-280;280;310;;310;800;3;507.05;500.66;479.04;86.40;Yes;Uzbekistan;;AsianPF;IPF;2003-05-02;Kazakhstan;;Almaty;Asian Powerlifting Championships
Aleksandr Luzanov;M;SBD;Single-ply;;;40-49;Masters 1;93.75;100;260;275;285;;285;180;195;205;;205;-280;280;310;;310;800;1;507.05;500.66;479.04;86.40;Yes;Uzbekistan;;AsianPF;IPF;2003-05-02;Kazakhstan;;Almaty;Asian Powerlifting Championships
Aleksandr Luzanov;M;SBD;Single-ply;47.5;45-49;40-49;Masters 1;94.9;100;;;;;290;;;;;202.5;;;;;305;797.5;2;502.57;496.30;474.66;85.59;Yes;Uzbekistan;;IPF;IPF;2002-10-08;Argentina;;Villa de Maria;World Masters Powerlifting Championships
