Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Malinovskiy;M;B;Raw;21;20-23;19-23;Pro Open;74.3;75;;;;;;135;140;145;;145;;;;;;145;1;104.65;104.00;100.53;77.16;;Ukraine;;NAP;IPA;2017-05-13;Ukraine;;Simferopol;Head of the Republic of Crimea Cup
Aleksandr Malinovskiy;M;D;Raw;21;20-23;19-23;Pro Juniors 20-23;74.3;75;;;;;;;;;;;215;225;-235;;225;225;1;162.40;161.38;156.00;;;Ukraine;;NAP;IPA;2017-05-13;Ukraine;;Simferopol;Head of the Republic of Crimea Cup
Aleksandr Malinovskiy;M;D;Raw;21;20-23;19-23;Pro Open;74.3;75;;;;;;;;;;;215;225;-235;;225;225;1;162.40;161.38;156.00;;;Ukraine;;NAP;IPA;2017-05-13;Ukraine;;Simferopol;Head of the Republic of Crimea Cup
Aleksandr Malinovskiy;M;D;Raw;21;20-23;19-23;Pro Open;73.9;75;;;;;;;;;;;205;215;225;-230;225;225;1;162.96;162.00;156.63;;;Ukraine;;NAP;IPA;2017-04-08;Ukraine;;Inkerman;Inkerman Cup
Aleksandr Malinovskiy;M;B;Raw;21;20-23;19-23;Pro Open;73.9;75;;;;;;125;135;-140;;135;;;;;;135;1;97.78;97.20;93.98;72.05;;Ukraine;;NAP;IPA;2017-04-08;Ukraine;;Inkerman;Inkerman Cup
Aleksandr Malinovskiy;M;SBD;Raw;21;20-23;19-23;Pro Juniors 20-23;73.05;75;150;155;162.5;;162.5;130;135;142.5;;142.5;200;215;-230;;215;520;1;379.49;377.52;365.18;76.86;;Ukraine;;NAP;IPA;2017-03-03;Russia;BEL;Belgorod;Russian Powerlifting Championships
Aleksandr Malinovskiy;M;B;Raw;21;20-23;19-23;Open;69.7;75;;;;;;110;115;120;;120;;;;;;120;3;90.41;90.22;87.45;66.08;;Ukraine;;RPU;;2016-12-08;Russia;;Simferopol;Steel Bench Press Tournament
Aleksandr Malinovskiy;M;D;Raw;21;20-23;19-23;Pro Open;72;75;;;;;;;;;;;160;180;200;205;200;200;1;147.37;146.74;142.04;;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Malinovskiy;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;72;75;;;;;;120;130;132.5;;132.5;;;;;;132.5;1;97.63;97.22;94.10;71.70;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Malinovskiy;M;D;Raw;21;20-23;19-23;Pro Juniors 20-23;72;75;;;;;;;;;;;160;180;200;205;200;200;1;147.37;146.74;142.04;;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Malinovskiy;M;B;Raw;21;20-23;19-23;Pro Open;72;75;;;;;;120;130;132.5;;132.5;;;;;;132.5;2;97.63;97.22;94.10;71.70;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Malinovskiy;M;D;Raw;20;20-23;19-23;Pro Juniors 20-23;70.3;75;;;;;;;;;;;135;145;-160;;145;;DQ;;;;;;Ukraine;;NAP;IPA;2016-06-25;Ukraine;;Gurzuf;Tavrika Cup
Aleksandr Malinovskiy;M;B;Raw;20;20-23;19-23;Pro Juniors 20-23;70.3;75;;;;;;-100;100;-107.5;;100;;;;;;100;1;74.89;74.69;72.37;54.81;;Ukraine;;NAP;IPA;2016-06-25;Ukraine;;Gurzuf;Tavrika Cup
