Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Malofeev;M;B;Raw;35;35-39;24-39;Pro Open;123.8;125;;;;;;140;-160;;;140;;;;;;140;2;79.59;79.94;76.55;58.29;;Russia;;WRPF;WRPF;2017-04-08;Russia;VGG;Volzhsky;South Russia Championship
Aleksandr Malofeev;M;B;Raw;35;35-39;24-39;Open;122.1;125;;;;;;140;150;160;;160;;;;;;160;1;91.37;91.63;87.79;67.00;;Russia;;RPU;;2016-12-11;Russia;VGG;Volzhsky;Ice Hammer Tournament
Aleksandr Malofeev;M;B;Raw;35;35-39;24-39;Open;125.3;140;;;;;;140;150;160;;160;;;;;;160;1;90.61;91.13;87.19;66.28;;Russia;;RPU;;2016-10-08;Russia;;Volzhskiy;High Voltage Tournament
Aleksandr Malofeev;M;D;Single-ply;33.5;24-34;24-39;Pro Open;120.9;125;;;;;;;;;;;240;255;-270;;255;255;1;146.09;146.35;140.25;;;Russia;;WPC-RUS;WPC;2015-12-20;Russia;KDA;Krasnodar;Power Cup
Aleksandr Malofeev;M;B;Single-ply;33.5;24-34;24-39;Pro Open;120.9;125;;;;;;200;210;-220;;210;;;;;;210;3;120.31;120.53;115.50;61.62;;Russia;;WPC-RUS;WPC;2015-12-20;Russia;KDA;Krasnodar;Power Cup
Aleksandr Malofeev;M;SBD;Raw;33.5;24-34;24-39;Pro Open;117.5;125;190;205;215;;215;130;145;-152.5;;145;210;225;240;;240;600;2;347.04;346.70;332.10;70.39;;Russia;;WPC-RUS;WPC;2015-11-07;Russia;VGG;Volgograd;Battle of Stalingrad Cup
Aleksandr Malofeev;M;D;Raw;33.5;24-34;24-39;Pro Open;117.5;125;;;;;;;;;;;220;-235;-235;;220;220;1;127.25;127.12;121.77;;;Russia;;WPC-RUS;WPC;2015-11-07;Russia;VGG;Volgograd;Battle of Stalingrad Cup
Aleksandr Malofeev;M;SBD;Single-ply;33;24-34;24-39;Pro Open;122.3;125;-270;;;;;;;;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2015-04-15;Russia;ROS;Rostov-on-Don;Russian Championships
Aleksandr Malofeev;M;B;Raw;33;24-34;24-39;Pro Open;121.3;125;;;;;;150;-170;-170;;150;;;;;;150;4;85.84;86.03;82.43;62.99;;Russia;;WPC-RUS;WPC;2015-04-15;Russia;ROS;Rostov-on-Don;Russian Championships
Aleksandr Malofeev;M;B;Single-ply;33;24-34;24-39;Pro Open;121.3;125;;;;;;-200;-220;-247.5;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2015-04-15;Russia;ROS;Rostov-on-Don;Russian Championships
Aleksandr Malofeev;M;D;Raw;33;24-34;24-39;Pro Open;116.3;125;;;;;;;;;;;230;245;260;;260;260;1;150.92;150.63;144.24;;;Russia;;WPC-RUS;WPC;2014-11-08;Russia;VGG;Volgograd;Battle of Stalingrad Cup
Aleksandr Malofeev;M;SBD;Single-ply;33;24-34;24-39;Pro Open;116.3;125;260;-280;280;;280;-200;-220;220;;220;-250;250;280;;280;780;1;452.76;451.89;432.72;76.32;;Russia;;WPC-RUS;WPC;2014-11-08;Russia;VGG;Volgograd;Battle of Stalingrad Cup
Aleksandr Malofeev;M;SBD;Single-ply;33;24-34;24-39;Pro Open;113.6;125;-260;270;-280;;270;180;200;-210;;200;-230;-250;250;;250;720;1;421.41;419.75;401.62;71.12;;Russia;;WPC-RUS;WPC;2014-07-25;Russia;KDA;Krasnodar;Svetogor Pro
Aleksandr Malofeev;M;D;Raw;33;24-34;24-39;Pro Open;114.8;125;;;;;;;;;;;220;240;260;;260;260;1;151.61;151.14;144.67;;;Russia;;WPC-RUS;WPC;2014-07-25;Russia;KDA;Krasnodar;Svetogor Pro
Aleksandr Malofeev;M;B;Raw;31.5;24-34;24-39;Pro Open;116.65;125;;;;;;150;160;170;;170;;;;;;170;1;98.57;98.41;94.25;72.60;;Russia;;WPC-RUS;WPC;2013-11-01;Russia;VGG;Volgograd;Stalingrad Cup
