Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Malyshev;M;B;Raw;37;35-39;24-39;Open;122.2;125;;;;;;-182.5;-182.5;-192.5;;;;;;;;;DQ;;;;;Yes;Russia;;WRPF;WRPF;2018-10-04;Russia;MOW;Moscow;World Championships
Aleksandr Malyshev;M;B;Raw;36.5;35-39;24-39;Open;121;125;;;;;;-175;185;190;;190;;;;;;190;1;108.82;109.03;104.48;79.87;Yes;Russia;;WPF;;2018-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Malyshev;M;B;Raw;36;35-39;24-39;Open;118.4;125;;;;;;170;-177.5;177.5;;177.5;;;;;;177.5;6;102.40;102.37;98.08;75.32;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Malyshev;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;73.6;74;;;;;100;;;;;102.5;;;;;150;352.5;5;255.99;254.54;246.14;51.90;Yes;Russia;;FPR;IPF;2017-05-06;Russia;NIZ;Kstovo;Battle of the Volga
Aleksandr Malyshev;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;69.4;74;;;;;110;;;;;97.5;;;;;132.5;340;7;256.93;256.48;248.66;51.62;Yes;Russia;;FPR;IPF;2016-02-20;Russia;NIZ;Shatki;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Malyshev;M;B;Raw;17;16-17;14-18;Amateur Teen 16-17;73.9;75;;;;;;110;-117.5;117.5;;117.5;;;;;;117.5;1;85.10;84.60;81.80;62.71;Yes;Russia;;WPC-RUS;WPC;2016-01-31;Russia;BEL;Belgorod;Belgorod Region Championships
Aleksandr Malyshev;M;B;Raw;30.5;24-34;24-39;Amateur Open;116.3;125;;;;;;170;-180;-190;;170;;;;;;170;4;98.68;98.49;94.31;72.70;Yes;Russia;;WPC-RUS;WPC;2012-10-25;Russia;MOW;Moscow;PROdvijenie Championships
Aleksandr Malyshev;M;B;Raw;31;24-34;24-39;Amateur Open;121.9;125;;;;;;165;172.5;177.5;;177.5;;;;;;177.5;12;101.41;101.69;97.43;74.38;Yes;Russia;;WPC-RUS;WPC;2012-06-07;Russia;MOW;Moscow;Russian Powerlifting Championships
Aleksandr Malyshev;M;B;Multi-ply;;20-23;;Pro Juniors 20-23;81.1;82.5;;;;;;160;167.5;-177.5;;167.5;;;;;;167.5;1;114.58;113.38;109.18;60.63;;Russia;;WPC-RUS;WPC;2012-03-18;Russia;SAR;Engels;Saratov Bench Press & Deadlift Championships
Aleksandr Malyshev;M;B;Raw;30.5;24-34;24-39;Amateur Open;119.8;125;;;;;;160;-177.5;-177.5;;160;;;;;;160;9;91.94;92.02;88.18;67.55;Yes;Russia;;WPC-RUS;WPC;2012-02-23;Russia;MOW;Moscow;Megapolis Championships
