Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Mamaev;M;D;Raw;31;24-34;24-39;Amateur Open;60;60;;;;;;;;;;;140;-160;160;;160;160;1;135.05;136.46;133.25;;Yes;Russia;;NAP;IPA;2016-12-09;Russia;NVS;Novosibirsk;Steel Arena 6
Aleksandr Mamaev;M;B;Single-ply;31;24-34;24-39;Amateur Open;60;60;;;;;;95;105;-120;;105;;;;;;105;1;88.62;89.55;87.45;50.69;Yes;Russia;;NAP;IPA;2016-12-09;Russia;NVS;Novosibirsk;Steel Arena 6
Aleksandr Mamaev;M;SBD;Wraps;31;24-34;24-39;Amateur Open;60;60;-75;75;95;;95;65;72.5;77.5;;77.5;140;-160;160;;160;332.5;1;280.64;283.58;276.92;54.53;Yes;Russia;;NAP;IPA;2016-12-09;Russia;NVS;Novosibirsk;Steel Arena 6
Aleksandr Mamaev;M;D;Raw;30.5;24-34;24-39;Open;59.9;60;;;;;;;;;;;152.5;;;;152.5;152.5;3;128.89;130.26;127.21;;Yes;Russia;;RPU;;2016-11-04;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Mamaev;M;B;Multi-ply;30.5;24-34;24-39;Open;59.9;60;;;;;;90;100;-107.5;;100;;;;;;100;1;84.52;85.42;83.42;48.37;Yes;Russia;;RPU;;2016-11-04;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Mamaev;M;SBD;Raw;30.5;24-34;24-39;Open;59.9;60;70;80;-90;;80;60;70;-80;;70;152.5;-160;-160;;152.5;302.5;2;255.67;258.39;252.34;49.65;Yes;Russia;;RPU;;2016-11-04;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Mamaev;M;D;Raw;31;24-34;24-39;Amateur Open;59.8;60;;;;;;;;;;;-132.5;132.5;150;;150;150;1;126.95;128.32;125.33;;Yes;Russia;;WPC;WPC;2016-07-07;Russia;NVS;Novosibirsk;World Cup
Aleksandr Mamaev;M;D;Raw;31;24-34;24-39;Open;60;60;;;;;;;;;;;122.5;132.5;-137.5;;132.5;132.5;1;111.84;113.01;110.35;;Yes;Russia;;RPU;;2016-07-02;Russia;NVS;Novosibirsk;Capital of Siberia Tournament
Aleksandr Mamaev;M;D;Raw;31;24-34;24-39;Open;60;60;;;;;;;;;;;122.5;132.5;-137.5;;132.5;132.5;2;111.84;113.01;110.35;;Yes;Russia;;RPU;;2016-07-02;Russia;NVS;Novosibirsk;Capital of Siberia Tournament
Aleksandr Mamaev;M;SBD;Raw;33.5;24-34;24-39;Open;82.15;83;130;145;-152.5;;145;120;130;-135;;130;190;205;215;;215;490;7;332.72;329.09;316.71;68.18;Yes;Russia;;FPR;IPF;2016-06-04;Russia;NVS;Novosibirsk;Novosibirsk Classic Powerlifting & Bench Press Championships
Aleksandr Mamaev;M;D;Multi-ply;30.5;24-34;24-39;Amateur Open;59.6;60;;;;;;;;;;;110;-125;125;;125;125;1;106.09;107.26;104.78;;Yes;Russia;;NAP;IPA;2016-05-19;Russia;NVS;Berdsk;Siberian Challenge
Aleksandr Mamaev;M;B;Raw;32.5;24-34;24-39;Open;81.15;83;;;;;;120;125;132.5;;132.5;;;;;;132.5;8;90.61;89.66;86.33;67.33;Yes;Russia;;FPR;IPF;2015-12-20;Russia;NVS;Novosibirsk;Novosibirsk New Year's Bench Press Tournament
