Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Manchenko;M;B;Multi-ply;41;40-44;40-49;Masters 40-44;123;125;;;;;;230;240;-260;;240;;;;;;240;1;136.72;137.22;131.45;70.01;;Russia;;RPU;;2020-07-25;Russia;KDA;Goryachy Klyuch;Victory Cup
Aleksandr Manchenko;M;B;Multi-ply;41;40-44;40-49;Amateur Masters 40-44;121.5;125;;;;;;230;250;-255;;250;;;;;;250;1;142.99;143.32;137.34;73.23;Yes;Russia;;NAP;IPA;2020-06-12;Russia;KDA;Sochi;Olympia 7
Aleksandr Manchenko;M;S;Wraps;41;40-44;40-49;Amateur Masters 40-44;121.5;125;210;-235;235;;235;;;;;;;;;;;235;1;134.41;134.73;129.10;;Yes;Russia;;NAP;IPA;2020-06-12;Russia;KDA;Sochi;Olympia 7
Aleksandr Manchenko;M;B;Multi-ply;40;40-44;40-49;Masters 40-44;119;125;;;;;;220;230;240;;240;;;;;;240;1;138.22;138.25;132.47;70.81;;Russia;;RPU;;2019-09-29;Russia;AD;Maykop;Maykop City Championships
Aleksandr Manchenko;M;B;Multi-ply;40;40-44;40-49;Amateur Open;117.1;125;;;;;;200;220;230;;230;;;;;;230;1;133.19;133.02;127.40;68.26;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Manchenko;M;B;Multi-ply;39;35-39;40-49;Pro Open;122.55;125;;;;;;-280;280;-307.5;;280;;;;;;280;1;159.70;160.22;153.50;81.78;;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Manchenko;M;B;Multi-ply;38;35-39;24-39;Pro Open;124.5;125;;;;;;270;280;;;280;;;;;;280;1;158.89;159.69;152.87;81.36;;Russia;;NAP;IPA;2016-12-17;Russia;KDA;Krasnodar;Power Cup 4
Aleksandr Manchenko;M;B;Raw;38;35-39;24-39;Open;126.5;140;;;;;;150;170;;;170;;;;;;170;1;95.99;96.64;92.45;70.14;;Russia;;RPU;;2016-11-25;Russia;KDA;Krasnodar;Krasnodar Championships
Aleksandr Manchenko;M;B;Single-ply;37;35-39;24-39;Pro Open;123.3;125;;;;;;270;-290;-300;;270;;;;;;270;1;153.69;154.30;147.79;78.70;;Russia;;WPC-RUS;WPC;2015-12-20;Russia;KDA;Krasnodar;Power Cup
Aleksandr Manchenko;M;B;Single-ply;36;35-39;24-39;Pro Open;126.1;140;;;;;;250;260;280;;280;;;;;;280;1;158.26;159.28;152.39;81.03;;Russia;;WPC-RUS;WPC;2015-07-11;Russia;KDA;Krasnodar;Svetogor Pro
Aleksandr Manchenko;M;B;Multi-ply;35;35-39;24-39;Pro Open;123.35;125;;;;;;250;-280;-280;;250;;;;;;250;2;142.29;142.85;136.83;72.86;;Russia;;NAP;IPA;2014-05-27;Russia;KDA;Sochi;World Cup
Aleksandr Manchenko;M;B;Multi-ply;34;24-34;24-39;Pro Open;122.9;125;;;;;;250;-265;-265;;250;;;;;;250;2;142.46;142.97;136.96;72.95;;Russia;;WPC;WPC;2013-04-04;Russia;KDA;Krasnodar;Eurasian Championships
Aleksandr Manchenko;M;B;Multi-ply;33;24-34;24-39;Amateur Open;118.8;125;;;;;;-220;-220;-230;;;;;;;;;DQ;;;;;Yes;Russia;;IPA;;2012-05-30;Russia;KDA;Sochi;World Championships
Aleksandr Manchenko;M;B;Single-ply;31;24-34;24-39;Open;117;125;;;;;;200;215;225;;225;;;;;;225;1;130.33;130.15;124.66;66.80;Yes;Russia;;FPR;IPF;2010-05-09;Russia;KDA;Yaroslavskaya;Krasnodar Oblast Bench Press Championships
Aleksandr Manchenko;M;SBD;Multi-ply;28;24-34;24-39;Pro Open;104.7;110;250;260;270;;270;160;170;-180;;170;210;220;-230;;220;660;3;398.50;394.78;376.97;67.55;;Russia;;WPC-RUS;WPC;2006-12-23;Russia;;Krasnodar;Krasnodar Championships
