Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Mavrinskiy;M;D;Raw;35;35-39;24-39;Pro Open;94.1;100;;;;;;;;;;;260;270;;;270;270;1;170.83;168.68;161.37;;;Russia;;WPC-RUS;WPC;2018-03-16;Russia;SAM;Samara;Samara Championships
Aleksandr Mavrinskiy;M;D;Raw;34;24-34;24-39;Pro Open;99.2;100;;;;;;;;;;;290;;;;290;290;1;179.13;177.06;169.14;;;Russia;;WPC-RUS;WPC;2017-06-10;Russia;SAM;Togliatti;Volzhsky Hero Tournament
Aleksandr Mavrinskiy;M;SBD;Raw;34;24-34;24-39;Pro Open;99.3;100;200;220;-230;;220;140;150;-160;;150;280;290;-300;;290;660;1;407.48;402.81;384.77;83.66;;Russia;;WPC-RUS;WPC;2017-03-13;Russia;SAM;Borskoe;Suvatolsav the Brave Cup
Aleksandr Mavrinskiy;M;SBD;Raw;34;24-34;24-39;Pro Open;99.4;100;240;-260;;;240;160;;;;160;290;-300;;;290;690;1;425.82;420.95;402.09;87.42;;Russia;;WPC-RUS;WPC;2017-03-04;Russia;SAM;Samara;Samara Open Championship
Aleksandr Mavrinskiy;M;SBD;Wraps;33.5;24-34;24-39;Pro Open;101.5;110;240;260;;;260;160;170;-175;;170;300;-310;-310;;300;730;1;446.47;441.68;421.78;91.57;;Russia;;WPC-RUS;WPC;2016-11-12;Russia;SAR;Saratov;Silver Bar
Aleksandr Mavrinskiy;M;SBD;Wraps;33;24-34;24-39;Pro Open;101.2;110;200;220;;;220;150;160;170;;170;280;300;-312.5;;300;690;2;422.54;417.96;399.14;86.68;;Russia;;WRPF;WRPF;2016-10-30;Russia;SAM;Togliatti;Unbeaten Power Tournament
Aleksandr Mavrinskiy;M;SBD;Wraps;33;24-34;24-39;Open;101.2;110;200;220;;;220;150;160;170;;170;280;300;-312.5;;300;690;2;422.54;417.96;399.14;86.68;;Russia;;RPU;;2016-10-29;Russia;SAM;Togliatti;Invincible Power Tournament
Aleksandr Mavrinskiy;M;SBD;Raw;33;24-34;24-39;Pro Open;100.7;110;250;260;;;260;-160;160;170;;170;300;310;;;310;740;1;454.12;449.11;428.91;93.17;;Russia;;WPC-RUS;WPC;2016-10-01;Russia;SAM;Togliatti;Volzhsky Bogatyr Cup
Aleksandr Mavrinskiy;M;D;Raw;33.5;24-34;24-39;Pro Open;101.2;110;;;;;;;;;;;290;305;-310;;305;305;1;186.77;184.75;176.43;;;Russia;;WPC-RUS;WPC;2016-07-23;Russia;SAM;Togliatti;Volga Federal District Cup
Aleksandr Mavrinskiy;M;SBD;Raw;33.5;24-34;24-39;Pro Open;101.2;110;230;240;250;;250;160;-170;170;;170;280;;;;280;700;1;428.66;424.02;404.92;87.93;;Russia;;WPC-RUS;WPC;2016-07-23;Russia;SAM;Togliatti;Volga Federal District Cup
