Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Mishonkov;M;B;Raw;31;24-34;24-39;Open;116.8;125;;;;;;195;205;212.5;;212.5;;;;;;212.5;2;123.16;122.98;117.78;90.70;;Russia;;RPU;;2021-06-26;Russia;MOW;Zhukovsky;Constellation of Power
Aleksandr Mishonkov;M;B;Raw;30;24-34;24-39;Open;116.3;125;;;;;;200;-210;-220;;200;;;;;;200;4;116.09;115.87;110.95;85.53;;Russia;;IPL;IPL;2021-04-17;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Mishonkov;M;B;Raw;29;24-34;24-39;Open;111;125;;;;;;190;-205;-205;;190;;;;;;190;1;112.15;111.51;106.60;82.95;;Russia;;RPU;;2019-09-21;Russia;MOW;Moscow;Oka Heroes VI
Aleksandr Mishonkov;M;SBD;Wraps;29;24-34;24-39;Pro Open;112;125;-260;260;275;;275;185;195;205;;205;230;240;255;;255;735;1;432.41;430.22;411.43;88.10;;Russia;;WRPF;WRPF;2019-06-08;Russia;MOW;Sepukhov;Moscow Championships
Aleksandr Mishonkov;M;B;Raw;29;24-34;24-39;Pro Open;112;125;;;;;;185;195;205;;205;;;;;;205;1;120.60;119.99;114.75;89.14;;Russia;;WRPF;WRPF;2019-06-08;Russia;MOW;Sepukhov;Moscow Championships
Aleksandr Mishonkov;M;B;Raw;28;24-34;24-39;Open;113.8;125;;;;;;195;-205;-205;;195;;;;;;195;5;114.06;113.63;108.73;84.19;;Russia;;RPU;;2018-12-23;Russia;;Yegoryevsk;Yegoryevsk Cup
Aleksandr Mishonkov;M;SBD;Wraps;28;24-34;24-39;Pro Open;117.7;125;-290;-290;-290;;;;;;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2018-11-25;Russia;VGG;Mikhailovka;Volgograd Regional Championships
Aleksandr Mishonkov;M;B;Raw;28;24-34;24-39;Pro Open;117.7;125;;;;;;190;-205;205;;205;;;;;;205;1;118.50;118.41;113.43;87.21;;Russia;;WRPF;WRPF;2018-11-25;Russia;VGG;Mikhailovka;Volgograd Regional Championships
Aleksandr Mishonkov;M;BD;Raw;28;24-34;24-39;Open;115.7;125;;;;;;170;185;200;;200;-260;-260;-260;;;;DQ;;;;;;Russia;;RPU;;2018-09-23;Russia;;Serpukhov;Okskie Bogatyrs V
Aleksandr Mishonkov;M;SBD;Wraps;28;24-34;24-39;Open;115.7;125;-270;-270;-270;;;;;;;;;;;;;;DQ;;;;;;Russia;;RPU;;2018-09-23;Russia;;Serpukhov;Okskie Bogatyrs V
