Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Morozov;M;SBD;Raw;14;13-15;14-18;Pro Teen;56.4;60;90;95;100;;100;70;75;-80;;75;115;120;125;;125;300;1;266.84;271.22;265.80;50.86;;Russia;;WRPF;WRPF;2022-05-08;Russia;ALT;Novoaltaisk;The Power of Altai II
Aleksandr Morozov;M;SBD;Raw;14;13-15;14-18;Pro Teen 14-16;56.6;60;85;90;95;;95;65;70;72.5;;72.5;100;110;112.5;;112.5;280;1;248.29;252.27;247.18;47.38;;Russia;;WRPF;WRPF;2022-02-27;Russia;ALT;Novoaltaisk;Novoaltaysk City Cup
Aleksandr Morozov;M;B;Raw;38;35-39;24-39;Pro Open;74.5;75;;;;;;110;117.5;120;;120;;;;;;120;1;86.46;85.91;83.03;63.77;;Russia;;WRPF;WRPF;2021-12-18;Russia;TYU;Tyumen;New Year's Challenge & Tyumen City Championships
Aleksandr Morozov;M;SBD;Raw;13;13-15;;Youth;55.9;56;80;-85;90;;90;-55;60;65;;65;90;95;100;;100;255;1;228.60;232.55;228.02;43.44;;Russia;;WRPF;WRPF;2021-10-03;Russia;ALT;Novoaltaisk;City of Novoaltaisk Championships
Aleksandr Morozov;M;SBD;Raw;30;24-34;24-39;Open;107.7;110;165;180;190;;190;165;175;-185;;175;195;215;235;;235;600;4;358.24;355.46;339.55;73.21;;Russia;;IPL;IPL;2021-06-26;Russia;LEN;St. Petersburg;European Cup
Aleksandr Morozov;M;SBD;Raw;14.5;13-15;14-18;Sub-Juniors;65.25;66;;;;;135;;;;;82.5;;;;;140;357.5;18;282.51;283.37;275.51;56.07;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Aleksandr Morozov;M;SBD;Raw;20.5;20-23;19-23;Juniors;77.1;83;;;;;210;;;;;125;;;;;230;565;10;398.37;395.08;381.29;81.21;Yes;Russia;;FPR;IPF;2021-05-19;Russia;VLA;Suzdal;Russian Classic Powerlifting Championships
Aleksandr Morozov;M;B;Raw;38;35-39;24-39;Amateur Open;74.3;75;;;;;;-117.5;-117.5;-117.5;;;;;;;;;DQ;;;;;Yes;Russia;;WRPF;WRPF;2021-05-09;Russia;TYU;Tyumen;Western Siberia Championships
Aleksandr Morozov;M;SBD;Raw;28;24-34;24-39;Pro Open;73.3;75;-150;-155;155;;155;115;-120;-120;;115;170;185;195;;195;465;3;338.59;336.76;325.71;68.60;;Russia;;WRPF;WRPF;2021-02-28;Russia;ALT;Novaltaisk;Novaltaisk City Cup
Aleksandr Morozov;M;SBD;Wraps;27;24-34;24-39;Pro Open;72.4;75;140;150;-155;;150;-110;110;-117.5;;110;160;170;180;;180;440;2;323.02;321.52;311.14;65.33;;Russia;;WRPF;WRPF;2020-11-29;Russia;ALT;Novoaltaisk;Power Gym 2 Tournament & Altai Krai Championships
Aleksandr Morozov;M;SBD;Single-ply;13.5;13-15;14-18;Sub-Juniors;71.05;74;;;;;137.5;;;;;90;;;;;135;362.5;3;269.52;268.61;260.14;46.14;Yes;Russia;;FPR;IPF;2020-11-26;Russia;TUL;Tula;Central Federal District Sub-Juniors & Juniors Championships
Aleksandr Morozov;M;SBD;Raw;13.5;13-15;14-18;Sub-Juniors;65.9;66;;;;;85;;;;;65;;;;;110;260;8;203.95;204.41;198.64;40.56;Yes;Russia;;FPR;IPF;2020-03-27;Russia;TUL;Tula;Tula Oblast Classic Powerlifting Championships
