Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Moseev;M;B;Raw;43.5;40-44;40-49;Masters 40-44;118.2;125;;;;;;170;185;-200;;185;;;;;;185;1;106.79;106.74;102.26;78.56;;Russia;;WPA-RUS;WPA;2019-03-08;Russia;AMU;Blagoveshchensk;Russian Championships
Aleksandr Moseev;M;SBD;Single-ply;;;;Open;71.75;74;;;;;110;;;;;75;;;;;165;350;9;258.50;257.46;249.24;44.26;Yes;Russia;;FPR;IPF;2018-03-24;Russia;NIZ;Nizhny Novgorod;Nizhny Novgorod Powerlifting Universaide
Aleksandr Moseev;M;B;Raw;42;40-44;40-49;Masters 40-44;118.2;125;;;;;;160;170;-180;;170;;;;;;170;1;98.13;98.09;93.97;72.19;Yes;Russia;;WPA-RUS;WPA;2018-03-17;Russia;AMU;Blagoveshchensk;National Cup
Aleksandr Moseev;M;B;Raw;42;40-44;40-49;Amateur Masters 40-44;109;110;;;;;;160;170;-175;;170;;;;;;170;2;101.03;100.33;95.86;74.83;Yes;Russia;;WPC;WPC;2017-08-09;Russia;KRS;Kursk;World Cup
Aleksandr Moseev;M;B;Raw;40.5;40-44;40-49;Amateur Open;98.45;100;;;;;;-157.5;157.5;-162.5;;157.5;;;;;;157.5;2;97.61;96.46;92.16;72.69;Yes;Russia;;WPC-RUS;WPC;2016-11-26;Russia;AMU;Blagoveschensk;Amur Cup
Aleksandr Moseev;M;B;Raw;40.5;40-44;40-49;Amateur Masters 40-44;98.45;100;;;;;;-157.5;157.5;-162.5;;157.5;;;;;;157.5;1;97.61;96.46;92.16;72.69;Yes;Russia;;WPC-RUS;WPC;2016-11-26;Russia;AMU;Blagoveschensk;Amur Cup
Aleksandr Moseev;M;B;Raw;40.5;40-44;40-49;Amateur Masters 40-44;98.15;100;;;;;;150;155;-162.5;;155;;;;;;155;1;96.19;95.05;90.82;71.64;Yes;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Moseev;M;B;Raw;40.5;40-44;40-49;Amateur Open;98.15;100;;;;;;150;155;-162.5;;155;;;;;;155;4;96.19;95.05;90.82;71.64;Yes;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Moseev;M;B;Raw;40.5;40-44;40-49;Masters 40-44;103.8;110;;;;;;150;155;162.5;;162.5;;;;;;162.5;1;98.46;97.50;93.10;73.15;Yes;Russia;;WPA-RUS;WPA;2016-02-20;Russia;AMU;Blagoveshchensk;National Cup
Aleksandr Moseev;M;B;Raw;39.5;35-39;40-49;Amateur Open;105.8;110;;;;;;150;-155;-160;;150;;;;;;150;2;90.19;89.40;85.37;66.93;Yes;Russia;;WPC-RUS;WPC;2015-11-13;Russia;AMU;Blagoveshchensk;Far East Championships
Aleksandr Moseev;M;B;Raw;39;35-39;40-49;Amateur Open;107.9;110;;;;;;142.5;150;-152.5;;150;;;;;;150;2;89.50;88.81;84.84;66.33;Yes;Russia;;WPC;WPC;2015-08-01;Russia;AMU;Blagoveschensk;East Asian Championships
Aleksandr Moseev;M;B;Raw;39.5;35-39;40-49;Open;108.2;110;;;;;;140;147.5;-150;;147.5;;;;;;147.5;2;87.91;87.25;83.36;65.14;Yes;Russia;;WPA-RUS;WPA;2015-03-07;Russia;AMU;Blagoveshchensk;Russian Cup
Aleksandr Moseev;M;B;Raw;38;35-39;24-39;Amateur Open;109.6;110;;;;;;132.5;140;-147.5;;140;;;;;;140;3;83.03;82.48;78.82;61.47;Yes;Russia;;WPC-RUS;WPC;2014-11-15;Russia;AMU;Blagoveshchensk;Far Eastern Championships
Aleksandr Moseev;M;B;Raw;32.5;24-34;24-39;Pro Open;98;100;;;;;;120;-132.5;-132.5;;120;;;;;;120;3;74.52;73.64;70.36;55.51;;Russia;;WPC-RUS;WPC;2012-11-17;Russia;AMU;Blagoveshchensk;Far East Cup
