Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Novikov;M;B;Raw;27;24-34;24-39;Pro Open;106.9;110;;;;;;140;145;-147.5;;145;;;;;;145;2;86.83;86.12;82.25;64.39;;Russia;;WRPF;WRPF;2021-12-26;Russia;AMU;Blagoveshchensk;Santa Claus Cup
Aleksandr Novikov;M;SBD;Raw;31;24-34;24-39;Open;126.4;140;230;240;250;;250;180;190;195;;195;270;290;310;;310;755;1;426.41;429.28;410.68;85.83;;Russia;;RPU;;2021-05-29;Russia;VLG;Vologda;Northwestern Federal District Cup
Aleksandr Novikov;M;SBD;Wraps;15;13-15;14-18;Amateur Teen 14-15;35.2;44;40;47.5;-50;;47.5;30;37.5;42.5;;42.5;65;70;75;;75;165;2;209.73;220.34;218.52;35.99;Yes;Russia;;NAP;IPA;2020-09-25;Russia;SVE;Yekaterinburg;Golden Tiger 14
Aleksandr Novikov;M;SBD;Raw;19.5;20-23;19-23;Juniors;65.95;66;;;;;155;;;;;120;;;;;170;445;2;348.87;349.63;339.75;69.40;Yes;Russia;;FPR;IPF;2019-11-25;Russia;MOW;Moscow;Central Juniors & Sub-Juniors Championships
Aleksandr Novikov;M;SBD;Wraps;;13-15;14-18;Pro Teen 14-15;30.2;52;40;45;-47.5;;45;30;32.5;-35;;32.5;40;45;50;;50;127.5;1;162.07;170.27;168.86;;;Russia;;NAP;IPA;2019-10-06;Russia;SVE;Yekaterinburg;Golden Tiger 13
Aleksandr Novikov;M;D;Raw;29;24-34;24-39;Open;81.8;82.5;;;;;;;;;;;220;-237.5;-237.5;;220;220;3;149.75;148.14;142.59;;Yes;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksandr Novikov;M;B;Raw;33;24-34;24-39;Open;81.3;82.5;;;;;;-125;-125;-127.5;;;;;;;;;DQ;;;;;Yes;Russia;;RPU;;2019-05-25;Russia;KYA;Krasnoyarsk;Siberian Championships
Aleksandr Novikov;M;S;Wraps;13;13-15;14-18;Pro Teen 13;29.25;44;35;37.5;40;;40;;;;;;;;;;;40;1;50.84;53.42;52.97;;;Russia;;NAP;IPA;2019-04-13;Russia;SVE;Yekaterinburg;Russian Spring IV
Aleksandr Novikov;M;SBD;Raw;18.5;18-19;19-23;Juniors;64.05;66;;;;;145;;;;;110;;;;;170;425;3;340.61;342.18;332.99;67.31;Yes;Russia;;FPR;IPF;2018-04-18;Russia;TUL;Tula;Russian Sports Schools Classic Powerlifting Championships
Aleksandr Novikov;M;SBD;Raw;17.5;18-19;14-18;Open;65.2;66;;;;;125;;;;;100;;;;;170;395;1;312.32;313.30;304.61;61.97;Yes;Russia;;FPR;IPF;2017-12-23;Russia;MOW;Pushkino;Moscow Oblast Classic Powerlifting Champoinships
