Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Novoseltsev;M;B;Raw;17;16-17;14-18;Teen 16-17;78.2;82.5;;;;;;80;85;87.5;;87.5;;;;;;87.5;2;61.16;60.62;58.46;45.33;Yes;Belarus;;RPU;;2017-06-17;Russia;LEN;St. Petersburg;St. Petersburg & Leningrad Championships
Aleksandr Novoseltsev;M;SBD;Raw;18;18-19;;Amateur Teen 18-19;76.6;82.5;120;125;130;;130;80;85;-87.5;;85;140;142;150;;150;365;1;258.40;256.35;247.47;52.64;Yes;Belarus;;WPC;WPC;2017-06-10;Russia;LEN;St. Petersburg;Eastern European Cup
Aleksandr Novoseltsev;M;SBD;Single-ply;15.5;16-17;14-18;Open;64.35;66;;;;;125;;;;;72.5;;;;;140;337.5;6;269.52;270.66;263.33;46.04;Yes;Belarus;;FPR;IPF;2012-12-12;Russia;YAN;Tarko-Sale;Ural Powerlifting Championships
Aleksandr Novoseltsev;M;B;Single-ply;31.5;24-34;24-39;Open;90.3;93;;;;;;-160;165;-175;;165;;;;;;165;6;106.51;105.16;100.77;55.55;Yes;Belarus;;FPR;IPF;2011-06-12;Russia;BRY;Bryansk;Bryansk City Bench Press Championships
Aleksandr Novoseltsev;M;SBD;Single-ply;31.5;24-34;24-39;Open;92.25;93;;;;;225;;;;;182.5;;;;;210;617.5;4;394.43;389.41;372.83;67.25;Yes;Belarus;;FPR;IPF;2011-05-12;Russia;BRY;Suzemka;Bryansk Oblast Powerlifting & Bench Press Championships
Aleksandr Novoseltsev;M;B;Single-ply;31.5;24-34;24-39;Open;92.25;93;;;;;;160;170;182.5;;182.5;;;;;;182.5;4;116.57;115.09;110.19;60.65;Yes;Belarus;;FPR;IPF;2011-05-12;Russia;BRY;Suzemka;Bryansk Oblast Powerlifting & Bench Press Championships
Aleksandr Novoseltsev;M;SBD;Single-ply;30.5;24-34;24-39;Open;107.1;110;-280;-280;-280;;;;;;;;;;;;;;DQ;;;;;Yes;Belarus;;BelPF;IPF;2010-11-18;Belarus;;Lida;Belarus Cup
Aleksandr Novoseltsev;M;B;Single-ply;30.5;24-34;24-39;Open;107.1;110;;;;;;-180;;;;;;;;;;;DQ;;;;;Yes;Belarus;;BelPF;IPF;2010-11-18;Belarus;;Lida;Belarus Cup
Aleksandr Novoseltsev;M;B;Single-ply;29.5;24-34;24-39;Open;100;100;;;;;;165;175;180;;180;;;;;;180;9;110.79;109.55;104.63;57.23;Yes;Belarus;;BelPF;IPF;2009-11-19;Belarus;;Lida;Belarus Bench Press Cup
Aleksandr Novoseltsev;M;SBD;Single-ply;29.5;24-34;24-39;Open;103.6;110;;;;;270;;;;;175;;;;;275;720;6;436.61;432.31;412.79;74.05;Yes;Belarus;;BelPF;IPF;2009-04-23;Belarus;;Polotsk;Belarus Powerlifting Championships
Aleksandr Novoseltsev;M;SBD;Single-ply;28.5;24-34;24-39;Open;100;100;;;;;280;;;;;175;;;;;270;725;8;446.25;441.23;421.42;75.82;Yes;Belarus;;BelPF;IPF;2008-03-17;Belarus;;Minsk;Belarus Powerlifting Championships
