Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Obukhovich;M;D;Raw;28;24-34;24-39;Open;99;100;;;;;;;;;;;275;310;;;310;310;1;191.65;189.43;180.96;;Yes;Russia;;RPU;;2016-04-02;Russia;;Tomsk;Russian Cup
Aleksandr Obukhovich;M;D;Raw;28;24-34;24-39;Pro Open;107;110;;;;;;;;;;;345;362.5;375;-382.5;375;375;1;224.47;222.64;212.65;;;Russia;;WRPF;WRPF;2015-12-03;Russia;MOW;Moscow;World Championships
Aleksandr Obukhovich;M;B;Raw;28;24-34;24-39;Pro Open;109.8;110;;;;;;180;190;200;;200;;;;;;200;2;118.53;117.76;112.55;87.74;;Russia;;NAP;IPA;2015-11-07;Russia;TOM;Tomsk;Siberian Powerlifting Championships
Aleksandr Obukhovich;M;SBD;Raw;28;24-34;24-39;Open;107.7;110;250;265;270;;270;180;187.5;195;;195;320;350;-375;;350;815;1;486.61;482.84;461.23;99.45;;Russia;;RPU;;2015-10-31;Russia;NVS;Novosibirsk;Strong Siberia Tournament
Aleksandr Obukhovich;M;B;Raw;27;24-34;24-39;Open;99.35;100;;;;;;175;182.5;187.5;;187.5;;;;;;187.5;1;115.74;114.41;109.29;86.16;;Russia;;RPU;;2015-06-12;Russia;TOM;Tomsk;Siberian Championships
Aleksandr Obukhovich;M;SBD;Wraps;27;24-34;24-39;Pro Open;103.1;110;250;-270;;;250;-150;;;;;-300;;;;;250;4;151.90;150.37;143.58;31.13;;Russia;;NAP;IPA;2015-05-15;Russia;NVS;Berdsk;Siberian Challenge
Aleksandr Obukhovich;M;D;Raw;27;24-34;24-39;Pro Open;106.2;110;;;;;;;;;;;350;-370;382.5;-392.5;382.5;382.5;1;229.64;227.67;217.43;;;Russia;;WRPF;WRPF;2015-05-03;Russia;MOW;Moscow;Russian Open Championship
Aleksandr Obukhovich;M;B;Raw;27;24-34;24-39;Pro Open;110.7;125;;;;;;170;180;;;180;;;;;;180;1;106.35;105.73;101.07;78.68;;Russia;;NAP;IPA;2015-03-01;Russia;TOM;Tomsk;Tomsk Bench Press & Deadlift Championships
Aleksandr Obukhovich;M;B;Raw;26;24-34;24-39;Amateur Open;99;100;;;;;;165;175;180;;180;;;;;;180;2;111.28;109.99;105.07;82.86;Yes;Russia;;NAP;IPA;2014-06-27;Russia;TOM;Tomsk;Tomsk Bench Press Cup
Aleksandr Obukhovich;M;SBD;Wraps;26;24-34;24-39;Elite Open;104.15;;310;330;;;330;190;200;205;;205;365;385;-400;;385;920;2;556.68;551.34;526.45;114.02;;Russia;;NAP;IPA;2013-10-04;Russia;SVE;Yekaterinburg;Golden Tiger 7
Aleksandr Obukhovich;M;SBD;Raw;25;24-34;24-39;Pro Open;103.9;110;270;285;;;285;180;190;200;;200;350;370;385;;385;870;1;526.94;521.82;498.27;107.94;;Russia;;WPC;WPC;2013-08-15;Russia;NVS;Novosibirsk;World Cup
Aleksandr Obukhovich;M;D;Raw;25;24-34;24-39;Open;103.8;;;;;;;;;;;;360;380;-392.5;-392.5;380;380;4;230.25;228.00;217.71;;;Russia;;SPSS;;2013-06-29;Russia;ARK;Arkhangelsk;Battle of champions
Aleksandr Obukhovich;M;SBD;Wraps;25;24-34;24-39;Pro Open;105;110;270;300;320;;320;180;-190;190;;190;350;375;;;375;885;1;533.74;528.83;504.99;109.27;;Russia;;NAP;IPA;2013-04-27;Russia;CHE;Chelyabinsk;Russian Championships
Aleksandr Obukhovich;M;D;Multi-ply;25;24-34;24-39;Amateur Open;100.9;110;;;;;;;;;;;370;400;-410;;400;;DD;;;;;Yes;Russia;;NAP;IPA;2012-12-02;Russia;NVS;Berdsk;Steel Arena 2
Aleksandr Obukhovich;M;D;Raw;25;24-34;24-39;M_OR_WPC;98.1;100;;;;;;;;;;;340;355;365;;365;365;1;226.56;223.89;213.92;;;Russia;;WPC;WPC;2012-10-19;Russia;KDA;Krasnodar;World Cup
Aleksandr Obukhovich;M;D;Raw;25;24-34;24-39;Pro Open;99.2;100;;;;;;;;;;;-330;350;365;377.5;365;365;1;225.45;222.86;212.88;;;Russia;;NAP;IPA;2012-10-07;Russia;SVE;Yekaterinburg;Golden Tiger 6
Aleksandr Obukhovich;M;D;Raw;24;24-34;24-39;Amateur Open;96.7;100;;;;;;;;;;;290;310;325;;325;325;1;203.04;200.58;191.72;;Yes;Russia;;WPC;WPC;2012-08-15;Russia;NVS;Novosibirsk;European Cup
Aleksandr Obukhovich;M;SBD;Single-ply;24;24-34;24-39;Open;98;105;;;;;225;;;;;150;;;;;300;675;8;419.18;414.21;395.78;71.29;Yes;Russia;;FPR;IPF;2012-02-24;Russia;CHE;Chelyabinsk;Russian Powerlifting Championships
Aleksandr Obukhovich;M;SBD;Single-ply;24;24-34;24-39;Open;100.3;105;;;;;340;;;;;185;;;;;372.5;897.5;3;551.71;545.56;521.05;93.72;Yes;Russia;;FPR;IPF;2011-12-21;Russia;NVS;Novosibirsk;Siberian Powerlifting Championships
Aleksandr Obukhovich;M;SBD;Single-ply;23;20-23;24-39;Open;96.2;105;;;;;310;;;;;175;;;;;340;825;9;516.64;510.31;487.85;87.93;Yes;Russia;;FPR;IPF;2011-02-14;Russia;NVS;Berdsk;Russian Powerlifting Championships
Aleksandr Obukhovich;M;SBD;Raw;23;20-23;24-39;Open;105;105;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2011-02-14;Russia;NVS;Berdsk;Russian Classic Powerlifting Championships
Aleksandr Obukhovich;M;SBD;Single-ply;22;20-23;19-23;Open;97.9;100;;;;;320;;;;;180;;;;;360;860;6;534.31;527.97;504.48;90.87;Yes;Russia;;FPR;IPF;2010-06-02;Russia;KGD;Guryevsk;Siberian Cup
Aleksandr Obukhovich;M;SBD;Single-ply;22;20-23;19-23;Open;88.45;90;;;;;290;;;;;150;;;;;312.5;752.5;2;490.89;484.73;464.92;83.82;Yes;Russia;;FPR;IPF;2010-03-25;Russia;KEM;Belovo;Siberian Juniors & Students Bench Press Championships
Aleksandr Obukhovich;M;SBD;Single-ply;22;20-23;19-23;Juniors;88.45;90;;;;;290;;;;;150;;;;;312.5;752.5;3;490.89;484.73;464.92;83.82;Yes;Russia;;FPR;IPF;2010-03-25;Russia;KEM;Belovo;Siberian Juniors & Students Bench Press Championships
