Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Ognevoy;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;150;120+;;;;;220;;;;;115;;;;;220;555;1;298.46;307.08;290.35;49.86;Yes;Russia;;FPR;IPF;2015-03-20;Russia;MOW;Moscow;Moscow City Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Ognevoy;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;146;120+;;;;;;175;190;;;190;;;;;;190;1;102.92;105.53;99.97;52.91;Yes;Russia;;FPR;IPF;2014-12-20;Russia;MOW;Moscow;Moscow City Bench Press Championships
Aleksandr Ognevoy;M;SBD;Raw;17.5;18-19;14-18;Juniors;157.1;120+;;;;;240;;;;;142.5;;;;;247.5;630;2;334.65;346.29;325.68;65.73;Yes;Russia;;FPR;IPF;2014-11-11;Russia;TUL;Tula;Russian Sports Schools Classic Powerlifting Championships
Aleksandr Ognevoy;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;155.5;120+;210;250;-270;;250;-165;165;175;;175;230;-255;;;230;655;3;348.87;360.57;339.51;58.28;Yes;Russia;;IPF;IPF;2014-09-01;Hungary;;Oroshaza;World Sub-Juniors & Juniors Powerlifting Championships
Aleksandr Ognevoy;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;151.9;120+;225;245;-261;;245;130;-140;;;130;240;255;;;255;630;1;337.65;347.96;328.68;66.55;Yes;Russia;;IPF;IPF;2014-06-01;South Africa;;Potchefstroom;World Classic Powerlifting Championships
Aleksandr Ognevoy;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;148.4;120+;;;;;250;;;;;140;;;;;260;650;1;350.55;360.19;340.84;69.27;Yes;Russia;;FPR;IPF;2014-03-26;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Aleksandr Ognevoy;M;B;Raw;17.5;18-19;14-18;Sub-Juniors;147.6;120+;;;;;;135;142.5;;;142.5;;;;;;142.5;3;76.96;79.02;74.81;55.36;Yes;Russia;;FPR;IPF;2014-03-10;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Classic Bench Press Championships
Aleksandr Ognevoy;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;149.15;120+;;;;;;180;187.5;200;;200;;;;;;200;3;107.72;110.75;104.76;55.45;Yes;Russia;;FPR;IPF;2014-03-10;Russia;MOW;Moscow;Russian Juniors & Sub-Juniors Bench Press Championships
Aleksandr Ognevoy;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;141.65;120+;;;;;275;;;;;182.5;;;;;265;722.5;8;394.65;403.04;382.75;65.98;Yes;Russia;;FPR;IPF;2014-01-27;Russia;SVE;Asbest;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Ognevoy;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;141.3;120+;;;;;;170;180;-190;;180;;;;;;180;1;98.39;100.45;95.41;50.50;Yes;Russia;;FPR;IPF;2013-12-21;Russia;MOW;Moscow;Moscow City Bench Press Championships
