Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Omelchenko;M;D;Raw;34;24-34;24-39;Elite Open;96.95;100;;;;;;;;;;;290;300;-310;-310;300;300;1;187.21;184.94;176.76;;;;;NAP;IPA;2021-05-22;Russia;ROS;Rostov-on-Don;Korrida III
Aleksandr Omelchenko;M;D;Raw;34;24-34;24-39;Pro Open;97.7;100;;;;;;;;;;;270;280;-292.5;;280;280;1;174.12;172.04;164.40;;;;;NAP;IPA;2020-11-28;Russia;ROS;Rostov-on-Don;Rostov Fortress II: Winter Throne
Aleksandr Omelchenko;M;D;Raw;34;24-34;24-39;Pro Open;97.4;100;;;;;;;;;;;260;270;-280;;270;270;1;168.13;166.12;158.75;;;;;NAP;IPA;2020-08-15;Russia;ROS;Rostov-on-Don;Last Man Standing 2
Aleksandr Omelchenko;M;D;Raw;33;24-34;24-39;Pro Open;97.1;100;;;;;;;;;;;240;250;260;;260;260;1;162.13;160.18;153.08;;;;;NAP;IPA;2020-03-21;Russia;ROS;Rostov-on-Don;Absolute Power National Championships
Aleksandr Omelchenko;M;D;Raw;33;24-34;24-39;Pro Open;89.4;90;;;;;;;;;;;220;-230;230;;230;230;1;149.22;147.33;141.25;;;;;NAP;IPA;2019-11-09;Russia;ROS;Rostov-on-Don;Bullfight 2
Aleksandr Omelchenko;M;D;Raw;33;24-34;24-39;Amateur Open;87.7;90;;;;;;;;;;;215;225;230;;230;230;2;150.71;148.83;142.80;;Yes;;;NAP;IPA;2019-07-20;Russia;ROS;Rostov-on-Don;The Last Man Standing Championships
Aleksandr Omelchenko;M;B;Multi-ply;33;24-34;24-39;Amateur Open;87.7;90;;;;;;200;-205;205;;205;;;;;;205;1;134.32;132.65;127.28;70.29;Yes;;;NAP;IPA;2019-07-20;Russia;ROS;Rostov-on-Don;The Last Man Standing Championships
Aleksandr Omelchenko;M;D;Raw;32;24-34;24-39;Amateur Open;86.95;90;;;;;;;;;;;215;-225;-225;;215;215;2;141.51;139.77;134.16;;Yes;;;NAP;IPA;2019-03-16;Russia;ROS;Rostov-on-Don;Rostov Fortress National Cup for Strength Sports
Aleksandr Omelchenko;M;B;Raw;32;24-34;24-39;Amateur Open;86.95;90;;;;;;130;135;-140;;135;;;;;;135;4;88.86;87.76;84.24;66.23;Yes;;;NAP;IPA;2019-03-16;Russia;ROS;Rostov-on-Don;Rostov Fortress National Cup for Strength Sports
Aleksandr Omelchenko;M;B;Raw;32;24-34;24-39;Pro Open;89.1;90;;;;;;120;130;132.5;;132.5;;;;;;132.5;5;86.11;85.03;81.52;64.21;;;;WPC-RUS;WPC;2018-12-22;Russia;ROS;Rostov-on-Don;Rostov Championships
Aleksandr Omelchenko;M;B;Raw;25;24-34;24-39;Pro Open;88.6;90;;;;;;130;137.5;-150;;137.5;;;;;;137.5;5;89.62;88.49;84.87;66.82;;;;WPC-RUS;WPC;2011-12-11;Russia;ALT;Barnaul;Siberian Bench Press Championships
