Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Oshkov;M;B;Raw;18;18-19;19-23;Teen 18-19;80.5;82.5;;;;;;120;125;127.5;;127.5;;;;;;127.5;1;87.60;86.70;83.52;65.06;Yes;Russia;;RPU;;2022-03-25;Russia;SAM;Samara;Eurasian Cup
Aleksandr Oshkov;M;B;Raw;18;18-19;14-18;Amateur Sub-Juniors 17-19;78.1;82.5;;;;;;115;117.5;120;;120;;;;;;120;3;83.94;83.20;80.25;62.20;Yes;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksandr Oshkov;M;B;Raw;18;18-19;14-18;Teen 18-19;78.2;82.5;;;;;;110;112.5;115;;115;;;;;;115;1;80.38;79.67;76.84;59.57;Yes;Russia;;RPU;;2021-11-27;Russia;NIZ;Chkalovsk;Caspian Monster III
Aleksandr Oshkov;M;B;Raw;17;16-17;14-18;Teen 16-17;78.3;82.5;;;;;;105;110;112.5;;112.5;;;;;;112.5;1;78.58;77.87;75.10;58.24;Yes;Russia;;RPU;;2021-10-09;Russia;ULY;Dimitrovgrad;Battle of the Titans
Aleksandr Oshkov;M;B;Raw;17;16-17;14-18;Amateur Sub-Juniors 17-19;78.9;82.5;;;;;;110;112.5;115;;115;;;;;;115;2;79.95;79.21;76.36;59.30;Yes;Russia;;WRPF;WRPF;2021-04-24;Russia;LEN;St. Petersburg;Konstantin Konstantinov Memorial Tournament
Aleksandr Oshkov;M;B;Raw;17;16-17;14-18;Amateur Sub-Juniors 17-19;75.5;82.5;;;;;;105;107.5;-110;;107.5;;;;;;107.5;4;76.80;76.25;73.65;56.72;Yes;Russia;;WRPF;WRPF;2020-12-17;Russia;MOW;Moscow;World Championships
Aleksandr Oshkov;M;B;Raw;16;16-17;14-18;Teen 16-17;76.9;82.5;;;;;;105;107.5;-110;;107.5;;;;;;107.5;1;75.92;75.30;72.68;56.18;Yes;Russia;;RPU;;2020-09-25;Russia;SAM;Samara;Eastern European Cup
Aleksandr Oshkov;M;B;Raw;16;16-17;14-18;Amateur Teen 14-16;77.9;82.5;;;;;;105;-112.5;-112.5;;105;;;;;;105;1;73.57;72.92;70.35;54.50;Yes;Russia;;WRPF;WRPF;2020-08-01;Russia;;Dimitrovgrad;Ironman Tournament
Aleksandr Oshkov;M;B;Raw;15;13-15;14-18;Teen 13-15;77;82.5;;;;;;100;-102.5;105;;105;;;;;;105;1;74.09;73.49;70.93;54.83;;Russia;;RPU;;2019-11-23;Russia;TA;Naberezhnye Chelny;Treasures of the Golden Horde III
Aleksandr Oshkov;M;B;Raw;15;13-15;14-18;Amateur Open;78.15;;;;;;;100;102.5;105;;105;;;;;;105;1;73.42;72.77;70.19;54.41;Yes;Russia;;NAP;IPA;2019-10-27;Russia;ME;Mari El;Mari El Championships
Aleksandr Oshkov;M;B;Raw;15;13-15;14-18;Teen 13-15;78.5;82.5;;;;;;100;102.5;-105;;102.5;;;;;;102.5;1;71.48;70.83;68.30;52.99;;Russia;;RPU;;2019-10-19;Russia;TA;Kazan;Tatarstan Cup
Aleksandr Oshkov;M;B;Raw;15;13-15;14-18;Teen 13-15;76;82.5;;;;;;-87.5;87.5;-90;;87.5;;;;;;87.5;1;62.25;61.78;59.66;46.01;;Russia;;RPU;;2019-04-27;Russia;TA;Kazan;Tatarstan Championships
Aleksandr Oshkov;M;B;Single-ply;15;13-15;14-18;Sub-Juniors;73.95;74;;;;;;80;82.5;85;;85;;;;;;85;1;61.54;61.17;59.14;33.12;Yes;Russia;;FPR;IPF;2019-02-09;Russia;ME;Yoshkar-Ola;Mari El Bench Press Championships
