Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Osiev;M;SBD;Raw;44;40-44;40-49;Masters 40-44;89.4;90;;;;;190;;;;;125;;;;;200;515;1;334.13;329.90;316.27;68.69;;Russia;;RPU;;2020-12-26;Russia;ARK;Kotlas;Kotlas City Championships
Aleksandr Osiev;M;SBD;Raw;38.5;35-39;24-39;Open;98.5;100;245;255;-260;;255;165;175;-180;;175;275;290;-300;;290;720;1;446.11;440.89;421.22;91.61;;Russia;;RPU;;2015-05-30;Russia;VLG;Vologda;Russian Championships
Aleksandr Osiev;M;SBD;Single-ply;37;35-39;24-39;Pro Open;98.6;100;290;305;315;;315;210;225;230;;230;290;305;315;;315;860;1;532.62;526.40;502.90;90.55;;Russia;;WPC-RUS;WPC;2014-03-22;Russia;VLG;Vologda;Russian Open Cup
Aleksandr Osiev;M;SBD;Single-ply;37;35-39;24-39;Pro Open;98.2;100;-300;310;-320;;310;210;220;230;;230;290;305;310;;310;850;1;527.37;521.16;497.94;89.68;;Russia;;WPC;WPC;2013-11-09;Russia;VLG;Vologda;Eastern European Cup
Aleksandr Osiev;M;B;Single-ply;36;35-39;24-39;Pro Open;96.9;100;;;;;;200;210;220;;220;;;;;;220;1;137.32;135.65;129.65;71.11;;Russia;;WPC-RUS;WPC;2013-03-09;Russia;VLG;Vologda;Northwestern Federal District Championships
Aleksandr Osiev;M;SBD;Single-ply;35.5;35-39;24-39;Pro Open;93.2;100;275;290;300;;300;200;210;220;;220;275;290;-300;;290;810;2;514.83;508.32;486.47;87.74;;Russia;;WPC-RUS;WPC;2012-11-09;Russia;VLG;Vologda;Russian Cup
Aleksandr Osiev;M;B;Multi-ply;34.5;24-34;24-39;Pro Open;88.9;90;;;;;;-190;190;200;;200;;;;;;200;1;130.13;128.49;123.21;67.99;;Russia;;WPC-RUS;WPC;2011-01-20;Russia;VLG;Vologda;North-West Powerlifting and Bench Press Campionships
Aleksandr Osiev;M;B;Raw;34.5;24-34;24-39;Pro Open;88.9;90;;;;;;150;160;-162.5;;160;;;;;;160;1;104.10;102.79;98.57;77.62;;Russia;;WPC-RUS;WPC;2011-01-20;Russia;VLG;Vologda;North-West Powerlifting and Bench Press Campionships
Aleksandr Osiev;M;B;Multi-ply;33.5;24-34;24-39;Pro Open;87.2;90;;;;;;200;-207.5;-207.5;;200;;;;;;200;1;131.44;129.81;124.59;68.83;;Russia;;WPC-RUS;WPC;2010-05-15;Russia;VLG;Vologda;Vologda Powerlifting and Bench Press Championships
Aleksandr Osiev;M;SBD;Single-ply;30.5;24-34;24-39;Open;88.45;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2009-05-20;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Cup
Aleksandr Osiev;M;SBD;Single-ply;19.5;20-23;19-23;Open;85.85;90;;;;;280;;;;;192.5;;;;;292.5;765;8;506.95;500.82;481.01;86.64;Yes;Russia;;FPR;IPF;2008-05-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Cup
Aleksandr Osiev;M;SBD;Single-ply;30.5;24-34;24-39;Open;81.8;82.5;;;;;280;;;;;165;;;;;275;720;4;490.10;484.82;466.67;83.86;Yes;Russia;;FPR;IPF;2007-04-20;Russia;MUR;Apatity;Arctic Cup
Aleksandr Osiev;M;SBD;Multi-ply;29.5;24-34;24-39;Pro Open;80.3;82.5;250;-265;265;;265;150;-155;-155;;150;250;265;-275;;265;680;1;467.86;463.14;446.18;80.08;;Russia;;WPC-RUS;WPC;2006-10-21;Russia;;Vologda;Vologodskaya Championships
Aleksandr Osiev;M;SBD;Single-ply;24.5;24-34;24-39;Open;66.5;67.5;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2001-12-15;Russia;VLG;Cherepovets;Vologoda Oblast Powerlifting Championships
