Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Osokin;M;B;Raw;37.5;35-39;24-39;Open;104.3;105;;;;;;180;-190;-190;;180;;;;;;180;4;108.85;107.81;102.95;80.85;Yes;Russia;;FPR;IPF;2020-12-25;Russia;NVS;Novosibirsk;Novosibirsk Bench Press Championships
Aleksandr Osokin;M;SBD;Raw;37.5;35-39;24-39;Open;104.1;105;;;;;260;;;;;192.5;;;;;270;722.5;4;437.26;433.05;413.51;89.56;Yes;Russia;;FPR;IPF;2020-12-03;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandr Osokin;M;SBD;Raw;37.5;35-39;24-39;Open;104.45;105;;;;;262.5;;;;;185;;;;;262.5;710;3;429.11;425.05;405.87;87.87;Yes;Russia;;FPR;IPF;2020-09-11;Russia;NVS;Novosibirsk;Novosibirsk Oblast Championships
Aleksandr Osokin;M;SBD;Raw;36.5;35-39;24-39;Open;103.5;105;;;;;252.5;;;;;170;;;;;250;672.5;11;407.97;403.93;385.69;83.59;Yes;Russia;;FPR;IPF;2019-12-09;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandr Osokin;M;SBD;Raw;36.5;35-39;24-39;Open;104.1;105;;;;;260;;;;;185;;;;;260;705;2;426.67;422.56;403.49;87.39;Yes;Russia;;FPR;IPF;2019-06-16;Russia;NVS;Novosibirsk;Novosibirsk Olympic Day
Aleksandr Osokin;M;B;Raw;28;24-34;24-39;Pro Open;84.4;90;;;;;;90;97.5;-100;;97.5;;;;;;97.5;4;65.21;64.45;61.95;48.56;;Russia;;NAP;IPA;2019-05-19;Russia;SVE;Yekaterinburg;Sverdlovsk Bench Press & Deadlift Cup
Aleksandr Osokin;M;D;Raw;28;24-34;24-39;Pro Open;84.4;90;;;;;;;;;;;120;130;140;;140;140;3;93.64;92.54;88.95;;;Russia;;NAP;IPA;2019-05-19;Russia;SVE;Yekaterinburg;Sverdlovsk Bench Press & Deadlift Cup
Aleksandr Osokin;M;B;Raw;35.5;35-39;24-39;Open;102.7;105;;;;;;167.5;175;180;;180;;;;;;180;9;109.55;108.42;103.53;81.43;Yes;Russia;;FPR;IPF;2018-12-22;Russia;NVS;Novosibirsk;New Year's Bench Press Tournament
Aleksandr Osokin;M;D;Raw;23;20-23;19-23;Juniors 20-23;80.3;82.5;;;;;;;;;;;190;-205;-205;;190;190;1;130.73;129.41;124.67;;;Russia;;WPA-RUS;WPA;2018-07-28;Russia;MOW;Moscow;Moscow Championships
Aleksandr Osokin;M;B;Raw;35.5;35-39;24-39;Open;109.3;120;;;;;;170;177.5;-180;;177.5;;;;;;177.5;5;105.38;104.66;100.01;78.03;Yes;Russia;;FPR;IPF;2018-06-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Bench Press Championships
Aleksandr Osokin;M;SBD;Raw;35.5;35-39;24-39;Open;109.3;120;;;;;260;;;;;177.5;;;;;230;667.5;5;396.29;393.60;376.11;80.90;Yes;Russia;;FPR;IPF;2018-06-22;Russia;NVS;Novosibirsk;Novosibirsk Oblast Powerlifting Championships
Aleksandr Osokin;M;D;Raw;22.5;20-23;19-23;Juniors 20-23;74.8;75;;;;;;;;;;;180;190;-202.5;;190;190;1;136.54;135.64;131.07;;Yes;Russia;;WPA;;2018-04-14;Russia;MOW;Moscow;European Champions Cup
Aleksandr Osokin;M;B;Raw;34.5;24-34;24-39;Open;107.65;120;;;;;;160;170;-175;;170;;;;;;170;7;101.52;100.73;96.22;75.25;Yes;Russia;;FPR;IPF;2017-12-23;Russia;NVS;Novosibirsk;Novosibirsk New Year's Bench Press
Aleksandr Osokin;M;SBD;Raw;34.5;24-34;24-39;Open;106.5;120;;;;;262.5;;;;;167.5;;;;;235;665;2;398.80;395.44;377.67;81.57;Yes;Russia;;FPR;IPF;2017-11-25;Russia;NVS;Berdsk;Novosibirsk Oblast Classic Powerlifting Cup
Aleksandr Osokin;M;B;Raw;34;24-34;24-39;Amateur Open;108.1;110;;;;;;160;167.5;-172.5;;167.5;;;;;;167.5;4;99.87;99.11;94.69;74.01;Yes;Russia;;NAP;IPA;2016-12-09;Russia;NVS;Novosibirsk;Steel Arena 6
Aleksandr Osokin;M;B;Raw;26;24-34;24-39;Open;65.9;67.5;;;;;;110;117.5;-122.5;;117.5;;;;;;117.5;3;92.17;92.38;89.77;66.70;Yes;Russia;;RPU;;2016-05-14;Russia;VLG;Vologda;North West Federal District Cup
