Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Perevalov;M;B;Raw;37;35-39;24-39;Pro Open;82.3;82.5;;;;;;170;180;-185;;180;;;;;;180;1;122.10;120.76;116.21;90.81;;Russia;;WRPF;WRPF;2022-02-19;Russia;MOW;Moscow;VMT Network of Fitness Clubs World Class
Aleksandr Perevalov;M;D;Raw;35;35-39;24-39;Amateur Open;82.5;82.5;;;;;;;;;;;250;260;-270;;260;260;1;176.12;174.18;167.59;;Yes;Russia;;WRPF;WRPF;2019-11-02;Russia;MOW;Moscow;World Class Club Tournament
Aleksandr Perevalov;M;B;Raw;35;35-39;24-39;Amateur Open;82.5;82.5;;;;;;170;180;-185;;180;;;;;;180;1;121.93;120.58;116.02;90.69;Yes;Russia;;WRPF;WRPF;2019-11-02;Russia;MOW;Moscow;World Class Club Tournament
Aleksandr Perevalov;M;SBD;Raw;35;35-39;24-39;Open;82.45;83;;;;;235;;;;;170;;;;;265;670;2;454.01;449.00;432.04;93.06;Yes;Russia;;FPR;IPF;2019-05-04;Russia;MOW;Moscow;Moscow Lights
Aleksandr Perevalov;M;SBD;Raw;34;24-34;24-39;Open;83;83;;;;;230;;;;;180;;;;;250;660;1;445.56;440.55;423.78;91.36;Yes;Russia;;FPR;IPF;2019-03-30;Russia;KLU;Sukhinichi;Kaluga Oblast Classic Powerlifting Cup
Aleksandr Perevalov;M;B;Raw;34;24-34;24-39;Open;89.4;90;;;;;;180;-190;190;;190;;;;;;190;1;123.27;121.71;116.68;91.92;;Russia;;WRPF;WRPF;2019-01-26;Russia;MOW;Moscow;World Class Tournament
Aleksandr Perevalov;M;D;Raw;34;24-34;24-39;Open;89.4;90;;;;;;;;;;;270;280;-290;;280;280;1;181.66;179.36;171.95;;;Russia;;WRPF;WRPF;2019-01-26;Russia;MOW;Moscow;World Class Tournament
Aleksandr Perevalov;M;D;Raw;34;24-34;24-39;Amateur Open;88.2;90;;;;;;;;;;;260;270;-280;;270;270;1;176.39;174.18;167.09;;Yes;Russia;;WPAU;;2018-11-17;Georgia;;Tbilisi;European Championships
Aleksandr Perevalov;M;SBD;Wraps;34;24-34;24-39;Amateur Open;88.2;90;240;250;-260;;250;180;190;-195;;190;260;270;-290;;270;710;1;463.85;458.04;439.38;95.34;Yes;Russia;;WPAU;;2018-11-17;Georgia;;Tbilisi;European Championships
Aleksandr Perevalov;M;SBD;Wraps;32;24-34;24-39;M_OCR_AWPC;81.3;82.5;190;-205;-210;;190;170;180;-185;;180;-230;230;240;260;240;610;1;416.69;412.29;396.97;85.33;Yes;Russia;;WPC;WPC;2016-08-10;Russia;KRS;Kursk;Amateur World Championships
Aleksandr Perevalov;M;SBD;Raw;32;24-34;24-39;M_OR_AWPC;80.7;82.5;190;200;210;;210;-180;180;-190.5;;180;240;-260;-262.5;;240;630;2;432.20;427.76;412.00;88.46;Yes;Russia;;WPC;WPC;2016-08-10;Russia;KRS;Kursk;Amateur World Championships
Aleksandr Perevalov;M;D;Raw;32;24-34;24-39;Open;81.8;82.5;;;;;;;;;;;230;240;250;;250;250;1;170.17;168.34;162.04;;Yes;Russia;;WPA;;2016-05-01;Russia;KLU;Maloyaroslavets;Eurasian Cup
Aleksandr Perevalov;M;SBD;Wraps;32;24-34;24-39;Open;81.8;82.5;190;200;210;;210;180;-190;195;;195;230;240;250;;250;655;1;445.85;441.05;424.54;91.34;Yes;Russia;;WPA;;2016-05-01;Russia;KLU;Maloyaroslavets;Eurasian Cup
Aleksandr Perevalov;M;B;Raw;32;24-34;24-39;Open;81.8;82.5;;;;;;180;-190;195;;195;;;;;;195;1;132.73;131.30;126.39;98.68;Yes;Russia;;WPA;;2016-05-01;Russia;KLU;Maloyaroslavets;Eurasian Cup
Aleksandr Perevalov;M;SBD;Raw;31;24-34;24-39;Amateur Open;81.2;82.5;180;190;;;190;180;-190;190;;190;190;200;210;;210;590;1;403.31;399.07;384.26;82.58;Yes;Russia;;WPC-RUS;WPC;2015-09-27;Russia;KLU;Obninsk;Adrenaline
Aleksandr Perevalov;M;B;Raw;30;24-34;24-39;M_OR_AWPC;75;75;;;;;;162.5;-167.5;;;162.5;;;;;;162.5;3;116.58;115.79;111.88;86.05;Yes;Russia;;WPC;WPC;2014-08-20;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Perevalov;M;B;Raw;29;24-34;24-39;Amateur Open;66.8;67.5;;;;;;130;-135;;;130;;;;;;130;1;100.96;101.08;98.16;73.25;Yes;Russia;;WPC-RUS;WPC;2013-04-20;Russia;KLU;;Kaluga Cup
Aleksandr Perevalov;M;B;Raw;25;24-34;24-39;Pro Open;74;75;;;;;;140;150;;;150;;;;;;150;5;108.55;107.90;104.31;79.99;;Russia;;WPC-RUS;WPC;2009-12-27;Russia;KLU;Balabanovo;Balabanovo Bench Press Meet
Aleksandr Perevalov;M;B;Raw;25;24-34;24-39;Amateur Open;72.5;75;;;;;;-150;-150;150;;150;;;;;;150;1;110.02;109.50;105.96;80.87;Yes;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
