Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Petukhov;M;SBD;Single-ply;17.5;18-19;14-18;Pro Teen 16-17;72;75;220;235;;;235;130;142.5;145;;145;240;250;260;;260;640;1;471.59;469.57;454.51;80.75;;Russia;;WPC;WPC;2012-03-14;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Petukhov;M;SBD;Multi-ply;15.5;16-17;14-18;M_TEM_2_WPC;67.5;67.5;-215;;215;;215;135;140;145;;145;235;240;250;;250;610;1;470.16;470.32;456.53;80.42;;Russia;;WPC;WPC;2011-11-14;Latvia;;Riga;World Championships
Aleksandr Petukhov;M;SBD;Single-ply;16;16-17;14-18;T 16-17;68;75;200;212.5;220;;220;125;130;-142.5;;130;215;230;240;;240;590;1;452.33;452.23;438.83;77.39;;Russia;;WPC;WPC;2011-09-27;Russia;SVE;Yekaterinburg;World Cup
Aleksandr Petukhov;M;B;Raw;17;16-17;14-18;Pro Teen;66.3;75;;;;;;105;110;-112.5;;110;;;;;;110;1;85.90;86.05;83.60;62.24;;Russia;;WPC-RUS;WPC;2011-08-13;Russia;SVE;Berezovsky;N.P. Gruzdev Memorial Bench Press
Aleksandr Petukhov;M;SBD;Multi-ply;15;13-15;14-18;Pro Teen 13-15;67.1;67.5;-190;195;205;;205;110;120;130;;130;-210;215;-220;;215;550;1;425.74;426.09;413.71;72.81;;Russia;;WPC;WPC;2011-04-05;Russia;CHE;Chelyabinsk;Eastern European Championships
Aleksandr Petukhov;M;SBD;Multi-ply;15;13-15;14-18;Pro Teen 13-15;59.5;60;150;162.5;-172.5;;162.5;90;97.5;102.5;;102.5;162.5;172.5;-185;;172.5;437.5;1;371.82;376.01;367.35;63.28;;Russia;;WPC-RUS;WPC;2010-02-13;Russia;SVE;Reftinskiy;Ural Championships
Aleksandr Petukhov;M;SBD;Multi-ply;13;13-15;;T 13-15;47;52;-125;-125;125;;125;65;-70;70;;70;130;137.5;-145;;137.5;332.5;2;352.20;364.48;360.82;58.64;;Russia;;WPC;WPC;2007-10-29;Russia;SAM;Togliatti;World Championships
Aleksandr Petukhov;M;B;Multi-ply;12.5;13-15;;Pro Open;44;52;;;;;;50;55;-60;;55;;;;;;55;2;62.56;65.15;64.63;43.74;;Russia;;WPC-RUS;WPC;2007-06-10;Russia;SVE;Yekaterinburg;Sverdlovskaya Bench Press Cup
Aleksandr Petukhov;M;SBD;Single-ply;22.5;20-23;19-23;Open;88.1;90;260;-270;270;;270;150;155;157.5;;157.5;277.5;-285;-290;;277.5;705;14;460.85;455.09;436.57;78.70;Yes;Russia;;FPR;IPF;1998-04-09;Russia;MOW;Moscow;Russian Juniors Powerlifting Championships
Aleksandr Petukhov;M;SBD;Single-ply;21.5;20-23;19-23;Open;81.6;82.5;240;250;-255;;250;140;-150;-150;;140;260;-275;-285;;260;650;20;443.07;438.34;421.98;75.82;Yes;Russia;;FPR;IPF;1997-10-02;Russia;VLA;Vladimir;Russian Powerlifting Cup
