Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Pitukhin;M;B;Raw;27;24-34;24-39;Amateur Open;59.1;60;;;;;;115;-120;120;;120;;;;;;120;2;102.56;103.78;101.43;72.34;Yes;Russia;;WPC;WPC;2012-12-01;Russia;SVE;Yekaterinburg;Asian Cup
Aleksandr Pitukhin;M;B;Raw;26;24-34;24-39;Amateur Open;58.5;60;;;;;;110;-120;122.5;;122.5;;;;;;122.5;2;105.60;106.95;104.59;74.27;Yes;Russia;;NAP;IPA;2012-10-07;Russia;SVE;Yekaterinburg;Golden Tiger 6
Aleksandr Pitukhin;M;B;Raw;26;24-34;24-39;Amateur Open;58.2;60;;;;;;105;110;-117.5;;110;;;;;;110;1;95.23;96.50;94.40;66.88;Yes;Russia;;NAP;IPA;2012-03-23;Russia;SVE;Yekaterinbourg;Asian Championships
Aleksandr Pitukhin;M;B;Raw;26;24-34;24-39;Amateur Open;58.5;60;;;;;;100;110;115;;115;;;;;;115;1;99.13;100.40;98.19;69.72;Yes;Russia;;WPC;WPC;2012-03-14;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Pitukhin;M;B;Raw;25;24-34;24-39;Open;58.5;60;;;;;;105;115;120;;120;;;;;;120;1;103.44;104.77;102.46;72.75;Yes;Russia;;WPC;WPC;2011-09-27;Russia;SVE;Yekaterinburg;World Cup
Aleksandr Pitukhin;M;B;Raw;25;24-34;24-39;Pro Open;58.5;60;;;;;;100;110;-120;;110;;;;;;110;1;94.82;96.04;93.92;66.69;;Russia;;WPC-RUS;WPC;2011-08-13;Russia;SVE;Berezovsky;N.P. Gruzdev Memorial Bench Press
Aleksandr Pitukhin;M;B;Raw;25;24-34;24-39;Amateur Disabled;58.8;60;;;;;;-105;105;-110;;105;;;;;;105;1;90.12;91.24;89.20;63.48;Yes;Russia;;WPC-RUS;WPC;2011-02-05;Russia;SVE;Yekaterinburg;Ural Championships
Aleksandr Pitukhin;M;B;Raw;24;24-34;24-39;Special Olympics Open;57.85;60;;;;;;105;-110;-110;;105;;;;;;105;1;91.37;92.64;90.66;64.06;;Russia;;WPC;WPC;2010-09-29;Russia;SVE;Yekaterinburg;Asian Championships
Aleksandr Pitukhin;M;B;Raw;24;24-34;24-39;Pro Open;58.5;60;;;;;;95;100;105;;105;;;;;;105;1;90.51;91.67;89.65;63.66;;Russia;;WPC-RUS;WPC;2010-05-22;Russia;SVE;Yekaterinburg;Koblov and Kurbanov Memorial Bench Press Tournament
Aleksandr Pitukhin;M;B;Raw;24;24-34;24-39;Pro Open;58.1;60;;;;;;90;100;102.5;;102.5;;;;;;102.5;1;88.87;90.07;88.12;62.38;;Russia;;WPC-RUS;WPC;2010-05-05;Russia;SVE;Yekaterinburg;XXX Gym Bench Press Championships
Aleksandr Pitukhin;M;B;Raw;24;24-34;24-39;Paralympics;57.85;60;;;;;;90;100;-105;;100;;;;;;100;5;87.02;88.23;86.34;61.01;Yes;Russia;;FPR;IPF;2010-04-12;Russia;KHM;Khanty-Mansiysk;Russian Disabled & Blind Powerlifting Championships
Aleksandr Pitukhin;M;B;Raw;24;24-34;24-39;Amateur Open;59.35;60;;;;;;90;-100;-100;;90;;;;;;90;2;76.65;77.53;75.76;54.13;Yes;Russia;;WPC-RUS;WPC;2010-02-13;Russia;SVE;Reftinskiy;Ural Championships
Aleksandr Pitukhin;M;B;Raw;23;20-23;24-39;Amateur Juniors 20-23;64.5;67.5;;;;;;90;100;-105;;100;;;;;;100;2;79.72;80.04;77.86;57.44;Yes;Russia;;WPC-RUS;WPC;2009-03-29;Russia;SVE;Reftinskiy;Sverdlovskaya Powerlifting and Bench Press Championships
