Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Polyanskiy;M;B;Raw;31;24-34;24-39;Open;94.8;100;;;;;;152.5;162.5;-165;;162.5;;;;;;162.5;3;102.46;101.18;96.77;76.38;Yes;Russia;;RPU;;2020-03-13;Russia;SAM;Samara;Eurasian Cup
Aleksandr Polyanskiy;M;B;Raw;22;20-23;19-23;Pro Juniors 20-23;59.45;60;;;;;;90;100;-105;;100;;;;;;100;1;85.05;86.01;84.03;60.09;;Russia;;WPC-RUS;WPC;2016-02-28;Russia;KDA;Gulkevichi;Atlanta Cup
Aleksandr Polyanskiy;M;B;Raw;21.5;20-23;19-23;Pro Open;89.1;90;;;;;;140;145;-147.5;;145;;;;;;145;6;94.24;93.05;89.22;70.27;;Russia;;WPC-RUS;WPC;2015-10-03;Russia;SAM;Togliatti;Samara Oblast Championships
Aleksandr Polyanskiy;M;B;Raw;26;24-34;24-39;Pro Open;89.1;90;;;;;;140;145;-147.5;;145;;;;;;145;6;94.24;93.05;89.22;70.27;;Russia;;WPC-RUS;WPC;2015-08-01;Russia;MOW;Moscow;Motivation Tournament
Aleksandr Polyanskiy;M;B;Raw;21;20-23;19-23;Amateur Juniors 20-23;57.8;60;;;;;;-80;-90;-90;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2015-04-15;Russia;ROS;Rostov-on-Don;Russian Championships
Aleksandr Polyanskiy;M;B;Raw;21.5;20-23;19-23;J;57.8;60;;;;;;80;-85;-85;;80;;;;;;80;1;69.67;70.64;69.13;48.83;Yes;Russia;;Vityaz;;2015-03-14;Russia;MOW;Moscow;Russian Cup
Aleksandr Polyanskiy;M;B;Raw;21;20-23;19-23;Pro Juniors 20-23;56.7;60;;;;;;70;80;-90;;80;;;;;;80;1;70.83;71.95;70.49;49.36;;Russia;;WPC-RUS;WPC;2015-02-21;Russia;KDA;Gulkevichi;Atlant Cup
Aleksandr Polyanskiy;M;SBD;Single-ply;19.5;20-23;19-23;Open;87.5;90;;;;;170;;;;;85;;;;;170;425;5;278.81;275.35;264.22;47.63;Yes;Russia;;FPR;IPF;2009-03-10;Russia;VLA;Vladimir;Russian Blind Powerlifting Championships
Aleksandr Polyanskiy;M;SBD;Single-ply;19.5;20-23;19-23;Blind;87.5;90;;;;;170;;;;;85;;;;;170;425;5;278.81;275.35;264.22;47.63;Yes;Russia;;FPR;IPF;2009-03-09;Russia;VLA;Vladimir;Russian Powerlifting Championships
Aleksandr Polyanskiy;M;B;Raw;19.5;20-23;19-23;Open;76;82.5;;;;;;80;85;-92.5;;85;;;;;;85;1;60.47;60.02;57.96;44.70;Yes;Russia;;FPR;IPF;2009-02-21;Russia;BRY;Bryansk;Bryansk City Disabled Bench Press Championships
Aleksandr Polyanskiy;M;SBD;Single-ply;18.5;18-19;19-23;Open;87.35;90;;;;;130;;;;;85;;;;;140;355;3;233.10;230.21;220.93;39.82;Yes;Russia;;FPR;IPF;2008-11-23;Russia;BRY;Bryansk;Russian Bind Powerlifting Cup
Aleksandr Polyanskiy;M;SBD;Single-ply;17.5;18-19;14-18;Open;76.15;82.5;;;;;90;;;;;67.5;;;;;105;262.5;5;186.52;185.10;178.73;31.94;Yes;Russia;;FPR;IPF;2007-10-26;Russia;BRY;Bryansk;Russian Blind Powerlifting Cup & Bench Press Championships
Aleksandr Polyanskiy;M;B;Single-ply;17.5;18-19;14-18;Open;75.5;82.5;;;;;;60;65;-70;;65;;;;;;65;4;46.44;46.10;44.53;24.89;Yes;Russia;;FPR;IPF;2007-10-26;Russia;BRY;Bryansk;Russian Blind Powerlifting Cup & Bench Press Championships
