Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Ponomarev;M;B;Unlimited;44;40-44;40-49;Masters 40-44;85.5;90;;;;;;-140;145;155;;155;;;;;;155;1;102.94;101.71;97.70;54.05;;Russia;;IPL;IPL;2021-05-01;Russia;KYA;Krasnoyarsk;Eurasian Championships
Aleksandr Ponomarev;M;B;Unlimited;43;40-44;40-49;Masters 40-44;95.2;100;;;;;;212.5;217.5;222.5;;222.5;;;;;;222.5;1;140.01;138.27;132.23;72.62;Yes;Russia;;RPU;;2020-02-22;Russia;KYA;Krasnoyarsk;Krasnoyarsk Championships
Aleksandr Ponomarev;M;B;Raw;43;40-44;40-49;Masters 40-44;95.2;100;;;;;;150;155;157.5;;157.5;;;;;;157.5;1;99.11;97.88;93.60;73.88;Yes;Russia;;RPU;;2020-02-22;Russia;KYA;Krasnoyarsk;Krasnoyarsk Championships
Aleksandr Ponomarev;M;B;Multi-ply;43;40-44;40-49;Amateur Masters 40-44;89.5;90;;;;;;210;220;222.5;;222.5;;;;;;222.5;1;144.27;142.45;136.56;75.32;Yes;Russia;;NAP;IPA;2019-12-15;Russia;KYA;Krasnoyarsk;Krasnoyarsk Championships
Aleksandr Ponomarev;M;B;Single-ply;43;40-44;40-49;Amateur Open;89.4;90;;;;;;207.5;217.5;-222.5;;217.5;;;;;;217.5;1;141.11;139.33;133.57;73.68;Yes;Russia;;WRPF;WRPF;2019-11-29;Russia;NVS;Novosibirsk;Steel Bear 2
Aleksandr Ponomarev;M;B;Raw;43;40-44;40-49;Amateur Masters 40-49;89;90;;;;;;152.5;-157.5;-157.5;;152.5;;;;;;152.5;1;99.17;97.92;93.89;73.94;Yes;Russia;;WRPF;WRPF;2019-11-29;Russia;NVS;Novosibirsk;Steel Bear 2
Aleksandr Ponomarev;M;B;Single-ply;43;40-44;40-49;Amateur Masters 40-49;89.4;90;;;;;;207.5;217.5;-222.5;;217.5;;;;;;217.5;1;141.11;139.33;133.57;73.68;Yes;Russia;;WRPF;WRPF;2019-11-29;Russia;NVS;Novosibirsk;Steel Bear 2
Aleksandr Ponomarev;M;B;Raw;48.5;45-49;40-49;Open;128.7;120+;;;;;;120;130;135;;135;;;;;;135;3;75.82;76.50;73.12;55.31;Yes;Russia;;FPR;IPF;2019-11-04;Russia;NVS;Novosibirsk;Dynamo Classic Bench Press Championships
Aleksandr Ponomarev;M;B;Raw;42;40-44;40-49;Masters 40-44;88.8;90;;;;;;150;-157.5;-157.5;;150;;;;;;150;1;97.65;96.42;92.47;72.81;Yes;Russia;;RPU;;2019-08-24;Russia;KYA;Krasnoyarsk;Region 24 Tournament
Aleksandr Ponomarev;M;B;Multi-ply;42;40-44;40-49;Open;88.8;90;;;;;;202.5;210;-217.5;;210;;;;;;210;1;136.72;134.99;129.45;71.44;Yes;Russia;;RPU;;2019-08-24;Russia;KYA;Krasnoyarsk;Region 24 Tournament
Aleksandr Ponomarev;M;B;Unlimited;52;50-54;50-59;Pro Masters 50-54;106.5;110;;;;;;240;-250;;;240;;;;;;240;2;143.93;142.71;136.30;74.04;;Russia;;NAP;IPA;2019-04-13;Russia;SVE;Yekaterinburg;Russian Spring IV
Aleksandr Ponomarev;M;B;Multi-ply;42;40-44;40-49;Masters 40-49;89.5;90;;;;;;235.5;-242.5;-242.5;;235.5;;;;;;235.5;1;152.70;150.77;144.53;79.72;;Russia;;WRPF;WRPF;2019-03-16;Russia;KYA;Krasnoyarsk;Siberian Power Show
Aleksandr Ponomarev;M;B;Raw;42;40-44;40-49;Masters 40-49;89.5;90;;;;;;145;152.5;;;152.5;;;;;;152.5;1;98.88;97.63;93.59;73.74;;Russia;;WRPF;WRPF;2019-03-16;Russia;KYA;Krasnoyarsk;Siberian Power Show
Aleksandr Ponomarev;M;B;Multi-ply;42;40-44;40-49;Open;89.5;90;;;;;;235.5;-242.5;-242.5;;235.5;;;;;;235.5;1;152.70;150.77;144.53;79.72;;Russia;;WRPF;WRPF;2019-03-16;Russia;KYA;Krasnoyarsk;Siberian Power Show
Aleksandr Ponomarev;M;D;Raw;28.5;24-34;24-39;Amateur Open;80.5;82.5;;;;;;;;;;;185;192.5;-200;;192.5;192.5;1;132.25;130.91;126.10;;Yes;Russia;;WPC-RUS;WPC;2018-11-24;Russia;SAR;Saratov;Silver Bar
Aleksandr Ponomarev;M;B;Multi-ply;41;40-44;40-49;Masters 40-44;89.4;90;;;;;;-220;220;231;;231;;;;;;231;1;149.87;147.97;141.86;78.25;Yes;Russia;;IPL;IPL;2018-11-09;Russia;KYA;Krasnoyarsk;Eurasian Championships
Aleksandr Ponomarev;M;B;Multi-ply;41;40-44;40-49;Open;89.4;90;;;;;;-220;220;231;;231;;;;;;231;1;149.87;147.97;141.86;78.25;Yes;Russia;;IPL;IPL;2018-11-09;Russia;KYA;Krasnoyarsk;Eurasian Championships
Aleksandr Ponomarev;M;B;Raw;41;40-44;40-49;Masters 40-44;89.4;90;;;;;;147.5;155;;;155;;;;;;155;1;100.56;99.29;95.19;74.99;Yes;Russia;;IPL;IPL;2018-11-09;Russia;KYA;Krasnoyarsk;Eurasian Championships
Aleksandr Ponomarev;M;B;Raw;47.5;45-49;40-49;Masters 1;124.5;120+;;;;;;120;-130;-130;;120;;;;;;120;1;68.10;68.44;65.51;49.84;Yes;Russia;;FPR;IPF;2018-09-30;Russia;NVS;Koltsovo;Koltsovo Sub-Juniors & Masters Bench Press Championships
Aleksandr Ponomarev;M;B;Multi-ply;41;40-44;40-49;Masters 40-44;88.5;90;;;;;;185;200;215;;215;;;;;;215;1;140.21;138.45;132.79;73.29;Yes;Russia;;RPU;;2018-05-19;Russia;KYA;Krasnoyarsk;Call of Siberia
Aleksandr Ponomarev;M;B;Raw;41;40-44;40-49;Masters 40-44;88.5;90;;;;;;137.5;145;152.5;;152.5;;;;;;152.5;1;99.45;98.21;94.19;74.15;Yes;Russia;;RPU;;2018-05-19;Russia;KYA;Krasnoyarsk;Call of Siberia
Aleksandr Ponomarev;M;B;Raw;59;55-59;60-69;Pro Masters 55-59;88.1;90;;;;;;135;140;-142.5;;140;;;;;;140;1;91.52;90.37;86.69;68.23;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksandr Ponomarev;M;B;Raw;47.5;45-49;40-49;Open;124.3;120+;;;;;;100;-105;105;;105;;;;;;105;3;59.62;59.90;57.35;43.64;Yes;Russia;;FPR;IPF;2018-02-17;Russia;NVS;Koltsovo;Police Officer Classic Bench Press Memorial
Aleksandr Ponomarev;M;B;Multi-ply;48.5;45-49;40-49;Pro Masters 45-49;108.6;110;;;;;;240;247.5;-252.5;;247.5;;;;;;247.5;1;147.30;146.24;139.72;75.70;;Russia;;NAP;IPA;2016-12-17;Russia;SVE;Yekaterinbourg;Eurasian Cup
Aleksandr Ponomarev;M;B;Multi-ply;48.5;45-49;40-49;Pro Open;111.2;;;;;;;-240;240;245;;245;;;;;;245;2;144.52;143.71;137.40;74.19;;Russia;;NAP;IPA;2016-04-30;Russia;PER;Perm;Perm Period
Aleksandr Ponomarev;M;B;Multi-ply;48.5;45-49;40-49;Pro Masters 45-49;110;110;;;;;;225;230;235;;235;;;;;;235;1;139.18;138.30;132.18;71.48;;Russia;;NAP;IPA;2016-03-05;Russia;CHE;Chelyabinsk;Russian Championships
