Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Popov #2;M;SBD;Wraps;31;24-34;24-39;Open;80.9;82.5;175;-185;187.5;;187.5;125;-135;-135;;125;205;215;-220;;215;527.5;1;361.36;357.62;344.40;73.97;;;;RPU;;2020-12-26;Russia;VLG;Vologda;Russian North
Aleksandr Popov #2;M;D;Raw;30;24-34;24-39;Open;80.9;82.5;;;;;;;;;;;202.5;215;222.5;;222.5;222.5;3;152.42;150.84;145.27;;Yes;;;RPU;;2019-12-21;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Popov #2;M;SBD;Raw;30;24-34;24-39;Open;80.9;82.5;-175;175;187.5;;187.5;120;125;130;;130;202.5;215;222.5;;222.5;540;2;369.93;366.09;352.56;75.73;Yes;;;RPU;;2019-12-21;Russia;VLG;Vologda;Russian North Tournament
Aleksandr Popov #2;M;D;Raw;30;24-34;24-39;Open;80.1;82.5;;;;;;;;;;;195;205;215;;215;215;1;148.14;146.66;141.31;;;;;RPU;;2019-10-12;Russia;KR;Petrozavodsk;The Power of Svarog Tournament
Aleksandr Popov #2;M;SBD;Raw;29;24-34;24-39;Open;78.8;82.5;170;180;-192.5;;180;125;130;-132.5;;130;190;210;-220;;210;520;1;361.80;358.44;345.60;73.91;;;;RPU;;2019-03-16;Russia;KR;Petrozavodsk;Karjalainen Karhu Tournament
Aleksandr Popov #2;M;B;Raw;29;24-34;24-39;Open;79.1;82.5;;;;;;115;120;125;;125;;;;;;125;3;86.77;85.95;82.86;64.37;Yes;;;RPU;;2018-11-17;Russia;KR;Petrozavodsk;Shining of Karelia
Aleksandr Popov #2;M;SBD;Wraps;29;24-34;24-39;Open;79.1;82.5;180;-190;190;;190;115;120;125;;125;190;210;-220;;210;525;1;364.45;361.01;348.02;74.47;Yes;;;RPU;;2018-11-17;Russia;KR;Petrozavodsk;Shining of Karelia
Aleksandr Popov #2;M;D;Raw;29;24-34;24-39;Open;79.1;82.5;;;;;;;;;;;190;210;-220;;210;210;1;145.78;144.40;139.21;;Yes;;;RPU;;2018-11-17;Russia;KR;Petrozavodsk;Shining of Karelia
Aleksandr Popov #2;M;D;Raw;28;24-34;24-39;Open;80;82.5;;;;;;;;;;;190;210;215;;215;215;1;148.25;146.78;141.43;;Yes;;;RPU;;2018-04-07;Russia;KR;Petrozavodsk;Karjalainen Karhu Tournament
Aleksandr Popov #2;M;SBD;Wraps;28;24-34;24-39;Open;80;82.5;170;185;-190;;185;125;130;-132.5;;130;-190;-190;-210;;;;DQ;;;;;Yes;;;RPU;;2018-04-07;Russia;KR;Petrozavodsk;Karjalainen Karhu Tournament
Aleksandr Popov #2;M;SBD;Wraps;28;24-34;24-39;Open;79.7;82.5;170;180;-195;;180;-115;120;-127.5;;120;195;205;210;;210;510;1;352.45;349.00;336.33;72.07;;;;RPU;;2017-12-09;Russia;KR;Petrozavodsk;Petrozavodsk & Karelia Championships
Aleksandr Popov #2;M;D;Raw;28;24-34;24-39;Open;79.7;82.5;;;;;;;;;;;195;205;210;;210;210;1;145.13;143.71;138.49;;;;;RPU;;2017-12-09;Russia;KR;Petrozavodsk;Petrozavodsk & Karelia Championships
Aleksandr Popov #2;M;SBD;Wraps;28;24-34;24-39;Open;79.5;82.5;180;185;190;;190;120;-125;-125;;120;-200;200;205;;205;515;2;356.44;352.99;340.21;72.87;Yes;;;IPL;IPL;2017-09-29;Russia;LEN;St. Petersburg;Eastern European Championships
