Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Portnoy;M;B;Unlimited;29;24-34;24-39;Pro Open;94.4;100;;;;;;220;230;235;;235;;;;;;235;1;148.46;146.60;140.23;77.07;;Russia;;NAP;IPA;2017-04-01;Russia;SVE;Yekaterinbourg;European Cup
Aleksandr Portnoy;M;B;Unlimited;29;24-34;24-39;Pro Open;96.75;100;;;;;;210;222.5;232.5;;232.5;;;;;;232.5;1;145.22;143.46;137.12;75.22;;Russia;;NAP;IPA;2017-03-19;Russia;SVE;Yekaterinburg;Sverdlovsk Oblast Championships
Aleksandr Portnoy;M;B;Raw;29;24-34;24-39;Pro Open;94.65;100;;;;;;200;210;220;;220;;;;;;220;1;138.81;137.08;131.11;103.48;;Russia;;NAP;IPA;2016-12-17;Russia;SVE;Yekaterinbourg;Eurasian Cup
Aleksandr Portnoy;M;B;Raw;28;24-34;24-39;Pro Open;94.1;;;;;;;170;177.5;182.5;;182.5;;;;;;182.5;3;115.47;114.02;109.08;86.09;;Russia;;NAP;IPA;2016-06-23;Russia;SVE;Zarechnyy;Open Air Russian Barbell 2
Aleksandr Portnoy;M;B;Raw;28;24-34;24-39;Pro Open;105.85;110;;;;;;160;-170;-170;;160;;;;;;160;2;96.18;95.34;91.05;71.38;;Russia;;NAP;IPA;2016-02-13;Russia;SVE;Yekaterinbourg;Ural Bench Press Championships
Aleksandr Portnoy;M;B;Single-ply;26;24-34;24-39;Amateur Open;99.9;100;;;;;;205;-215;215;;215;;;;;;215;1;132.39;130.90;125.03;68.39;Yes;Russia;;WPC;WPC;2014-02-08;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Portnoy;M;B;Single-ply;25;24-34;24-39;Amateur Open;102.8;110;;;;;;205;-215;215;;215;;;;;;215;1;130.79;129.46;123.62;67.43;Yes;Russia;;WPC;WPC;2013-11-30;Russia;SVE;Yekaterinburg;Asian Cup
Aleksandr Portnoy;M;B;Single-ply;25;24-34;24-39;Pro Open;101.2;110;;;;;;185;195;200;;200;;;;;;200;1;122.47;121.15;115.69;63.21;;Russia;;WPC-RUS;WPC;2013-05-19;Russia;SVE;Yekaterinburg;Koblov & Kurbanov Memorial Tournament
Aleksandr Portnoy;M;B;Raw;25;24-34;24-39;Amateur Open;101.4;110;;;;;;180;-190;190;;190;;;;;;190;1;116.25;115.00;109.82;86.47;Yes;Russia;;WPC;WPC;2013-02-16;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Portnoy;M;B;Single-ply;24;24-34;24-39;Amateur Open;99.3;100;;;;;;170;180;187.5;;187.5;;;;;;187.5;1;115.76;114.43;109.31;59.83;Yes;Russia;;WPC;WPC;2012-12-01;Russia;SVE;Yekaterinburg;Asian Cup
Aleksandr Portnoy;M;B;Multi-ply;24;24-34;24-39;Amateur Open;98.6;100;;;;;;180;-190;-190;;180;;;;;;180;1;111.48;110.18;105.26;57.65;Yes;Russia;;WPC;WPC;2012-03-14;Russia;SVE;Yekaterinburg;Eastern European Championships
Aleksandr Portnoy;M;B;Raw;23;20-23;24-39;Pro Juniors 20-23;93.6;100;;;;;;110;125;-130;;125;;;;;;125;2;79.29;78.29;74.91;59.12;;Russia;;WPC-RUS;WPC;2011-02-05;Russia;SVE;Yekaterinburg;Ural Championships
