Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Postrigan;M;SBD;Wraps;24;24-34;24-39;Amateur Open;85.8;90;200;210;215;;215;130;135;137.5;;137.5;240;250;257.5;;257.5;610;1;404.36;399.47;383.68;83.04;Yes;Ukraine;;NAP;IPA;2018-11-03;Russia;;Simferopol;Western European Powerlifting Championships
Aleksandr Postrigan;M;SBD;Raw;22;20-23;19-23;Pro Open;85.9;90;210;220;225;;225;140;145;-147.5;;145;255;265;270;;270;640;2;423.98;418.85;402.27;87.08;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Postrigan;M;SBD;Raw;22;20-23;19-23;Pro Juniors 20-23;85.9;90;210;220;225;;225;140;145;-147.5;;145;255;265;270;;270;640;1;423.98;418.85;402.27;87.08;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Pro Open;85.9;90;;;;;;;;;;;255;265;270;;270;270;1;178.87;176.70;169.71;;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Pro Juniors 20-23;85.9;90;;;;;;;;;;;255;265;270;;270;270;1;178.87;176.70;169.71;;;Ukraine;;NAP;IPA;2016-11-05;Ukraine;;Simferopol;Crimean Championships
Aleksandr Postrigan;M;SBD;Raw;22;20-23;19-23;Open;85.2;90;210;-220;220;;220;140;142.5;145;;145;250;260;-272.5;;260;625;1;415.88;410.91;394.80;85.38;;Ukraine;;RPU;;2016-09-17;Russia;;Kerch;Iron Holiday Tournament
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Open;85.2;90;;;;;;;;;;;260;;;;260;260;1;173.00;170.94;164.24;;;Ukraine;;RPU;;2016-09-17;Russia;;Kerch;Iron Holiday Tournament
Aleksandr Postrigan;M;SBD;Raw;22;20-23;19-23;Juniors 20-23;85.2;90;210;-220;220;;220;140;142.5;145;;145;250;260;-272.5;;260;625;1;415.88;410.91;394.80;85.38;;Ukraine;;RPU;;2016-09-17;Russia;;Kerch;Iron Holiday Tournament
Aleksandr Postrigan;M;B;Raw;22;20-23;19-23;Pro Juniors 20-23;82.5;82.5;;;;;;140;-145;-145;;140;;;;;;140;2;94.83;93.79;90.24;70.54;;Ukraine;;NAP;IPA;2016-06-25;Ukraine;;Gurzuf;Tavrika Cup
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Pro Open;82.5;82.5;;;;;;;;;;;250;260;-270;;260;260;1;176.12;174.18;167.59;;;Ukraine;;NAP;IPA;2016-06-25;Ukraine;;Gurzuf;Tavrika Cup
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Pro Juniors 20-23;82.5;82.5;;;;;;;;;;;250;260;-270;;260;260;1;176.12;174.18;167.59;;;Ukraine;;NAP;IPA;2016-06-25;Ukraine;;Gurzuf;Tavrika Cup
Aleksandr Postrigan;M;D;Raw;22;20-23;19-23;Pro Open;82.9;90;;;;;;;;;;;240;255;267.5;;267.5;267.5;1;180.71;178.68;171.89;;;Ukraine;;NAP;IPA;2016-04-16;Ukraine;;Simferopol;Simferopol Cup
