Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Potapov;M;D;Raw;39;35-39;24-39;Pro Open;109;110;;;;;;;;;;;240;260;-270;;260;260;2;154.52;153.44;146.62;;;;;WRPF;WRPF;2022-04-30;Russia;KIR;Kirov;Philip Obukhov Cup
Aleksandr Potapov;M;D;Raw;38;35-39;24-39;Open;107.8;110;;;;;;;;;;;240;255;-262.5;;255;255;2;152.20;151.03;144.27;;;;;RPU;;2022-02-26;Russia;VLG;Veliky Ustyug;Veliky Ustyug Championships
Aleksandr Potapov;M;B;Raw;33;24-34;24-39;Amateur Open;90.1;100;;;;;;140;-145;-147.5;;140;;;;;;140;4;90.47;89.32;85.60;67.47;Yes;Russia;;WRPF;WRPF;2022-02-26;Russia;LEN;St. Petersburg;Iron Gryphon V
Aleksandr Potapov;M;B;Raw;32;24-34;24-39;Amateur Open;90;90;;;;;;140;147.5;152.5;;152.5;;;;;;152.5;2;98.61;97.36;93.31;73.53;Yes;;;WPC-RUS;WPC;2021-05-16;Russia;LEN;St. Petersburg;Northwestern Championships
Aleksandr Potapov;M;B;Raw;32;24-34;24-39;Amateur Open;89.2;90;;;;;;135;140;147.5;;147.5;;;;;;147.5;2;95.81;94.60;90.70;71.44;Yes;;;WPC-RUS;WPC;2021-01-23;Russia;LEN;St. Petersburg;St. Petersburg Cup
Aleksandr Potapov;M;D;Raw;37;35-39;24-39;Open;109;110;;;;;;;;;;;265;285;300;;300;300;1;178.30;177.05;169.17;;;;;RPU;;2020-12-13;Russia;KO;Syktyvkar;Spirit of the North III
Aleksandr Potapov;M;D;Raw;37;35-39;24-39;Open;111;125;;;;;;;;;;;270;282.5;-290;;282.5;282.5;2;166.75;165.80;158.50;;;;;RPU;;2020-10-10;Russia;VLG;Veliky Ustyug;Alexey Eliseev Memorial
Aleksandr Potapov;M;B;Raw;27.5;24-34;24-39;O;89.8;90;;;;;;150;155;160;;160;;;;;;160;1;103.57;102.26;98.01;77.23;Yes;Russia;;GFP;;2020-10-09;Russia;KRS;Kursk;Star Wall Tournament
Aleksandr Potapov;M;B;Raw;26;24-34;24-39;Amateur Open;88.8;90;;;;;;150;155;-160;;155;;;;;;155;1;100.91;99.64;95.55;75.24;Yes;;;NAP;IPA;2018-12-07;Russia;VOR;Voronezh;Winter Storm
Aleksandr Potapov;M;B;Raw;25.5;24-34;24-39;Amateur Open;95.7;100;;;;;;160;165;170;;170;;;;;;170;3;106.71;105.40;100.77;79.54;Yes;Russia;;NAP;IPA;2018-06-10;Russia;VOR;Voronezh;Voronezh Bench Press & Deadlift Championships
Aleksandr Potapov;M;B;Raw;25;24-34;24-39;Pro Open;94.6;100;;;;;;-170;170;180;;180;;;;;;180;3;113.60;112.18;107.30;84.69;;;;WRPF;WRPF;2018-05-05;Russia;VOR;Voronezh;Battle for Voronezh
Aleksandr Potapov;M;SBD;Raw;34.5;24-34;24-39;Open;64.2;66;;;;;180;;;;;130;;;;;200;510;4;408.00;409.81;398.75;80.67;Yes;;;FPR;IPF;2018-04-29;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksandr Potapov;M;B;Raw;24;24-34;24-39;Amateur Open;89.2;90;;;;;;120;125;-132.5;;125;;;;;;125;3;81.19;80.17;76.86;60.54;Yes;;;WPC-RUS;WPC;2018-03-03;Russia;OMS;Omsk;CIS Cup
Aleksandr Potapov;M;B;Raw;25;24-34;24-39;Open;90;90;;;;;;130;132.5;135;;135;;;;;;135;2;87.29;86.18;82.60;65.09;;;;RPU;;2017-11-26;Russia;;Novokhopyorsk;Novokhopyorsk Championships
Aleksandr Potapov;M;D;Raw;34;24-34;24-39;Open;109.2;110;;;;;;;;;;;275;295;305;;305;305;1;181.14;179.90;171.90;;;;;RPU;;2017-06-10;Russia;KO;Syktyvkar;Spirit of the North Komi Championships
Aleksandr Potapov;M;B;Raw;23.5;24-34;24-39;Amateur Open;84.7;90;;;;;;125;-132.5;-132.5;;125;;;;;;125;8;83.44;82.46;79.25;62.14;Yes;Russia;;WPC-RUS;WPC;2016-11-12;Russia;SAR;Saratov;Silver Bar
Aleksandr Potapov;M;SBD;Raw;33;24-34;24-39;Open;108.6;110;220;235;245;;245;160;170;180;;180;260;285;305;;305;730;5;434.46;431.32;412.09;88.74;;;;IPL;IPL;2016-04-21;Russia;MOW;Dolgoprudnyy;European Powerlifting Championships
Aleksandr Potapov;M;B;Raw;31.5;24-34;24-39;Open;110.2;;;;;;;;;;;170;;;;;;170;8;100.62;99.99;95.57;74.46;;;;RPU;;2015-12-26;Russia;KO;Syktyvkar;Christmas Atlas Bench Press Cup
Aleksandr Potapov;M;SBD;Single-ply;31.5;24-34;24-39;Open;120.25;120+;;;;;315;;;;;225;;;;;310;850;9;487.82;488.45;468.07;82.08;Yes;;;FPR;IPF;2015-05-24;Russia;LEN;St. Petersburg;White Nights
Aleksandr Potapov;M;SBD;Single-ply;31.5;24-34;24-39;Open;58.96;59;;;;;190;;;;;145;;;;;-235;;DQ;;;;;Yes;;;FPR;IPF;2015-05-12;Russia;MOW;Moscow;Moscow Lights
Aleksandr Potapov;M;SBD;Raw;31.5;24-34;24-39;Open;63.25;66;;;;;170;;;;;135;;;;;210;515;1;416.76;419.14;408.13;82.11;Yes;Russia;;FPR;IPF;2015-02-14;Russia;MOW;Pushkino;Moscow Oblast Classical Powerlifting Championships
Aleksandr Potapov;M;B;Raw;29;24-34;24-39;Pro Open;85.5;90;;;;;;75;80;85;;85;;;;;;85;8;56.45;55.77;53.58;42.05;;;;WPC-RUS;WPC;2014-10-25;Russia;PRI;Nahodka;Nahodka Championships
