Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Protopopov;M;SBD;Raw;26.5;24-34;24-39;Open;82.75;83;;;;;230;;;;;150;;;;;290;670;1;453.08;448.03;431.03;92.89;Yes;Russia;;FPR;IPF;2013-10-07;Russia;KEM;Kemerovo;Russian Classic Powerlifting Cup
Aleksandr Protopopov;M;SBD;Raw;25.5;24-34;24-39;Open;82.1;83;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2012-05-24;Russia;KHM;Khanty-Mansiysk;North Cup
Aleksandr Protopopov;M;SBD;Single-ply;25.5;24-34;24-39;Open;80.9;83;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2012-05-24;Russia;KHM;Khanty-Mansiysk;North Cup
Aleksandr Protopopov;M;SBD;Raw;24.5;24-34;24-39;Open;79.7;83;;;;;220;;;;;147.5;;;;;280;647.5;1;447.47;443.10;427.01;91.50;Yes;Russia;;FPR;IPF;2011-05-27;Russia;KHM;Khanty-Mansiysk;Ugra Cup
Aleksandr Protopopov;M;SBD;Single-ply;23.5;24-34;24-39;Open;74.3;75;;;;;290;;;;;150;;;;;275;715;4;516.06;512.84;495.72;88.38;Yes;Russia;;FPR;IPF;2010-09-20;Russia;UD;Izhevsk;Russian Powerlifting Cup
Aleksandr Protopopov;M;SBD;Single-ply;23.5;24-34;24-39;Open;74.85;75;;;;;290;;;;;157.5;;;;;290;737.5;2;529.78;526.25;508.52;90.73;Yes;Russia;;FPR;IPF;2010-06-04;Russia;KHM;Khanty-Mansiysk;Ugra Cup
Aleksandr Protopopov;M;SBD;Single-ply;21.5;20-23;19-23;Open;73.75;75;;;;;282.5;;;;;145;;;;;260;687.5;1;498.61;495.72;479.33;85.39;Yes;Russia;;FPR;IPF;2008-05-29;Russia;KHM;Khanty-Mansiysk;Ugra Cup
Aleksandr Protopopov;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;74;75;;;;;250;;;;;142.5;;;;;282.5;675;11;488.47;485.54;469.41;83.65;Yes;Russia;;FPR;IPF;2008-04-23;Russia;NVS;Berdsk;Russian Juniors Powerlifting Championships
Aleksandr Protopopov;M;SBD;Single-ply;20.5;20-23;19-23;Open;67.3;67.5;;;;;245;;;;;135;;;;;245;625;4;482.75;483.03;468.94;82.57;Yes;Russia;;FPR;IPF;2007-06-08;Russia;KHM;Khanty-Mansiysk;Ugra Cup
Aleksandr Protopopov;M;SBD;Single-ply;18.5;18-19;19-23;Open;59.35;60;;;;;175;;;;;90;;;;;215;480;1;408.80;413.49;404.03;69.56;Yes;Russia;;FPR;IPF;2005-11-26;Russia;TYU;Tyumen;Tyumen Oblast Powerlifting Championships
