Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Pyatakov;M;SBD;Raw;45.5;45-49;40-49;Open;119.7;120;;;;;245;;;;;195;;;;;260;700;1;402.35;402.68;385.86;81.46;Yes;;;FPR;IPF;2021-05-14;Russia;NIZ;Gorodets;Battle of the Volga
Aleksandr Pyatakov;M;B;Raw;45.5;45-49;40-49;Masters 1;118.85;120;;;;;;170;182.5;190;;190;;;;;;190;1;109.47;109.48;104.90;80.49;Yes;;;FPR;IPF;2021-04-16;Russia;NIZ;Nizhny Novgorod;President of the SFNOP Bench Press Cup
Aleksandr Pyatakov;M;B;Raw;45.5;45-49;40-49;Open;121.85;120+;;;;;;175;187.5;200;;200;;;;;;200;1;114.28;114.59;109.80;83.83;Yes;;;FPR;IPF;2021-01-15;Russia;NIZ;Zavolzhye;Nizhny Novgorod Obast Bench Press Championships
Aleksandr Pyatakov;M;B;Raw;44.5;40-44;40-49;Masters 1;120.1;120+;;;;;;165;175;182.5;;182.5;;;;;;182.5;1;104.78;104.90;100.52;76.97;Yes;;;FPR;IPF;2020-08-29;Russia;NIZ;Gorodets;Nizhny Novgorod Oblast Bench Press Championships
Aleksandr Pyatakov;M;SBD;Raw;44.5;40-44;40-49;Masters 1;121.2;120+;;;;;240;;;;;190;;;;;252.5;682.5;1;390.68;391.49;375.15;79.00;Yes;;;FPR;IPF;2020-02-15;Russia;NIZ;Gorodets;Nizhny Novgorod Oblast Powerlifting Championships
Aleksandr Pyatakov;M;B;Raw;44.5;40-44;40-49;Masters 1;125.4;120+;;;;;;175;185;192.5;;192.5;;;;;;192.5;1;108.99;109.62;104.88;79.72;Yes;;;FPR;IPF;2020-01-18;Russia;NIZ;Trans-Volga;Nizhny Novgorod Oblast Bench Press Championships
Aleksandr Pyatakov;M;SBD;Raw;43.5;40-44;40-49;Open;118.75;120;;;;;230;;;;;182.5;;;;;250;662.5;1;381.82;381.83;365.84;77.37;Yes;;;FPR;IPF;2019-11-09;Russia;NIZ;Gorodets;Nizhny Novgorod Powerlifting Championships
Aleksandr Pyatakov;M;B;Raw;43.5;40-44;40-49;Masters 1;120.35;120+;;;;;;165;172.5;180;;180;;;;;;180;1;103.28;103.42;99.10;75.84;Yes;;;FPR;IPF;2019-10-12;Russia;NIZ;Nizhny Novgorod;President of the SFNP Bench Press Tournament
Aleksandr Pyatakov;M;SBD;Raw;43.5;40-44;40-49;Masters 1;116.25;120;;;;;215;;;;;180;;;;;240;635;1;368.64;367.92;352.32;74.85;Yes;;;FPR;IPF;2019-05-03;Russia;NIZ;Gorodets;Battle of the Volga
Aleksandr Pyatakov;M;SBD;Raw;43.5;40-44;40-49;Masters 1;117.35;120;;;;;215;;;;;180;;;;;220;615;1;355.87;355.48;340.50;72.20;Yes;;;FPR;IPF;2019-02-16;Russia;NIZ;Gorodets;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Pyatakov;M;B;Raw;43.5;40-44;40-49;Masters 1;116.95;120;;;;;;180;190;-200;;190;;;;;;190;1;110.07;109.92;105.28;81.05;Yes;;;FPR;IPF;2019-01-19;Russia;NIZ;Zavolzhye;Nizhny Novgorod Bench Press Championships
Aleksandr Pyatakov;M;B;Raw;42.5;40-44;40-49;Masters 1;115.55;120;;;;;;175;185;192.5;;192.5;;;;;;192.5;1;111.99;111.71;106.95;82.55;Yes;;;FPR;IPF;2018-09-15;Russia;NIZ;Gorodets;President of the SFNP Bench Press Tournament
Aleksandr Pyatakov;M;SBD;Single-ply;42.5;40-44;40-49;Open;116.1;120;;;;;220;;;;;190;;;;;235;645;6;374.62;373.84;357.97;63.15;Yes;;;FPR;IPF;2018-08-04;Russia;NIZ;Semenov;Nizhny Novgorod Oblast Classic Powerlifting Cup
Aleksandr Pyatakov;M;SBD;Raw;42.5;40-44;40-49;Masters 1;113.05;120;;;;;200;;;;;180;;;;;215;595;1;348.86;347.35;332.28;71.02;Yes;;;FPR;IPF;2018-02-16;Russia;NIZ;Gorodets;Nizhny Novgorod Oblast Juniors Sub-Juniors & Masters Powerlifting Championships
