Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Raevskiy;M;D;Raw;35;35-39;24-39;Open;77.9;82.5;;;;;;;;;;;260;270;272.5;;272.5;272.5;1;190.92;189.25;182.56;;;Russia;;WPA;;2019-02-01;Russia;PRI;Vladivostok;Asian Championships
Aleksandr Raevskiy;M;SBD;Wraps;35;35-39;24-39;Open;78.3;82.5;230;240;250;;250;165;175;180;;180;250;260;270;;270;700;1;488.92;484.52;467.29;99.82;;Russia;;WPA-RUS;WPA;2018-12-21;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Raevskiy;M;B;Raw;35;35-39;24-39;Open;78.3;82.5;;;;;;165;175;180;;180;;;;;;180;1;125.72;124.59;120.16;93.18;;Russia;;WPA-RUS;WPA;2018-12-21;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Raevskiy;M;D;Raw;35;35-39;24-39;Open;78.3;82.5;;;;;;;;;;;250;260;270;;270;270;1;188.58;186.89;180.24;;;Russia;;WPA-RUS;WPA;2018-12-21;Russia;KHA;Khabarovsk;Russian Championships
Aleksandr Raevskiy;M;B;Raw;34;24-34;24-39;Submasters 33-39;80.4;82.5;;;;;;160;170;-180;;170;;;;;;170;1;116.88;115.70;111.45;86.80;;Russia;;WPA-RUS;WPA;2018-01-12;Russia;KHA;Khabarovsk;CIS Championships
Aleksandr Raevskiy;M;B;Raw;34;24-34;24-39;Open;80.4;82.5;;;;;;160;170;-180;;170;;;;;;170;1;116.88;115.70;111.45;86.80;;Russia;;WPA-RUS;WPA;2018-01-12;Russia;KHA;Khabarovsk;CIS Championships
Aleksandr Raevskiy;M;D;Raw;34;24-34;24-39;M-O;79.8;82.5;;;;;;;;;;;240;250;255;;255;255;2;176.09;174.36;168.02;;;Russia;;GPC-RUS;GPC;2017-10-21;Russia;KHA;Khavarovsk;Russian Cup
Aleksandr Raevskiy;M;B;Raw;34;24-34;24-39;M-O;79.8;82.5;;;;;;170;177.5;180;;180;;;;;;180;1;124.30;123.08;118.60;92.26;;Russia;;GPC-RUS;GPC;2017-10-21;Russia;KHA;Khavarovsk;Russian Cup
Aleksandr Raevskiy;M;S;Wraps;34;24-34;24-39;M-O;79.8;82.5;220;230;240;;240;;;;;;;;;;;240;1;165.74;164.11;158.14;;;Russia;;GPC-RUS;GPC;2017-10-21;Russia;KHA;Khavarovsk;Russian Cup
Aleksandr Raevskiy;M;SBD;Wraps;33;24-34;24-39;Pro Open;74.7;75;-200;210;220;;220;170;175;177.5;;177.5;240;245;250;;250;647.5;1;465.72;462.68;447.13;94.60;;Russia;;WPC-RUS;WPC;2017-05-20;Russia;KHA;Khabarovsk;Far Eastern Federal District Cup
Aleksandr Raevskiy;M;D;Raw;33;24-34;24-39;Pro Open;74.7;75;;;;;;;;;;;242.5;;;;242.5;242.5;1;174.42;173.28;167.46;;;Russia;;WPC-RUS;WPC;2017-05-20;Russia;KHA;Khabarovsk;Far Eastern Federal District Cup
Aleksandr Raevskiy;M;B;Raw;33;24-34;24-39;Open;74.6;75;;;;;;-165;170;175;;175;;;;;;175;1;125.98;125.16;120.97;92.93;;Russia;;RPU;;2017-04-15;Russia;KHA;Khabarovsk;Sons of Metal Tournament
Aleksandr Raevskiy;M;SBD;Wraps;33;24-34;24-39;Open;74.6;75;190;200;210;;210;-165;170;175;;175;230;237.5;245;;245;630;1;453.53;450.59;435.48;92.10;;Russia;;RPU;;2017-04-15;Russia;KHA;Khabarovsk;Sons of Metal Tournament
Aleksandr Raevskiy;M;D;Raw;33;24-34;24-39;Open;74.6;75;;;;;;;;;;;230;237.5;245;;245;245;1;176.37;175.23;169.35;;;Russia;;RPU;;2017-04-15;Russia;KHA;Khabarovsk;Sons of Metal Tournament
Aleksandr Raevskiy;M;D;Raw;33;24-34;24-39;Open;74.1;75;;;;;;;;;;;230;242.5;-245;;242.5;242.5;1;175.33;174.27;168.47;;;Russia;;WPA-RUS;WPA;2017-01-15;Russia;KHA;Khabarovsk;CIS Championships
Aleksandr Raevskiy;M;B;Raw;33;24-34;24-39;Open;74.1;75;;;;;;165;170;175;;175;;;;;;175;1;126.53;125.76;121.58;93.26;;Russia;;WPA-RUS;WPA;2017-01-15;Russia;KHA;Khabarovsk;CIS Championships
Aleksandr Raevskiy;M;D;Raw;33;24-34;24-39;Pro Open;78.55;82.5;;;;;;;;;;;240;-250;-250;;240;240;1;167.31;165.78;159.86;;;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
Aleksandr Raevskiy;M;B;Raw;33;24-34;24-39;Pro Open;78.55;82.5;;;;;;160;170;175;;175;;;;;;175;1;121.99;120.88;116.56;90.44;;Russia;;WPC;WPC;2016-07-30;Russia;AMU;Blagoveshchensk;Asian Cup
