Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Romanichev;M;D;Raw;57;55-59;50-59;M4;55.5;56;;;;;;;;;;;160;170;180;;180;180;1;162.39;165.31;162.17;;;Israel;;NPA;;2021-05-28;Israel;;Rishon LeZion;Open Israel Championships
Aleksandr Romanichev;M;D;Raw;56;55-59;50-59;M4;57.3;60;;;;;;;;;;;170;182.5;192.5;;192.5;192.5;1;168.89;171.40;167.81;;;;;GPC-ISR;GPC;2019-11-15;Israel;;Arad;Israel Championships
Aleksandr Romanichev;M;D;Multi-ply;56;55-59;50-59;M4;57.3;60;;;;;;;;;;;200;210;225;;225;225;1;197.40;200.33;196.15;;;;;GPC-ISR;GPC;2019-11-15;Israel;;Arad;Israel Championships
Aleksandr Romanichev;M;S;Multi-ply;56;55-59;50-59;M4;55.6;56;150;160;-170;;160;;;;;;;;;;;160;1;144.12;146.68;143.88;;;Israel;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aleksandr Romanichev;M;SBD;Wraps;56;55-59;50-59;M4;55.5;56;120;140;150;;150;80;85;90;;90;170;180;-200;200;180;420;1;378.92;385.73;378.39;71.82;;Israel;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aleksandr Romanichev;M;D;Raw;56;55-59;50-59;M4;55.6;56;;;;;;;;;;;170;185;-200;;185;185;1;166.64;169.60;166.36;;;Israel;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aleksandr Romanichev;M;D;Multi-ply;56;55-59;50-59;M4;55.7;56;;;;;;;;;;;202.5;212.5;220;;220;220;1;197.85;201.33;197.46;;;Israel;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aleksandr Romanichev;M;D;Multi-ply;54;50-54;50-59;M3;55.8;56;;;;;;;;;;;200;210;221;;221;221;1;198.43;201.89;197.99;;;Israel;;GPC;GPC;2018-09-16;Hungary;;Eger;World Championships
Aleksandr Romanichev;M;S;Multi-ply;54;50-54;50-59;M3;58;60;175;190;-205;;190;;;;;;;;;;;190;1;164.97;167.23;163.62;;;Israel;;GPC;GPC;2018-09-16;Hungary;;Eger;World Championships
Aleksandr Romanichev;M;D;Raw;54;50-54;50-59;O;58.7;60;;;;;;;;;;;170;190;200;;200;200;1;171.91;174.06;170.18;;;Israel;;GPC-ISR;GPC;2017-11-17;Israel;;Ashdod;Israel Championships
