Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Romanov;M;D;Raw;16;16-17;14-18;Amateur Teen 14-16;74.4;75;;;;;;;;;;;185;-207.5;207.5;;207.5;207.5;1;149.63;148.69;143.72;;Yes;Russia;;WRPF;WRPF;2022-05-21;Russia;TYU;Tyumen;Tyumen Strong
Aleksandr Romanov;M;B;Raw;17;16-17;14-18;Teen 16-17;78.8;82.5;;;;;;100;105;110;;110;;;;;;110;2;76.54;75.82;73.11;56.75;;Russia;;RPU;;2022-05-06;Russia;LEN;Vyborg;Vyborg Championships
Aleksandr Romanov;M;SBD;Raw;48;45-49;40-49;Pro Open;107.5;110;-200;200;-210;;200;-182.5;187.5;190;;190;220;230;-240;;230;620;8;370.45;367.54;351.07;75.72;;Russia;;WRPF;WRPF;2021-12-16;Russia;MOW;Moscow;World Championships
Aleksandr Romanov;M;D;Raw;16;16-17;14-18;Amateur Teen 14-16;74.9;75;;;;;;;;;;;170;190;-207.5;;190;190;1;136.43;135.51;130.94;;Yes;Russia;;WRPF;WRPF;2021-09-11;Russia;TYU;Tyumen;Ural Federal District Championships
Aleksandr Romanov;M;D;Raw;15;13-15;14-18;Amateur Teen 14-16;66.3;67.5;;;;;;;;;;;150;170;180;;180;180;1;140.56;140.81;136.80;;Yes;Russia;;WRPF;WRPF;2021-05-09;Russia;TYU;Tyumen;Western Siberia Championships
Aleksandr Romanov;M;D;Raw;29.5;24-34;24-39;Open;85.9;93;;;;;;;;;;;200;215;-230;;215;215;4;142.43;140.71;135.14;;Yes;Russia;;FPR;IPF;2021-02-27;Russia;MUR;Olenegorsk;Olenegorsk Raw Deadlift Championships
Aleksandr Romanov;M;SBD;Wraps;47;45-49;40-49;Open;110.9;125;217.5;-230;-232.5;;217.5;185;192.5;-197.5;;192.5;245;260;-270;;260;670;1;395.61;393.32;376.01;80.67;;Russia;;RPU;;2020-10-03;Russia;MOW;Serpukhov;Okskie Bogatyr Cup
Aleksandr Romanov;M;B;Raw;46;45-49;40-49;Pro Masters 40-49;109.7;110;;;;;;185;192.5;197.5;;197.5;;;;;;197.5;10;117.09;116.33;111.17;86.68;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Romanov;M;SBD;Wraps;46;45-49;40-49;Masters 45-49;109.7;110;-220;225;-235;;225;180;187.5;190;;190;-250;255;;;255;670;1;397.23;394.62;377.13;81.07;;Russia;;WPF;;2019-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Romanov;M;SBD;Wraps;46;45-49;40-49;Open;109.7;110;-220;225;-235;;225;180;187.5;190;;190;-250;255;;;255;670;2;397.23;394.62;377.13;81.07;;Russia;;WPF;;2019-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Romanov;M;SBD;Wraps;45;45-49;40-49;Masters 45-49;114.6;125;215;-225;225;;225;182.5;187.5;190;;190;255;272.5;282.5;;282.5;697.5;1;406.97;405.66;388.26;82.75;;Russia;;WPF;;2018-11-16;Russia;MOW;Moscow;World Championships
Aleksandr Romanov;M;SBD;Wraps;45;45-49;40-49;Open;114.6;125;215;-225;225;;225;182.5;187.5;190;;190;255;272.5;282.5;;282.5;697.5;2;406.97;405.66;388.26;82.75;;Russia;;WPF;;2018-11-16;Russia;MOW;Moscow;World Championships
Aleksandr Romanov;M;SBD;Raw;44.5;40-44;40-49;Masters 45-49;115;125;-215;-215;215;;215;-182.5;-185;185;;185;245;262.5;270;;270;670;1;390.44;389.30;372.65;79.36;;Russia;;WPF;;2018-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Romanov;M;SBD;Raw;43.5;40-44;40-49;Pro Masters 40-44;114;125;220;230;-240;;230;180;185;-190;;185;240;260;;;260;675;2;394.58;393.14;376.20;80.27;;Russia;;WPF-RUS;WPF;2017-12-16;Russia;MOW;Moscow;Russian Championships
Aleksandr Romanov;M;SBD;Wraps;44;40-44;40-49;Masters 40-49;115.9;125;215;227.5;-235;;227.5;175;182.5;-187.5;;182.5;230;245;255;;255;665;2;386.47;385.61;369.21;78.50;;Russia;;WRPF;WRPF;2017-10-25;Russia;MOW;Moscow;Amateur World Championships
Aleksandr Romanov;M;SBD;Wraps;44;40-44;40-49;Amateur Masters 40-49;114.4;125;190;200;-210;;200;-170;175;180;;180;210;225;240;;240;620;1;361.97;360.76;345.26;73.61;;Russia;;WRPF;WRPF;2017-06-02;Russia;MOW;Moscow;European Championships
Aleksandr Romanov;M;B;Unlimited;43.5;40-44;40-49;M1;104.1;110;;;;;;-220;220;-230;;220;;;;;;220;2;133.15;131.86;125.91;68.59;Yes;Russia;;Vityaz;;2017-03-18;Russia;MOW;Moscow;World Cup
