Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Rozhkov;M;D;Raw;27;24-34;24-39;Open;100;100;;;;;;;;;;;285;300;325;;325;325;1;200.04;197.79;188.91;;;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksandr Rozhkov;M;SBD;Wraps;27;24-34;24-39;Open;100;100;275;300;310;;310;175;185;195;;195;285;300;325;;325;830;1;510.88;505.13;482.45;104.85;;Russia;;RPU;;2019-06-14;Russia;VLA;Suzdal;National Championships
Aleksandr Rozhkov;M;B;Raw;28.5;24-34;24-39;Amateur Open;73.6;75;;;;;;120;-130;130;;130;;;;;;130;3;94.41;93.87;90.78;69.53;Yes;Russia;;WPC-RUS;WPC;2016-03-05;Russia;SAM;Togliatty;Samara Oblast Championships
Aleksandr Rozhkov;M;B;Raw;28.5;24-34;24-39;Amateur Open;73.6;75;;;;;;120;-130;130;;130;;;;;;130;3;94.41;93.87;90.78;69.53;Yes;Russia;;WPC-RUS;WPC;2016-03-05;Russia;SAM;Togliatty;Samara Oblast Championships
Aleksandr Rozhkov;M;SBD;Raw;23.5;24-34;24-39;Open;91.25;93;;;;;260;;;;;180;;;;;280;720;7;462.36;456.48;437.23;95.07;Yes;Russia;;FPR;IPF;2015-12-24;Russia;NIZ;Nizhny Novgorod;Russian Classic Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Single-ply;23.5;24-34;24-39;Open;92.1;93;;;;;310;;;;;202.5;;;;;290;802.5;1;513.00;506.48;484.94;87.47;Yes;Russia;;FPR;IPF;2015-10-07;Russia;NIZ;Arzamas;Russian Universities Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Raw;23.5;24-34;24-39;Open;91.7;93;;;;;260;;;;;175;;;;;285;720;1;461.24;455.37;436.09;94.84;Yes;Russia;;FPR;IPF;2015-10-07;Russia;NIZ;Arzamas;Russian Universities Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Raw;23.5;24-34;24-39;Open;92.5;93;;;;;272.5;;;;;197.5;;;;;300;770;1;491.19;484.95;464.25;101.00;Yes;Russia;;FPR;IPF;2015-03-20;Russia;MOW;Moscow;Moscow City Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Single-ply;22.5;20-23;19-23;Open;92.04;93;;;;;320;;;;;215;;;;;310;845;2;540.34;533.47;510.80;92.14;Yes;Russia;;FPR;IPF;2014-12-03;Russia;MOW;Moscow;Central District & Moscow Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Single-ply;21.5;20-23;19-23;Open;96.5;105;;;;;305;;;;;200;;;;;300;805;1;503.40;497.26;475.33;85.67;Yes;Russia;;FPR;IPF;2013-12-14;Russia;RYA;Ryazan;Ryazan Oblast Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Single-ply;21.5;20-23;19-23;Open;95.65;105;;;;;335;;;;;230;;;;;310;875;4;549.40;542.61;518.82;93.53;Yes;Russia;;FPR;IPF;2013-11-27;Russia;MOW;Moscow;Central Federal District & Moscow City Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Multi-ply;21;20-23;19-23;Pro Juniors 20-23;96.5;100;285;300;325;;325;185;200;225;;225;270;310;-335;;310;860;1;537.79;531.23;507.80;91.52;;Russia;;WPC-RUS;WPC;2013-06-13;Russia;MOW;Moscow;Russian Championships
Aleksandr Rozhkov;M;SBD;Raw;20.5;20-23;19-23;Juniors;90.7;93;;;;;260;;;;;176;;;;;280;716;1;461.17;455.31;436.22;94.82;Yes;Russia;;FPR;IPF;2012-12-13;Russia;TVE;Bologoye;Russian Sports Schools Classic Powerlifting Championships
Aleksandr Rozhkov;M;SBD;Single-ply;20.5;20-23;19-23;Open;93.5;105;;;;;320;;;;;200;;;;;275;795;1;504.52;498.15;476.68;85.98;Yes;Russia;;FPR;IPF;2012-12-08;Russia;RYA;Ryazan;Ryazan Oblast Powerlifting Championships
