Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Rumyantsev;M;B;Raw;37;35-39;24-39;Pro Open;102;110;;;;;;120;135;;;135;;;;;;135;3;82.40;81.53;77.85;61.27;;Russia;;WRPF;WRPF;2021-03-06;Russia;KO;Vorkuta;Vorkuta City Championships
Aleksandr Rumyantsev;M;B;Raw;28;24-34;24-39;Pro Open;73.5;75;;;;;;100;-112.5;-112.5;;100;;;;;;100;1;72.69;72.28;69.90;53.52;;Russia;;WPF-RUS;WPF;2019-12-14;Russia;MOW;Moscow;Russian Championships
Aleksandr Rumyantsev;M;B;Raw;28;24-34;24-39;Pro Open;73.4;75;;;;;;90;110;-115;;110;;;;;;110;1;80.03;79.59;76.97;58.92;;Russia;;WPF-RUS;WPF;2019-10-20;Russia;MOW;Moscow;PROMotion Cup
Aleksandr Rumyantsev;M;B;Raw;27;24-34;24-39;Open;70;75;;;;;;90;-110;-110;;90;;;;;;90;2;67.60;67.44;65.36;49.45;;Russia;;WPF;;2019-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Rumyantsev;M;SBD;Wraps;22;20-23;19-23;Juniors 20-23;71;75;-150;150;;;150;85;-90;;;85;150;160;165;;165;400;1;297.55;296.55;287.21;60.00;;Russia;;WPA-RUS;WPA;2019-03-03;Russia;OMS;Omsk;Russian Powerlifting Cup
Aleksandr Rumyantsev;M;B;Raw;27;24-34;24-39;Pro Open;70.7;75;;;;;;90;107.5;-110;;107.5;;;;;;107.5;1;80.20;79.95;77.45;58.74;;Russia;;WPF-RUS;WPF;2019-02-23;Russia;MOW;Moscow;Megapolis Tournament
Aleksandr Rumyantsev;M;B;Raw;26.5;24-34;24-39;Amateur Open;70;75;;;;;;-90;-105;105;;105;;;;;;105;1;78.87;78.69;76.26;57.69;Yes;Russia;;WPF-RUS;WPF;2018-09-29;Russia;MOW;Moscow;ProMotion
Aleksandr Rumyantsev;M;B;Raw;27;24-34;24-39;Pro Open;70;75;;;;;;95;-105;-105;;95;;;;;;95;3;71.36;71.19;68.99;52.19;;Russia;;WPC-RUS;WPC;2018-09-08;Russia;KLU;Obninsk;Adrenaline
Aleksandr Rumyantsev;M;B;Raw;26;24-34;24-39;Amateur Open;70.7;75;;;;;;95;-102.5;-102.5;;95;;;;;;95;1;70.87;70.66;68.44;51.91;Yes;Russia;;WPF-RUS;WPF;2018-06-16;Russia;LIP;Lipetsk;Lipetsk Region Cup
Aleksandr Rumyantsev;M;D;Raw;51.5;50-54;50-59;Amateur Masters 50-54;67.2;67.5;;;;;;;;;;;170;180;190;;190;190;1;146.92;147.02;142.74;;Yes;Russia;;WPC;WPC;2018-06-02;Russia;MOW;Dolgoprudnyy;European Cup
Aleksandr Rumyantsev;M;B;Raw;26;24-34;24-39;Pro Open;69.7;75;;;;;;90;100;-105;;100;;;;;;100;3;75.34;75.19;72.88;55.07;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksandr Rumyantsev;M;B;Raw;26.5;24-34;24-39;Pro Open;67.3;67.5;;;;;;85;-90;-100;;85;;;;;;85;1;65.65;65.69;63.78;47.70;;Russia;;WPF-RUS;WPF;2018-02-24;Russia;MOW;Moscow;Megapolis
Aleksandr Rumyantsev;M;B;Raw;25.5;24-34;24-39;Pro Open;65.7;67.5;;;;;;80;85;-90;;85;;;;;;85;1;66.83;66.99;65.11;48.33;;Russia;;WPF-RUS;WPF;2017-12-16;Russia;MOW;Moscow;Russian Championships
Aleksandr Rumyantsev;M;SBD;Wraps;35;35-39;24-39;Open;101.4;110;-220;220;230;;230;140;145;150;;150;210;-220;-220;;210;590;1;361.00;357.11;341.02;74.05;;Russia;;RPU;;2017-11-25;Russia;;Tver;Athanasius Nikitin Cup
Aleksandr Rumyantsev;M;B;Raw;26;24-34;24-39;Pro Open;64.5;67.5;;;;;;80;-87.5;87.5;;87.5;;;;;;87.5;1;69.75;70.03;68.13;50.26;;Russia;;WPF-RUS;WPF;2017-09-09;Russia;MOW;Dedovsk;Moscow Region Cup
Aleksandr Rumyantsev;M;B;Raw;25;24-34;24-39;Amateur Open;64.8;67.5;;;;;;75;85;-90;;85;;;;;;85;5;67.52;67.77;65.91;48.70;Yes;Russia;;WPC;WPC;2017-06-04;Russia;MOW;Moscow;Amateur European Championships
Aleksandr Rumyantsev;M;B;Raw;25;24-34;24-39;Pro Open;63.9;67.5;;;;;;75;-82.5;-85;;75;;;;;;75;2;60.22;60.51;58.89;43.30;;Russia;;WPC-RUS;WPC;2017-04-23;Russia;MOW;Moscow;Kremlin Gym Competition
Aleksandr Rumyantsev;M;B;Raw;25;24-34;24-39;Pro Open;64.5;67.5;;;;;;70;80;82.5;;82.5;;;;;;82.5;1;65.77;66.03;64.23;47.39;;Russia;;WPC-RUS;WPC;2017-03-04;Russia;TVE;Rzhev;Cup of Military Glory
