Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Rystsov;M;B;Unlimited;42;40-44;40-49;Pro Open;114.9;125;;;;;;-300;-300;-300;;;;;;;;;DQ;;;;;;Russia;;WPF-RUS;WPF;2022-04-22;Russia;MOW;Reutov;Grand Prix & Kremlin Press
Aleksandr Rystsov;M;B;Multi-ply;41;40-44;40-49;Open;114.2;125;;;;;;-287.5;-287.5;-290;;;;;;;;;DQ;;;;;;Russia;;IPL;IPL;2021-11-19;Russia;MOW;Dolgoprudny;World Cup
Aleksandr Rystsov;M;B;Multi-ply;41;40-44;40-49;Pro Open;114.7;125;;;;;;-285;-285;285;;285;;;;;;285;2;166.24;165.72;158.61;85.24;;Russia;;WPF-RUS;WPF;2021-04-25;Russia;MOW;Moscow;Grand Prix & Kremlin Press
Aleksandr Rystsov;M;B;Single-ply;41;40-44;40-49;Pro Open;114.2;125;;;;;;-265;-265;-265;;;;;;;;;DQ;;;;;;Russia;;WPF-RUS;WPF;2020-12-20;Russia;MOW;Moscow;Kremlin Press
Aleksandr Rystsov;M;B;Unlimited;41;40-44;40-49;Pro Open;114.2;125;;;;;;-285;-285;285;;285;;;;;;285;2;166.49;165.91;158.77;85.39;;Russia;;WPF-RUS;WPF;2020-12-20;Russia;MOW;Moscow;Kremlin Press
Aleksandr Rystsov;M;B;Single-ply;40;40-44;40-49;Pro Open;116;125;;;;;;-270;-270;-270;;;;;;;;;DQ;;;;;;Russia;;WPF;;2020-11-14;Russia;MOW;Moscow;World Championships
Aleksandr Rystsov;M;B;Single-ply;39;35-39;40-49;Open;113;125;;;;;;265;270;-275;;270;;;;;;270;1;158.33;157.64;150.80;81.23;;Russia;;IPL;IPL;2019-11-15;Russia;MOW;Dolgoprudny;World Cup
Aleksandr Rystsov;M;B;Single-ply;39;35-39;40-49;Pro Open;113.3;125;;;;;;265;272.5;-280;;272.5;;;;;;272.5;1;159.64;158.98;152.10;81.90;;Russia;;WPF-RUS;WPF;2019-10-20;Russia;MOW;Moscow;PROMotion Cup
Aleksandr Rystsov;M;B;Single-ply;39;35-39;40-49;Open;112.6;125;;;;;;260;270;-277.5;;270;;;;;;270;1;158.54;157.80;150.93;81.35;;Russia;;WPF;;2019-06-08;Russia;MOW;Moscow;European Championships
Aleksandr Rystsov;M;B;Single-ply;39;35-39;40-49;Pro Open;113.9;125;;;;;;250;-257.5;260;;260;;;;;;260;1;152.03;151.47;144.94;77.98;;Russia;;WPF-RUS;WPF;2019-04-20;Russia;MOW;Ershovo;Kremlin Press
Aleksandr Rystsov;M;B;Unlimited;39;35-39;40-49;Pro Open;113.9;125;;;;;;-280;-280;280;;280;;;;;;280;4;163.73;163.12;156.09;83.98;;Russia;;WPF-RUS;WPF;2019-04-20;Russia;MOW;Ershovo;Kremlin Press
Aleksandr Rystsov;M;B;Multi-ply;38;35-39;24-39;Pro Open;114.5;125;;;;;;-285;-285;285;;285;;;;;;285;1;166.34;165.79;158.68;85.30;;Russia;;WPF-RUS;WPF;2018-12-01;Russia;LIP;Lipetsk;Russian Championships
Aleksandr Rystsov;M;B;Single-ply;38;35-39;24-39;Open;115;125;;;;;;260;267.5;-272.5;;267.5;;;;;;267.5;2;155.88;155.43;148.78;79.93;;Russia;;WPF;;2018-11-16;Russia;MOW;Moscow;World Championships
Aleksandr Rystsov;M;B;Multi-ply;38.5;35-39;24-39;Open;110.6;125;;;;;;-285;-285;-285;;;;;;;;;DQ;;;;;;Russia;;IPL;IPL;2018-05-25;Russia;MOW;Dolgoprudnyy;European Championships
Aleksandr Rystsov;M;B;Multi-ply;38;35-39;24-39;Pro Open;112.8;125;;;;;;240;-250;250;;250;;;;;;250;1;146.70;146.04;139.69;75.27;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksandr Rystsov;M;B;Unlimited;38;35-39;24-39;Pro Open;112.8;125;;;;;;-290;-295;-295;;;;;;;;;DQ;;;;;;Russia;;WPF-RUS;WPF;2018-04-22;Russia;MOW;Moscow;Kremlin Press
Aleksandr Rystsov;M;B;Single-ply;37;35-39;24-39;Open;113.8;125;;;;;;240;245;250;;250;;;;;;250;1;146.23;145.68;139.39;75.00;;Russia;;RPU;;2017-10-13;Russia;VOR;Voronezh;Black Earth Cup
Aleksandr Rystsov;M;B;Multi-ply;37;35-39;24-39;Open;108.9;110;;;;;;265;-270;-270;;265;;;;;;265;1;157.55;156.44;149.48;80.96;;Russia;;IPL;IPL;2017-04-20;Russia;MOW;Dolgoprudny;European Championships
Aleksandr Rystsov;M;B;Multi-ply;36.5;35-39;24-39;Pro Open;109.4;110;;;;;;265;272.5;-280;;272.5;;;;;;272.5;1;161.73;160.64;153.50;83.08;;Russia;;WPC;WPC;2016-08-13;Russia;KRS;Kursk;World Cup
Aleksandr Rystsov;M;B;Multi-ply;36;35-39;24-39;Pro Open;125;125;;;;;;255;-262.5;-262.5;;255;;;;;;255;1;144.52;145.31;139.06;74.00;;Russia;;WPC-RUS;WPC;2016-02-14;Russia;TAM;Tambov;Black Earth Championships
Aleksandr Rystsov;M;B;Single-ply;36;35-39;24-39;Pro Open;110.3;125;;;;;;217.5;225;235;;235;;;;;;235;1;139.04;138.18;132.08;71.40;;Russia;;WPC-RUS;WPC;2016-01-24;Russia;;;Central Federal District Championships
Aleksandr Rystsov;M;B;Multi-ply;35.5;35-39;24-39;Pro Open;110.6;125;;;;;;-250;-252.5;-252.5;;;;;;;;;DQ;;;;;;Russia;;WPC-RUS;WPC;2015-09-05;Russia;LIP;Lipetsk;Lipetsk Oblast Bench Press & Deadlift Сup
Aleksandr Rystsov;M;B;Multi-ply;35.5;35-39;24-39;Pro Open;109.7;110;;;;;;247.5;260;-265;;260;;;;;;260;1;154.15;153.14;146.35;79.18;;Russia;;WPC;WPC;2015-08-12;Russia;KRS;Kursk;World Cup
Aleksandr Rystsov;M;B;Raw;35;35-39;24-39;Pro Open;110;110;;;;;;250;260;-270;;260;;;;;;260;1;153.99;153.01;146.24;113.97;;Russia;;WPC-RUS;WPC;2015-03-14;Russia;KRS;Kursk;Svarog Cup
