Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Safonov;M;B;Multi-ply;43;40-44;40-49;Amateur Open;89.5;90;;;;;;210;230;-235;;230;;;;;;230;1;149.14;147.25;141.16;77.86;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Safonov;M;B;Multi-ply;43;40-44;40-49;Amateur Masters 40-44;89.5;90;;;;;;210;230;-235;;230;;;;;;230;1;149.14;147.25;141.16;77.86;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Safonov;M;B;Raw;43;40-44;40-49;Amateur Masters 40-44;89.5;90;;;;;;130;140;150;;150;;;;;;150;1;97.26;96.03;92.06;72.53;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Safonov;M;B;Raw;43;40-44;40-49;Amateur Open;89.5;90;;;;;;130;140;150;;150;;;;;;150;3;97.26;96.03;92.06;72.53;Yes;Russia;;NAP;IPA;2019-07-05;Russia;KDA;Krasnodar;Eurasian Cup
Aleksandr Safonov;M;B;Unlimited;43;40-44;40-49;Amateur Masters 40-44;89.2;90;;;;;;180;-195;-202.5;;180;;;;;;180;1;116.92;115.44;110.68;61.06;Yes;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksandr Safonov;M;B;Multi-ply;43;40-44;40-49;Amateur Open;90;90;;;;;;210;230;240;;240;;;;;;240;1;155.18;153.21;146.84;80.96;Yes;Russia;;NAP;IPA;2019-04-06;Russia;BEL;Belgorod;Belgorod Region Cup
Aleksandr Safonov;M;B;Multi-ply;43;40-44;40-49;Amateur Masters 40-44;90;90;;;;;;210;230;240;;240;;;;;;240;1;155.18;153.21;146.84;80.96;Yes;Russia;;NAP;IPA;2019-04-06;Russia;BEL;Belgorod;Belgorod Region Cup
Aleksandr Safonov;M;B;Raw;43;40-44;40-49;Amateur Masters 40-44;90;90;;;;;;120;140;-150;;140;;;;;;140;1;90.52;89.38;85.66;67.51;Yes;Russia;;NAP;IPA;2019-04-06;Russia;BEL;Belgorod;Belgorod Region Cup
Aleksandr Safonov;M;B;Raw;43;40-44;40-49;Amateur Open;90;90;;;;;;120;140;-150;;140;;;;;;140;1;90.52;89.38;85.66;67.51;Yes;Russia;;NAP;IPA;2019-04-06;Russia;BEL;Belgorod;Belgorod Region Cup
Aleksandr Safonov;M;D;Raw;17;16-17;14-18;Amateur Sub-Juniors 17-19;90;90;;;;;;;;;;;210;-220;-230;;210;210;1;135.79;134.06;128.49;;Yes;Russia;;WRPF;WRPF;2018-09-08;Russia;STA;Stavropol;Cup of St. George
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Open;89.05;90;;;;;;210;225;230;;230;;;;;;230;1;149.52;147.63;141.56;78.10;Yes;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Masters 40-44;89.05;90;;;;;;210;225;230;;230;;;;;;230;1;149.52;147.63;141.56;78.10;Yes;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Masters 40-44;89.05;90;;;;;;180;190;-210;;190;;;;;;190;1;123.52;121.96;116.94;64.52;Yes;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Safonov;M;B;Raw;42;40-44;40-49;Amateur Masters 40-44;89.05;90;;;;;;130;140;155;;155;;;;;;155;1;100.76;99.49;95.40;75.13;Yes;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Open;89.05;90;;;;;;180;190;-210;;190;;;;;;190;2;123.52;121.96;116.94;64.52;Yes;Russia;;NAP;IPA;2018-06-07;Russia;KDA;Sochi;Olympia V
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Masters 40-44;90;90;;;;;;215;225;235;;235;;;;;;235;1;151.95;150.02;143.78;79.27;;Russia;;NAP;IPA;2018-03-04;Russia;KDA;Sochi;Southern Federal District Championships
Aleksandr Safonov;M;B;Unlimited;42;40-44;40-49;Amateur Open;90;90;;;;;;215;225;235;;235;;;;;;235;1;151.95;150.02;143.78;79.27;;Russia;;NAP;IPA;2018-03-04;Russia;KDA;Sochi;Southern Federal District Championships
