Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shchelkov;M;D;Raw;28;24-34;24-39;Amateur Open;73.6;75;;;;;;;;;;;-220;232.5;-240;;232.5;232.5;1;168.84;167.89;162.35;;Yes;Russia;;WPC;WPC;2018-07-05;Russia;NVS;Novosibirsk;Eastern Europe Championships
Aleksandr Shchelkov;M;SBD;Raw;26;24-34;24-39;Open;81;82.5;-195;195;207.5;;207.5;150;157.5;-165;;157.5;230;242.5;-250;;242.5;607.5;1;415.87;411.54;396.31;85.14;Yes;Russia;;RPU;;2016-07-02;Russia;NVS;Novosibirsk;Capital of Siberia Tournament
Aleksandr Shchelkov;M;B;Raw;26.5;24-34;24-39;Open;86.05;93;;;;;;160;165;170;;170;;;;;;170;3;112.51;111.15;106.74;83.84;Yes;Russia;;FPR;IPF;2015-11-28;Russia;NVS;Berdsk;Berdsk Classic Bench Press Cup
Aleksandr Shchelkov;M;SBD;Raw;25;24-34;24-39;Open;85.5;90;-200;200;215;;215;165;172.5;-180;;172.5;240;-260;;;240;627.5;2;416.75;411.74;395.53;85.58;;Russia;;RPU;;2015-10-31;Russia;NVS;Novosibirsk;Strong Siberia Tournament
Aleksandr Shchelkov;M;B;Raw;26.5;24-34;24-39;Open;82.1;83;;;;;;150;157.5;-165;;157.5;;;;;;157.5;5;106.98;105.82;101.84;79.56;Yes;Russia;;FPR;IPF;2015-05-30;Russia;NVS;Novosibirsk;Novosibirsk Classic Powerlifting & Bench Press Championship
Aleksandr Shchelkov;M;B;Raw;24.5;24-34;24-39;Open;;;;;;;;;;;;;;;;;;;NS;;;;;Yes;Russia;;FPR;IPF;2014-12-27;Russia;NVS;Novosibirsk;Novosibirsk New Years Raw Bench Press Tournament
Aleksandr Shchelkov;M;B;Raw;24;24-34;24-39;Amateur Open;79.1;82.5;;;;;;150;155;-160;;155;;;;;;155;4;107.60;106.58;102.75;79.81;Yes;Russia;;NAP;IPA;2013-12-05;Russia;NVS;Berdsk;Steel Arena 3
Aleksandr Shchelkov;M;SBD;Raw;23;20-23;24-39;Amateur Open;78.4;82.5;180;190;-195;;190;130;137.5;145;;145;180;195;212.5;;212.5;547.5;1;382.11;378.65;365.16;78.02;Yes;Russia;;WPC;WPC;2013-08-15;Russia;NVS;Novosibirsk;World Cup
Aleksandr Shchelkov;M;SBD;Raw;23;20-23;24-39;Amateur Juniors 20-23;78.4;82.5;180;190;-195;;190;130;137.5;145;;145;180;195;212.5;;212.5;547.5;1;382.11;378.65;365.16;78.02;Yes;Russia;;WPC;WPC;2013-08-15;Russia;NVS;Novosibirsk;World Cup
Aleksandr Shchelkov;M;B;Raw;;20-23;;Amateur Juniors 20-23;80;82.5;;;;;;;;;;150;;;;;;150;4;103.43;102.40;98.67;76.79;Yes;Russia;;NAP;IPA;2011-12-16;Russia;NVS;Berdsk;Steel Arena
