Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shepel;M;SBD;Raw;26.5;24-34;24-39;Open;65.95;66;;;;;160;;;;;130;;;;;200;490;8;384.14;384.99;374.11;76.41;Yes;Russia;;FPR;IPF;2019-05-26;Russia;LEN;St. Petersburg;White Nights
Aleksandr Shepel;M;B;Single-ply;21.5;20-23;19-23;Juniors;91.75;93;;;;;;-172.5;172.5;-182.5;;172.5;;;;;;172.5;2;110.48;109.07;104.45;57.51;Yes;Russia;;FPR;IPF;2017-12-02;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Shepel;M;SBD;Single-ply;21.5;20-23;19-23;Open;90.55;93;;;;;175;;;;;135;;;;;207.5;517.5;6;333.60;329.35;315.57;56.92;Yes;Russia;;FPR;IPF;2017-03-17;Russia;LEN;St. Petersburg;St. Petersburg University Powerlifting Championships
Aleksandr Shepel;M;B;Raw;21.5;20-23;19-23;Juniors;91.8;93;;;;;;125;135;-142.5;;135;;;;;;135;2;86.44;85.34;81.72;64.46;Yes;Russia;;FPR;IPF;2017-03-03;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Shepel;M;SBD;Single-ply;21.5;20-23;19-23;Juniors;90.65;93;;;;;232.5;;;;;167.5;;;;;210;610;2;393.01;388.01;371.75;67.05;Yes;Russia;;FPR;IPF;2017-02-18;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Shepel;M;SBD;Single-ply;20.5;20-23;19-23;Open;89.3;93;;;;;240;;;;;165;;;;;220;625;31;405.73;400.60;384.06;69.26;Yes;Russia;;FPR;IPF;2016-11-30;Russia;LEN;St. Petersburg;Northwestern Powerlifting Championships
Aleksandr Shepel;M;B;Raw;20.5;20-23;19-23;Juniors;92.1;93;;;;;;135;142.5;-147.5;;142.5;;;;;;142.5;2;91.09;89.94;86.11;67.93;Yes;Russia;;FPR;IPF;2016-09-30;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Shepel;M;SBD;Single-ply;23.5;24-34;24-39;Open;65.2;66;;;;;172.5;;;;;120;;;;;200;492.5;3;389.41;390.63;379.80;66.55;Yes;Russia;;FPR;IPF;2016-04-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Shepel;M;SBD;Single-ply;23.5;24-34;24-39;Open;63.65;66;;;;;160;;;;;117.5;;;;;200.5;478;2;384.93;386.92;376.64;65.72;Yes;Russia;;FPR;IPF;2016-03-25;Russia;LEN;St. Petersburg;St. Petersburg University Powerlifting Championships
Aleksandr Shepel;M;SBD;Single-ply;20.5;20-23;19-23;Juniors;90.1;93;;;;;237.5;;;;;167.5;;;;;220;625;3;403.90;398.77;382.16;68.93;Yes;Russia;;FPR;IPF;2016-02-12;Russia;LEN;St. Petersburg;St. Petersburg Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Shepel;M;SBD;Raw;22.5;20-23;19-23;Juniors;58.95;59;;;;;167.5;;;;;112.5;;;;;195;475;2;406.83;411.76;402.49;78.64;Yes;Russia;;FPR;IPF;2015-12-22;Russia;NIZ;Arzamas;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Shepel;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;89.95;93;;;;;237.5;;;;;150;;;;;222.5;;DQ;;;;;Yes;Russia;;FPR;IPF;2015-12-03;Russia;LEN;St. Petersburg;St. Petersburg Juniors Powerlifting Championships
Aleksandr Shepel;M;SBD;Single-ply;22.5;20-23;19-23;Juniors;58.9;59;;;;;155;;;;;107.5;;;;;185;447.5;1;383.55;388.22;379.50;65.24;Yes;Russia;;FPR;IPF;2015-11-05;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Cup
Aleksandr Shepel;M;B;Raw;19.5;20-23;19-23;Juniors;90.6;93;;;;;;130;135;140;;140;;;;;;140;4;90.22;89.08;85.35;67.28;Yes;Russia;;FPR;IPF;2015-10-09;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Shepel;M;SBD;Raw;22.5;20-23;19-23;Open;59;59;;;;;147.5;;;;;107.5;;;;;180;435;1;372.30;376.79;368.29;71.98;Yes;Russia;;FPR;IPF;2015-03-27;Russia;LEN;St. Petersburg;St. Petersburg University Classic Powerlifting Championships
Aleksandr Shepel;M;SBD;Raw;22.5;20-23;19-23;Juniors;60.3;66;;;;;145;;;;;100;;;;;175;420;2;353.05;356.58;348.11;68.69;Yes;Russia;;FPR;IPF;2015-01-22;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Shepel;M;SBD;Raw;21.5;20-23;19-23;Juniors;58.35;59;;;;;140;;;;;107.5;;;;;170;417.5;5;360.67;365.39;357.37;69.50;Yes;Russia;;FPR;IPF;2014-12-22;Russia;VLA;Suzdal;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Shepel;M;SBD;Raw;21.5;20-23;19-23;Open;58.15;59;;;;;;;;;;;;;;;;385;1;333.56;338.03;330.69;64.20;Yes;Russia;;FPR;IPF;2014-04-04;Russia;LEN;St. Petersburg;St. Petersburg University Classic Powerlifting Championships
Aleksandr Shepel;M;SBD;Raw;21.5;20-23;19-23;Juniors;59;59;;;;;125;;;;;95;;;;;155;375;1;320.95;324.82;317.49;62.05;Yes;Russia;;FPR;IPF;2014-01-23;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Shepel;M;B;Single-ply;16.5;16-17;14-18;Teen 17-18;51.3;52;;;;;;60;65;70;;70;;;;;;70;1;67.92;69.68;68.67;41.97;Yes;Russia;;FPR;IPF;2009-04-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
