Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shestunov;M;BD;Raw;41;40-44;40-49;Pro Masters 40-49;122.8;125;;;;;;190;-200;200;;200;290;310;320;;320;520;1;296.39;297.42;284.93;;;Russia;;WRPF;WRPF;2022-04-23;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksandr Shestunov;M;SBD;Wraps;41;40-44;40-49;Pro Masters 40-49;122.8;125;285;300;-310;;300;190;-200;200;;200;290;310;320;;320;820;1;467.38;469.01;449.31;94.37;;Russia;;WRPF;WRPF;2022-04-23;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksandr Shestunov;M;B;Raw;41;40-44;40-49;Pro Masters 40-49;122.8;125;;;;;;190;-200;200;;200;;;;;;200;1;114.00;114.39;109.59;83.55;;Russia;;WRPF;WRPF;2022-04-23;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksandr Shestunov;M;D;Raw;41;40-44;40-49;Pro Masters 40-49;122.8;125;;;;;;;;;;;290;310;320;;320;320;1;182.39;183.03;175.34;;;Russia;;WRPF;WRPF;2022-04-23;Russia;NVS;Novosibirsk;Steel Bear Tournament
Aleksandr Shestunov;M;D;Raw;40;40-44;40-49;Pro Open;121;125;;;;;;;;;;;290;310;-330;;310;310;2;177.55;177.89;170.46;;;Russia;;WRPF;WRPF;2021-10-03;Russia;ALT;Novoaltaisk;City of Novoaltaisk Championships
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Pro Open;121;125;;;;;;-200;-200;;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2021-10-03;Russia;ALT;Novoaltaisk;City of Novoaltaisk Championships
Aleksandr Shestunov;M;D;Raw;40;40-44;40-49;Pro Masters;121;125;;;;;;;;;;;290;310;-330;;310;310;1;177.55;177.89;170.46;;;Russia;;WRPF;WRPF;2021-10-03;Russia;ALT;Novoaltaisk;City of Novoaltaisk Championships
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Pro Masters;121;125;;;;;;-200;-200;;;;;;;;;;DQ;;;;;;Russia;;WRPF;WRPF;2021-10-03;Russia;ALT;Novoaltaisk;City of Novoaltaisk Championships
Aleksandr Shestunov;M;D;Raw;40;40-44;40-49;Open;119.2;125;;;;;;;;;;;300;330;;;330;330;1;189.95;190.02;182.08;;;Russia;;RPU;;2021-05-08;Russia;AL;Zmeinogorsk;Zmeinogorsk City Cup
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Open;119.2;125;;;;;;200;210;-217.5;;210;;;;;;210;1;120.87;120.92;115.87;88.85;;Russia;;RPU;;2021-05-08;Russia;AL;Zmeinogorsk;Zmeinogorsk City Cup
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Masters 40-44;119.2;125;;;;;;200;210;-217.5;;210;;;;;;210;1;120.87;120.92;115.87;88.85;;Russia;;RPU;;2021-05-08;Russia;AL;Zmeinogorsk;Zmeinogorsk City Cup
Aleksandr Shestunov;M;D;Raw;40;40-44;40-49;Masters 40-44;119.2;125;;;;;;;;;;;300;330;;;330;330;1;189.95;190.02;182.08;;;Russia;;RPU;;2021-05-08;Russia;AL;Zmeinogorsk;Zmeinogorsk City Cup
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Pro Open;121.7;125;;;;;;200;205;207.5;;207.5;;;;;;207.5;1;118.62;118.92;113.95;87.02;;Russia;;WRPF;WRPF;2021-04-10;Russia;NVS;Novosibirsk;Steel Bear 3
Aleksandr Shestunov;M;B;Raw;40;40-44;40-49;Pro Masters 40-49;121.7;125;;;;;;200;205;207.5;;207.5;;;;;;207.5;1;118.62;118.92;113.95;87.02;;Russia;;WRPF;WRPF;2021-04-10;Russia;NVS;Novosibirsk;Steel Bear 3
Aleksandr Shestunov;M;B;Raw;39;35-39;40-49;Pro Open;122.4;125;;;;;;202.5;210;215;;215;;;;;;215;1;122.67;123.06;117.90;89.94;;Russia;;WRPF;WRPF;2021-02-28;Russia;ALT;Novaltaisk;Novaltaisk City Cup
Aleksandr Shestunov;M;D;Raw;39;35-39;40-49;Pro Open;122.4;125;;;;;;;;;;;290;310;322.5;;322.5;322.5;1;184.01;184.59;176.85;;;Russia;;WRPF;WRPF;2021-02-28;Russia;ALT;Novaltaisk;Novaltaisk City Cup
Aleksandr Shestunov;M;B;Raw;39;35-39;24-39;Open;121.5;125;;;;;;200;210;-215;;210;;;;;;210;1;120.11;120.39;115.36;88.13;;Russia;;RPU;;2020-12-19;Russia;ALT;Rubtsovsk;Rubtsovsk New Year's Cup
Aleksandr Shestunov;M;D;Raw;39;35-39;24-39;Open;121.5;125;;;;;;;;;;;300;320;;;320;320;1;183.03;183.46;175.79;;;Russia;;RPU;;2020-12-19;Russia;ALT;Rubtsovsk;Rubtsovsk New Year's Cup
Aleksandr Shestunov;M;D;Raw;39;35-39;24-39;Pro Open;120.5;125;;;;;;;;;;;290;300;-310;;300;300;1;172.05;172.31;165.12;;;Russia;;WRPF;WRPF;2020-10-04;Russia;ALT;Novoaltaysk;Novoaltaysk Championships
Aleksandr Shestunov;M;B;Raw;39;35-39;24-39;Pro Open;120.5;125;;;;;;205;-210;-210;;205;;;;;;205;1;117.57;117.75;112.83;86.33;;Russia;;WRPF;WRPF;2020-10-04;Russia;ALT;Novoaltaysk;Novoaltaysk Championships
Aleksandr Shestunov;M;SBD;Raw;39;35-39;24-39;Pro Open;120.5;125;230;250;;;250;205;-210;-210;;205;290;300;-310;;300;755;1;433.00;433.65;415.56;87.61;;Russia;;WRPF;WRPF;2020-10-04;Russia;ALT;Novoaltaysk;Novoaltaysk Championships
Aleksandr Shestunov;M;B;Raw;38;35-39;24-39;Pro Open;119;125;;;;;;200;210;215;;215;;;;;;215;1;123.82;123.85;118.67;91.03;;Russia;;WRPF;WRPF;2019-11-29;Russia;NVS;Novosibirsk;Steel Bear 2
Aleksandr Shestunov;M;B;Raw;38;35-39;24-39;Open;118.6;125;;;;;;200;-210;210;;210;;;;;;210;1;121.08;121.07;116.00;89.04;;Russia;;RPU;;2019-11-16;Russia;ALT;Rubtsovsk;Rubtsovsk Championships
Aleksandr Shestunov;M;D;Raw;38;35-39;24-39;Open;118.6;125;;;;;;;;;;;270;;;;270;270;1;155.67;155.66;149.14;;;Russia;;RPU;;2019-11-16;Russia;ALT;Rubtsovsk;Rubtsovsk Championships
Aleksandr Shestunov;M;B;Raw;37;35-39;24-39;Pro Open;118.7;125;;;;;;192.5;205;210;;210;;;;;;210;2;121.05;121.04;115.98;89.01;;Russia;;WPC-RUS;WPC;2019-03-29;Russia;NVS;Novosibirsk;Russian Championships
Aleksandr Shestunov;M;D;Raw;37;35-39;24-39;Pro Open;118.7;125;;;;;;;;;;;290;305;-315;;305;305;2;175.80;175.80;168.44;;;Russia;;WPC-RUS;WPC;2019-03-29;Russia;NVS;Novosibirsk;Russian Championships
