Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shevelev;M;SBD;Raw;54;50-54;50-59;Amateur Masters 50-54;79.1;82.5;140;145;-150;;145;90;100;-105;;100;150;162.5;175;;175;420;1;291.56;288.80;278.41;59.58;Yes;Ukraine;;WPC-RUS;WPC;2021-05-16;Russia;LEN;St. Petersburg;Northwestern Championships
Aleksandr Shevelev;M;B;Unlimited;33;24-34;24-39;Amateur Open;98.5;100;;;;;;190;202.5;210;;210;;;;;;210;2;130.12;128.59;122.86;67.29;Yes;Ukraine;;NAP;IPA;2018-04-29;Ukraine;;Simferopol;Republic of Crimea Bench Press Cup
Aleksandr Shevelev;M;B;Raw;33;24-34;24-39;Amateur Open;98.5;100;;;;;;140;145;150;;150;;;;;;150;2;92.94;91.85;87.75;69.21;Yes;Ukraine;;NAP;IPA;2018-04-29;Ukraine;;Simferopol;Republic of Crimea Bench Press Cup
Aleksandr Shevelev;M;D;Raw;;;;Amateur Open;98;100;;;;;;;;;;;130;140;150;;150;150;3;93.15;92.05;87.95;;Yes;Ukraine;;NAP;IPA;2018-03-31;Ukraine;;Simferopol;Republic of Crimea Cup
Aleksandr Shevelev;M;B;Raw;32;24-34;24-39;Amateur Open;97.7;100;;;;;;135;-142.5;142.5;;142.5;;;;;;142.5;4;88.61;87.56;83.67;66.01;Yes;Ukraine;;NAP;IPA;2017-11-11;Russia;;Simferopol;Southern Federal District Bench Press & Deadlift Championships
Aleksandr Shevelev;M;B;Raw;31.5;24-34;24-39;Pro Open;97.8;100;;;;;;135;142.5;-145;;142.5;;;;;;142.5;3;88.57;87.52;83.63;65.98;;Ukraine;;NAP;IPA;2017-04-08;Ukraine;;Inkerman;Inkerman Cup
Aleksandr Shevelev;M;SBD;Single-ply;19.5;20-23;19-23;Open;74.7;75;;;;;275;;;;;185;;;;;220;680;3;489.10;485.90;469.58;83.76;Yes;Ukraine;;FPR;IPF;2009-05-28;Russia;KHA;Amursk;Far East Cup
Aleksandr Shevelev;M;SBD;Single-ply;19.5;20-23;19-23;Open;67.2;67.5;;;;;255;;;;;155;;;;;200;610;2;471.68;472.00;458.26;80.67;Yes;Ukraine;;FPR;IPF;2008-05-23;Russia;SAK;Poronaysk;Far East Cup
Aleksandr Shevelev;M;SBD;Single-ply;19.5;20-23;19-23;Open;59.85;60;;;;;210;;;;;147.5;;;;;180;537.5;1;454.61;459.47;448.74;77.40;Yes;Ukraine;;FPR;IPF;2008-01-18;Russia;UD;Izhevsk;Far East District Championships
Aleksandr Shevelev;M;SBD;Single-ply;18.5;18-19;19-23;Open;59;60;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Ukraine;;FPR;IPF;2007-08-04;Russia;KYA;Krasnoyarsk;Far East Cup
