Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shipilov;M;SBD;Single-ply;19.5;20-23;19-23;Open;65.95;66;;;;;215;;;;;117.5;;;;;225;557.5;3;437.06;438.02;425.64;74.71;Yes;;;FPR;IPF;2015-04-04;Russia;NVS;Novosibirsk;Novosibirsk Powerlifting Universaide
Aleksandr Shipilov;M;SBD;Single-ply;19.5;20-23;19-23;Open;66;66;;;;;217.5;;;;;130;;;;;230;577.5;2;452.49;453.45;440.62;77.35;Yes;;;FPR;IPF;2014-06-12;Russia;KGD;Guryevsk;Siberian Cup
Aleksandr Shipilov;M;SBD;Single-ply;19.5;20-23;19-23;Open;65.3;66;;;;;225;;;;;122.5;;;;;240;587.5;1;464.00;465.39;452.45;79.29;Yes;;;FPR;IPF;2014-03-14;Russia;NVS;Novosibirsk;Novosibirsk Powerlifting Universaide
Aleksandr Shipilov;M;SBD;Single-ply;18.5;18-19;19-23;Open;66;66;;;;;210;;;;;115;;;;;230;555;5;434.86;435.78;423.46;74.34;Yes;;;FPR;IPF;2013-12-17;Russia;NVS;Berdsk;Siberian Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;18.5;18-19;19-23;Open;58.45;59;;;;;160;;;;;95;;;;;195;450;2;388.18;393.20;384.54;66.00;Yes;;;FPR;IPF;2013-03-09;Russia;NVS;Novosibirsk;Novosibirsk Student's Powerlifting Universiade
Aleksandr Shipilov;M;SBD;Single-ply;20.5;20-23;19-23;Open;63.7;66;;;;;110;;;;;90;;;;;150;350;6;281.68;283.12;275.59;48.10;Yes;;;FPR;IPF;2012-05-26;Russia;RYA;Ryazan;Ryazan City Powerlifting & Bench Press Championships
Aleksandr Shipilov;M;SBD;Single-ply;17.5;18-19;14-18;Open;59;59;;;;;185;;;;;95;;;;;177.5;457.5;3;391.56;396.27;387.33;66.61;Yes;;;FPR;IPF;2012-05-17;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;59;59;;;;;185;;;;;95;;;;;177.5;457.5;1;391.56;396.27;387.33;66.61;Yes;;;FPR;IPF;2012-05-17;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Powerlifting Championships
Aleksandr Shipilov;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;57.8;59;;;;;112.5;;;;;75;;;;;190.5;378;2;329.18;333.79;326.65;63.24;Yes;;;FPR;IPF;2012-03-27;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;58.25;59;;;;;190;;;;;95;;;;;190;475;5;410.93;416.38;407.29;69.85;Yes;;;FPR;IPF;2012-03-21;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;17.5;18-19;14-18;Juniors;57.85;59;;;;;175;;;;;90;;;;;190;455;4;395.94;401.45;392.84;67.27;Yes;;;FPR;IPF;2012-02-10;Russia;KEM;Leninsk-Kuznetskiy;Siberian Juniors & Students Powerlifting Championships
Aleksandr Shipilov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;56.6;59;;;;;110;;;;;70;;;;;170;350;8;310.36;315.34;308.97;59.22;Yes;;;FPR;IPF;2011-11-17;Russia;TVE;Bologoe;Russian Sports Schools Classic Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;16.5;16-17;14-18;Open;52.95;59;-140;-140;140;;140;70;75;-80;;75;160;167.5;170;;170;385;8;362.53;370.75;364.73;61.17;Yes;;;FPR;IPF;2011-05-18;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Shipilov;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;52.95;53;-140;-140;140;;140;70;75;-80;;75;160;167.5;170;;170;385;1;362.53;370.75;364.73;61.17;Yes;;;FPR;IPF;2011-05-18;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Shipilov;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;52.5;53;;;;;92.5;;;;;62.5;;;;;150;305;2;289.50;296.32;291.65;53.74;Yes;;;FPR;IPF;2011-03-22;Russia;KEM;Anzhero-Sudzhensk;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Shipilov;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;52.25;53;;;;;160;;;;;77.5;;;;;167.5;405;3;386.15;395.43;389.31;65.07;Yes;;;FPR;IPF;2011-03-20;Russia;KEM;Anzhero-Sudzhensk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Shipilov;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;52.6;53;;;;;;-72.5;72.5;77.5;;77.5;;;;;;77.5;9;73.43;75.15;73.95;44.71;Yes;;;FPR;IPF;2011-03-11;Russia;MOW;Bolshevik;Russian Bench Press Championships
Aleksandr Shipilov;M;B;Raw;16.5;16-17;14-18;Juniors;48;48;;;;;;65;-70;70;;70;;;;;;70;1;72.55;74.92;74.10;47.45;Yes;;;FPR;IPF;2011-02-04;Russia;KEM;Kemerovo;Siberian Juniors Bench Press Championships
Aleksandr Shipilov;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;43.95;44;;;;;110;;;;;50;;;;;115;275;1;313.18;326.21;323.61;51.63;Yes;;;FPR;IPF;2010-05-10;Russia;NVS;Berdsk;Siberian Sub-Juniors Powerlifting Championships
Aleksandr Shipilov;M;B;Single-ply;14.5;13-15;14-18;Sub-Juniors;45.6;48;;;;;;52.5;55;-57.5;;55;;;;;;55;5;60.16;62.44;61.88;40.63;Yes;;;FPR;IPF;2010-02-23;Russia;KEM;Leninsk-Kuznetsky;Siberian Bench Press Championships
Aleksandr Shipilov;M;B;Single-ply;14.5;13-15;14-18;Open;45.6;56;;;;;;52.5;55;-57.5;;55;;;;;;55;13;60.16;62.44;61.88;40.63;Yes;;;FPR;IPF;2010-02-23;Russia;KEM;Leninsk-Kuznetsky;Siberian Bench Press Championships
