Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shmelev;M;D;Raw;33;24-34;24-39;;82.1;82.5;;;;;;;;;;;145;155;160;;160;160;6;108.68;107.50;103.46;;;Russia;;WPSF-Belarus;WPSF;2019-02-24;Belarus;;;Olympia Athletic Sports
Aleksandr Shmelev;M;SBD;Single-ply;20.5;20-23;19-23;Open;92;93;;;;;230;;;;;160;;;;;262.5;652.5;1;417.33;412.03;394.52;71.16;Yes;Russia;;FPR;IPF;2015-05-23;Russia;RYA;Ryazan;Ryazan Powerlifting & Bench Press Championships
Aleksandr Shmelev;M;B;Raw;24.5;24-34;24-39;Amateur Open;78.5;82.5;;;;;;120;-147.5;-147.5;;120;;;;;;120;2;83.69;82.92;79.97;62.04;Yes;Russia;;NAP;IPA;2015-02-28;Russia;SVE;Yekateribourg;Urals Championships
Aleksandr Shmelev;M;SBD;Single-ply;18.5;18-19;19-23;Open;85.5;93;;;;;195;;;;;135;;;;;210;540;6;358.63;354.33;340.37;61.30;Yes;Russia;;FPR;IPF;2013-12-14;Russia;RYA;Ryazan;Ryazan Oblast Powerlifting Championships
Aleksandr Shmelev;M;SBD;Single-ply;18.5;18-19;19-23;Open;80.6;83;;;;;170;;;;;120;;;;;180;470;3;322.67;319.37;307.62;55.22;Yes;Russia;;FPR;IPF;2013-05-25;Russia;RYA;Ryazan;Ryazan City Powerlifting & Bench Press Championships
Aleksandr Shmelev;M;SBD;Single-ply;17.5;18-19;14-18;Open;78.6;83;;;;;170;;;;;120;;;;;192.5;482.5;4;336.23;333.14;321.24;57.56;Yes;Russia;;FPR;IPF;2012-12-08;Russia;RYA;Ryazan;Ryazan Oblast Powerlifting Championships
Aleksandr Shmelev;M;SBD;Multi-ply;22.5;20-23;19-23;Amateur Juniors 20-23;60;60;120;-130;130;;130;62.5;70;-75;;70;150;157.5;-162.5;;157.5;357.5;2;301.75;304.90;297.74;51.38;Yes;Russia;;WPC-RUS;WPC;2009-10-16;Russia;MOW;Khotkovo;PROdvizhenie Powerlifting and Bench Press Meet
Aleksandr Shmelev;M;SBD;Raw;22.5;20-23;19-23;Amateur Juniors 20-23;62.1;67.5;-100;;;;;;;;;;;;;;;;DQ;;;;;Yes;Russia;;WPC-RUS;WPC;2009-05-01;Russia;MOW;Moscow;Moscow Powerlifting and Bench Press Cup
Aleksandr Shmelev;M;SBD;Single-ply;21.5;20-23;19-23;Open;93.55;100;260;-280;280;;280;170;-180;-180;;170;240;-250;-250;;240;690;7;437.78;432.25;413.61;74.60;Yes;Russia;;FPR;IPF;2005-01-20;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Shmelev;M;SBD;Single-ply;20.5;20-23;19-23;Open;86.35;90;;;;;260;;;;;140;;;;;240;640;9;422.80;417.64;401.01;72.25;Yes;Russia;;FPR;IPF;2004-01-24;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Shmelev;M;B;Single-ply;19.5;20-23;19-23;Juniors;85.1;100;;;;;;135;145;-150;;145;;;;;;145;5;96.55;95.40;91.66;50.72;Yes;Russia;;FPR;IPF;2003-12-20;Russia;LEN;Tosno;Leningrad Oblast Bench Press Championships
