Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Shulga;M;B;Raw;25;24-34;24-39;Amateur Open;73.7;75;;;;;;-120;120;-127.5;;120;;;;;;120;4;87.07;86.57;83.71;64.13;Yes;Russia;;NAP;IPA;2019-06-07;Russia;KDA;Sochi;Olympia 6
Aleksandr Shulga;M;B;Raw;24;24-34;24-39;Pro Open;73.7;75;;;;;;-110;115;120;;120;;;;;;120;2;87.07;86.57;83.71;64.13;;;;WPC-RUS;WPC;2018-05-20;Russia;KDA;Krasnodar;National Cup
Aleksandr Shulga;M;SBD;Single-ply;27.5;24-34;24-39;Open;83.95;93;;;;;285;;;;;200;;;;;240;725;18;486.34;480.72;462.18;83.17;Yes;;;FPR;IPF;2013-05-15;Russia;MOW;Moscow;Moscow Lights
Aleksandr Shulga;M;SBD;Single-ply;26.5;24-34;24-39;Open;87.7;93;;;;;300;;;;;;;;;;;;DQ;;;;;Yes;;;FPR;IPF;2012-11-28;Russia;MOW;Moscow;Central Federal District and Moscow City Powerlifing Championships
Aleksandr Shulga;M;SBD;Single-ply;25.5;24-34;24-39;Open;82.9;83;;;;;290;;;;;195;;;;;250;735;6;496.53;490.96;472.30;84.94;Yes;;;FPR;IPF;2011-11-30;Russia;MOW;Moscow;Central District Powerlifting Championships
Aleksandr Shulga;M;SBD;Single-ply;25.5;24-34;24-39;Open;82.95;83;-270;270;-290;;270;185;195;-205;;195;260;-267.5;;;260;725;1;489.60;484.11;465.69;83.75;Yes;Russia;;FPR;IPF;2011-11-05;Russia;MOW;Mytischi;Moscow Oblast Powerlifting Championships
Aleksandr Shulga;M;SBD;Single-ply;24.5;24-34;24-39;Open;84;90;285;-295;-295;;285;185;195;-202.5;;195;250;265;275;;275;755;2;506.30;500.44;481.12;86.58;Yes;Russia;;FPR;IPF;2010-12-18;Russia;MOW;Mytischi;Moscow Oblast Powerlifting Cup
Aleksandr Shulga;M;SBD;Single-ply;24.5;24-34;24-39;Open;82;82.5;;;;;280;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2010-07-17;Russia;MOW;Moscow;Moscow City Powerlifting Championships
Aleksandr Shulga;M;B;Single-ply;20.5;20-23;19-23;Open;79.5;82.5;;;;;;;;;;125;;;;;;125;9;86.51;85.68;82.58;45.93;Yes;Belarus;;BelPF;IPF;2003-02-12;Belarus;;Minsk;Belarus Students' Games
Aleksandr Shulga;M;SBD;Single-ply;20.5;20-23;19-23;Open;79.5;82.5;;;;;180;;;;;125;;;;;210;515;9;356.44;352.99;340.21;61.02;Yes;Belarus;;BelPF;IPF;2003-02-12;Belarus;;Minsk;Belarus Students' Games
