Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Skryabin;M;SBD;Raw;25.5;24-34;24-39;Open;101.7;105;;;;;252.5;;;;;182.5;;;;;295;730;2;446.10;441.35;421.45;91.49;Yes;Russia;;FPR;IPF;2013-12-05;Russia;VLG;Cherepovets;North-West Powerlifting Championships
Aleksandr Skryabin;M;SBD;Raw;25.5;24-34;24-39;Open;102.4;105;;;;;262.5;;;;;192.5;;;;;312.5;767.5;2;467.67;462.82;441.93;95.88;Yes;Russia;;FPR;IPF;2013-10-07;Russia;KEM;Kemerovo;Russian Classic Powerlifting Cup
Aleksandr Skryabin;M;SBD;Raw;25.5;24-34;24-39;Open;102.2;105;;;;;260;;;;;197.5;;;;;295;752.5;6;458.90;454.11;433.62;94.09;Yes;Russia;;FPR;IPF;2013-03-25;Russia;TUL;Tula;Russian Classic Powerlifting Championships
Aleksandr Skryabin;M;SBD;Raw;25.5;24-34;24-39;Open;101.75;105;;;;;247.5;;;;;180;;;;;290;717.5;4;438.37;433.71;414.16;89.90;Yes;Russia;;FPR;IPF;2013-01-18;Russia;LEN;St. Petersburg;St. Petersburg Classic Powerlifting Championships
Aleksandr Skryabin;M;SBD;Single-ply;24.5;24-34;24-39;Open;100;105;;;;;315;;;;;232.5;;;;;305;852.5;1;524.73;518.82;495.53;89.15;Yes;Russia;;FPR;IPF;2012-12-05;Russia;LEN;Priozersk;Northwestern District Powerlifting Championships
Aleksandr Skryabin;M;SBD;Single-ply;24.5;24-34;24-39;Open;99;105;;;;;317.5;;;;;232.5;;;;;310;860;6;531.67;525.52;502.02;90.37;Yes;Russia;;FPR;IPF;2012-05-22;Russia;LEN;St. Petersburg;White Nights
Aleksandr Skryabin;M;SBD;Single-ply;23.5;24-34;24-39;Open;92.9;93;;;;;300;;;;;210;;;;;295;805;4;512.45;505.95;484.27;87.35;Yes;Russia;;FPR;IPF;2011-09-27;Russia;LEN;St. Petersburg;Russian Powerlifting Cup
Aleksandr Skryabin;M;B;Raw;22.5;20-23;19-23;Juniors;89.85;90;;;;;;155;167.5;177.5;;177.5;;;;;;177.5;1;114.87;113.41;108.70;85.66;Yes;Russia;;FPR;IPF;2010-10-23;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Tournament
Aleksandr Skryabin;M;SBD;Single-ply;22.5;20-23;19-23;Juniors;89.6;90;;;;;302.5;;;;;210;;;;;277.5;790;6;511.97;505.48;484.55;87.39;Yes;Russia;;FPR;IPF;2010-03-21;Russia;NVS;Berdsk;Russian Juniors Powerlifting Championships
Aleksandr Skryabin;M;SBD;Single-ply;22.5;20-23;19-23;Open;89.1;90;;;;;300;;;;;212.5;;;;;270;782.5;2;508.55;502.13;481.45;86.82;Yes;Russia;;FPR;IPF;2010-01-21;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Skryabin;M;SBD;Single-ply;21.5;20-23;19-23;Open;89.95;90;;;;;290;;;;;207.5;;;;;260;757.5;6;489.94;483.72;463.61;83.61;Yes;Russia;;FPR;IPF;2009-01-23;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
