Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandrs Miglāns;M;B;Raw;50;50-54;50-59;MR-M2;86.35;93;;;;;;;;;;145;;;;;;145;3;95.79;94.62;90.85;71.38;Yes;Latvia;;LJTF;IPF;2013-12-14;Lithuania;;Aizkraukle;Raw Bench Press Championships
Aleksandrs Miglāns;M;SBD;Wraps;50;50-54;50-59;Masters 50-54;87.3;90;205;215;222;;222;145;152.5;-157.5;;152.5;220;235;;;235;609.5;1;400.33;395.37;379.43;82.26;;Latvia;;GPA;GPA;2013-12-05;Finland;;Tampere;World Championships
Aleksandrs Miglāns;M;SBD;Wraps;50;50-54;50-59;M3;86.1;90;200;210;220;;220;140;145;150;;150;220;230;;;230;600;1;396.99;392.16;376.60;81.54;;Latvia;;GPC;GPC;2013-09-23;Hungary;;Eger;World Championships
Aleksandrs Miglāns;M;B;Raw;48;45-49;40-49;M_MR_2_WPC;85.45;90;;;;;;150;160;-165;;160;;;;;;160;1;106.30;105.02;100.89;79.18;;Latvia;;WPC;WPC;2011-11-14;Latvia;;Riga;World Championships
Aleksandrs Miglāns;M;SBD;Raw;48;45-49;40-49;M_MR_2_WPC;86;90;190;200;212.5;;212.5;150;155;-160;;155;210;220;;;220;587.5;1;388.96;384.24;369.01;79.89;;Latvia;;WPC;WPC;2011-11-14;Latvia;;Riga;World Championships
Aleksandrs Miglāns;M;SBD;Wraps;47;45-49;40-49;M2;84.6;90;200;210;215;;215;150;-160;;;150;210;220;230;;230;595;1;397.44;392.77;377.48;81.58;;Latvia;;GPC;GPC;2010-09-06;Czechia;;Praha;World Championships
Aleksandrs Miglāns;M;B;Single-ply;46;45-49;40-49;Masters 1;83.9;90;;;;;;210;-215;-222.5;;210;;;;;;210;6;140.92;139.29;133.92;74.18;Yes;Latvia;;EPF;IPF;2009-10-22;France;;La Louviere;European Masters Bench Press Championships
Aleksandrs Miglāns;M;B;Multi-ply;45.5;45-49;40-49;M2;85.7;90;;;;;;200;-210;210;;210;;;;;;210;1;139.29;137.61;132.18;73.11;;Latvia;;GPC;GPC;2009-05-11;Slovakia;;Bardejov;European Championships
Aleksandrs Miglāns;M;SBD;Multi-ply;45.5;45-49;40-49;M2;85.05;90;240;250;;;250;200;207.5;-212.5;;207.5;225;240;250;;250;707.5;1;471.22;465.62;447.39;80.56;;Latvia;;GPC;GPC;2009-05-11;Slovakia;;Bardejov;European Championships
Aleksandrs Miglāns;M;B;Single-ply;45;45-49;40-49;Masters 1;82.1;82.5;;;;;;-192.5;195;-200;;195;;;;;;195;1;132.46;131.01;126.09;69.95;Yes;Latvia;;EPF;IPF;2008-10-23;Czechia;;Zlin;European Masters Bench Press Championships
