Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Solovyev;M;BD;Raw;27.5;24-34;24-39;M_OR_WPC;83.5;90;;;;;;120;130;135;;135;280;;;;280;415;2;279.22;276.03;265.45;;;Kazakhstan;;WPC;WPC;2021-11-12;Kyrgyzstan;;Bishkek;World Cup
Aleksandr Solovyev;M;D;Raw;27.5;24-34;24-39;M_OR_WPC;83.5;90;;;;;;;;;;;280;;;;280;280;2;188.39;186.24;179.10;;;Kazakhstan;;WPC;WPC;2021-11-12;Kyrgyzstan;;Bishkek;World Cup
Aleksandr Solovyev;M;B;Raw;48.5;45-49;40-49;Amateur Masters 45-49;74.8;75;;;;;;-115;115;-117.5;;115;;;;;;115;1;82.64;82.10;79.33;60.98;Yes;Russia;;WPC-RUS;WPC;2017-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksandr Solovyev;M;D;Raw;48.5;45-49;40-49;Amateur Masters 45-49;74.8;75;;;;;;;;;;;175;182.5;190;;190;190;1;136.54;135.64;131.07;;Yes;Russia;;WPC-RUS;WPC;2017-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksandr Solovyev;M;D;Raw;47.5;45-49;40-49;Amateur Masters 45-49;74;75;;;;;;;;;;;170;180;-182.5;;180;180;1;130.26;129.48;125.18;;Yes;Russia;;WPC-RUS;WPC;2016-11-19;Russia;ROS;Rostov-on-Don;CIS Championships
Aleksandr Solovyev;M;D;Raw;47.5;45-49;40-49;Amateur Masters 45-49;71.6;75;;;;;;;;;;;165;172.5;-177.5;;172.5;172.5;1;127.59;127.09;123.04;;Yes;Russia;;WPC;WPC;2016-10-01;Russia;ROS;Rostov-on-Don;Eastern European Championships
Aleksandr Solovyev;M;B;Single-ply;47.5;45-49;40-49;Amateur Masters 45-49;81.6;82.5;;;;;;120;-122.5;-122.5;;120;;;;;;120;1;81.80;80.92;77.90;43.24;Yes;Russia;;WPC-RUS;WPC;2016-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksandr Solovyev;M;D;Raw;47.5;45-49;40-49;Amateur Masters 45-49;81.6;82.5;;;;;;;;;;;170;-180;-180;;170;170;1;115.88;114.64;110.36;;Yes;Russia;;WPC-RUS;WPC;2016-06-11;Russia;ROS;Rostov-on-Don;North Caucasus Championships
Aleksandr Solovyev;M;B;Raw;38.5;35-39;24-39;Amateur Open;117;125;;;;;;-175;175;-180;;175;;;;;;175;1;101.37;101.23;96.96;74.64;Yes;Russia;;WPC-RUS;WPC;2016-06-04;Russia;MOW;Moscow;Moscow Cup
Aleksandr Solovyev;M;D;Raw;47.5;45-49;40-49;Amateur Masters 45-49;80.4;82.5;;;;;;;;;;;165;172.5;-177.5;;172.5;172.5;2;118.60;117.40;113.09;;Yes;Russia;;WPC;WPC;2016-03-25;Russia;ROS;Rostov-on-Don;Amateur European Championships
Aleksandr Solovyev;M;B;Single-ply;47.5;45-49;40-49;Amateur Masters 45-49;80.4;82.5;;;;;;120;125;-127.5;;125;;;;;;125;1;85.94;85.07;81.95;45.54;Yes;Russia;;WPC;WPC;2016-03-25;Russia;ROS;Rostov-on-Don;Amateur European Championships
Aleksandr Solovyev;M;B;Raw;38.5;35-39;24-39;Open;113.2;125;;;;;;165;170;-175;;170;;;;;;170;1;99.63;99.21;94.91;73.57;Yes;;;RPU;;2016-02-26;Russia;MOW;Moscow;Tournament of Strong Spirit and the Goblet of St George the Victorious
Aleksandr Solovyev;M;B;Single-ply;47.5;45-49;40-49;Amateur Masters 45-49;81.7;82.5;;;;;;122.5;-127.5;;;122.5;;;;;;122.5;1;83.44;82.55;79.46;44.10;Yes;Russia;;WPC-RUS;WPC;2016-02-07;Russia;ROS;Rostov-on-Don;Southern Outpost Tournament
Aleksandr Solovyev;M;D;Raw;47.5;45-49;40-49;Amateur Masters 45-49;81.7;82.5;;;;;;;;;;;170;-180;-180;;170;170;1;115.80;114.56;110.27;;Yes;Russia;;WPC-RUS;WPC;2016-02-07;Russia;ROS;Rostov-on-Don;Southern Outpost Tournament
Aleksandr Solovyev;M;B;Raw;37.5;35-39;24-39;PFM;119;125;;;;;;170;175;180;;180;;;;;;180;2;103.67;103.69;99.35;76.21;;Russia;;Vityaz;;2015-09-05;Russia;MOW;Moscow;BadykFest Benchpress and Deadlift
