Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Starostin;M;B;Raw;19.5;20-23;19-23;Open;107.7;120;;;;;;125;132.5;137.5;;137.5;;;;;;137.5;6;82.10;81.46;77.81;60.85;Yes;;;FPR;IPF;2019-12-21;Russia;IRK;Irkutsk;Irkutsk Bench Press Championships
Aleksandr Starostin;M;B;Raw;19.5;20-23;19-23;Open;104.75;105;;;;;;115;125;-130;;125;;;;;;125;5;75.46;74.76;71.38;56.03;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Starostin;M;B;Single-ply;19.5;20-23;19-23;Open;107.5;120;;;;;;140;150;160;;160;;;;;;160;4;95.60;94.85;90.60;49.16;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Starostin;M;B;Raw;19.5;20-23;19-23;Juniors;104.75;105;;;;;;115;125;-130;;125;;;;;;125;5;75.46;74.76;71.38;56.03;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Starostin;M;B;Single-ply;19.5;20-23;19-23;Juniors;107.5;120;;;;;;140;150;160;;160;;;;;;160;2;95.60;94.85;90.60;49.16;Yes;;;FPR;IPF;2019-04-20;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Starostin;M;SBD;Single-ply;19.5;20-23;19-23;Juniors;104.9;105;;;;;200;;;;;160;;;;;180;540;2;325.80;322.79;308.23;55.22;Yes;;;FPR;IPF;2019-03-23;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksandr Starostin;M;B;Single-ply;18.5;18-19;19-23;Open;105.75;120;;;;;;135;150;-165;;150;;;;;;150;7;90.21;89.41;85.39;46.42;Yes;;;FPR;IPF;2018-12-15;Russia;IRK;Irkutsk;Irkutsk Oblast Bench Press Championships
Aleksandr Starostin;M;SBD;Single-ply;18.5;18-19;19-23;Open;103;105;;;;;220;;;;;150;;;;;200;570;6;346.48;342.97;327.49;58.78;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandr Starostin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;103;105;;;;;220;;;;;150;;;;;200;570;3;346.48;342.97;327.49;58.78;Yes;;;FPR;IPF;2018-11-22;Russia;IRK;Cheremkhovo;Irkutsk Oblast Powerlifting Championships
Aleksandr Starostin;M;SBD;Single-ply;18.5;18-19;19-23;Open;93;93;;;;;205;;;;;130;;;;;200;535;4;340.39;336.08;321.67;58.02;Yes;;;FPR;IPF;2018-05-25;Russia;IRK;Irkutsk;Irkutsk Oblast Powerifting Cup
Aleksandr Starostin;M;B;Single-ply;18.5;18-19;19-23;Open;98.9;105;;;;;;137.5;-145;145;;145;;;;;;145;7;89.68;88.64;84.68;46.36;Yes;;;FPR;IPF;2018-05-12;Russia;IRK;Irkutsk;Irkutsk Victory Cup
Aleksandr Starostin;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;99.1;105;;;;;210;;;;;137.5;;;;;185;532.5;2;329.06;325.26;310.71;55.93;Yes;;;FPR;IPF;2018-03-24;Russia;IRK;Irkutsk;Irkutsk Powerlifting Championships
Aleksandr Starostin;M;B;Single-ply;17.5;18-19;14-18;Open;92;93;;;;;;117.5;120;125;;125;;;;;;125;5;79.95;78.93;75.58;41.61;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksandr Starostin;M;B;Raw;17.5;18-19;14-18;Open;93;93;;;;;;110;117.5;-125;;117.5;;;;;;117.5;16;74.76;73.81;70.65;55.75;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksandr Starostin;M;B;Raw;17.5;18-19;14-18;Sub-Juniors;93;93;;;;;;110;117.5;-125;;117.5;;;;;;117.5;1;74.76;73.81;70.65;55.75;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksandr Starostin;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;92;93;;;;;;117.5;120;125;;125;;;;;;125;1;79.95;78.93;75.58;41.61;Yes;;;FPR;IPF;2017-12-16;Russia;IRK;Irkutsk;Irutsk Oblast Bench Press Championships
Aleksandr Starostin;M;SBD;Single-ply;17.5;18-19;14-18;Sub-Juniors;94.55;105;;;;;200;;;;;120;;;;;200;520;1;328.26;324.15;310.06;55.91;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksandr Starostin;M;SBD;Single-ply;17.5;18-19;14-18;Open;94.55;105;;;;;200;;;;;120;;;;;200;520;9;328.26;324.15;310.06;55.91;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
Aleksandr Starostin;M;SBD;Raw;17.5;18-19;14-18;Open;94.5;105;;;;;140;;;;;122.5;;;;;175;437.5;7;276.25;272.79;260.94;56.79;Yes;;;FPR;IPF;2017-11-30;Russia;IRK;Cheremkhovo;Irutsk Oblast Powerlifting Championships
