Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandrs Zvezdenkovs;M;SBD;Raw;35.5;35-39;24-39;M_OR_WPC;107.4;110;215;225;235;;235;150;160;-165;;160;250;270;280;;280;675;7;403.46;400.26;382.33;82.47;;Latvia;;WPC;WPC;2011-11-14;Latvia;;Riga;World Championships
Aleksandrs Zvezdenkovs;M;SBD;Wraps;34.5;24-34;24-39;O;109.4;110;230;240;245;;245;140;150;155;;155;240;255;-280;;255;655;3;388.74;386.12;368.97;79.35;;Latvia;;GPC;GPC;2010-09-06;Czechia;;Praha;World Championships
Aleksandrs Zvezdenkovs;M;SBD;Multi-ply;33.5;24-34;24-39;O;112.7;125;-295;295;-310;;295;180;190;-195;;190;260;285;-290;;285;770;3;451.97;449.91;430.34;76.31;;Latvia;;GPC;GPC;2009-05-11;Slovakia;;Bardejov;European Championships
Aleksandrs Zvezdenkovs;M;SBD;Multi-ply;32.5;24-34;24-39;O;108.4;110;270;290;305;;305;190;-200;-200;;190;-260;275;285;;285;780;7;464.55;461.14;440.56;78.60;;Latvia;;GPC;GPC;2008-05-12;Czechia;;Nový Bor;European Championships
Aleksandrs Zvezdenkovs;M;SBD;Multi-ply;31.5;24-34;24-39;O;104;110;275;-290;290;;290;175;190;-200;;190;265;280;;;280;760;8;460.14;455.69;435.12;78.02;;Latvia;;GPC;GPC;2007-05-07;Germany;;Schleswig;European Championships
Aleksandrs Zvezdenkovs;M;SBD;Multi-ply;30.5;24-34;24-39;O;108.8;110;250;265;-270;;265;170;182.5;195;;195;265;282.5;;;282.5;742.5;4;441.59;438.45;418.92;74.70;;Latvia;;GPC;GPC;2006-05-03;France;;Saint-Avold;European Championships
Aleksandrs Zvezdenkovs;M;SBD;Single-ply;30.5;24-34;24-39;Open;105.1;110;;;;;245;;;;;175;;;;;275;695;3;418.99;415.16;396.44;71.01;Yes;Latvia;;LPF;IPF;2006-04-02;Latvia;;Riga;Latvian Powerlifting Championships
Aleksandrs Zvezdenkovs;M;SBD;Multi-ply;29.5;24-34;24-39;O;106.7;110;240;255;265;;265;170;180;185;;185;260;280;;;280;730;6;437.45;433.82;414.33;74.08;;Latvia;;GPC;GPC;2005-10-05;Germany;;Dessau;World Championships
Aleksandrs Zvezdenkovs;M;B;Single-ply;29.5;24-34;24-39;M-O-E;101.3;110;;;;;;;;;;180;;;;;;180;4;110.18;108.99;104.08;56.86;;Latvia;;GPC-LAT;GPC;2005-09-17;Latvia;;Liepāja;Liepāja Open Championships
Aleksandrs Zvezdenkovs;M;B;Single-ply;29.5;24-34;24-39;Open;100.3;110;;;;;;;;;;175;;;;;;175;7;107.58;106.38;101.60;55.56;Yes;Latvia;;LPF;IPF;2005-04-08;Latvia;;Jelgava;Latvian Bench Press Championships
Aleksandrs Zvezdenkovs;M;SBD;Single-ply;29.5;24-34;24-39;Open;104;110;;;;;235;;;;;172.5;;;;;275;682.5;3;413.21;409.22;390.75;70.07;Yes;Latvia;;LPF;IPF;2005-04-02;Latvia;;Aizkraukle;Latvian Powerlifting Championships
Aleksandrs Zvezdenkovs;M;SBD;Single-ply;26.5;24-34;24-39;Open;110;110;;;;;247.5;;;;;147.5;;;;;270;665;5;393.86;391.35;374.03;66.59;Yes;Latvia;;LPF;IPF;2002-04-06;Latvia;;;Latvian Powerlifting Championships
Aleksandrs Zvezdenkovs;M;SBD;Single-ply;25.5;24-34;24-39;Open;110;110;;;;;235;;;;;145;;;;;267.5;647.5;4;383.49;381.05;364.19;64.83;Yes;Latvia;;LPF;IPF;2001-03-24;Latvia;;;Latvian Powerlifting Championships
