Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Tarakin;M;D;Raw;33;24-34;24-39;O;104.5;110;;;;;;;;;;;320;335;-345;;335;335;1;202.43;200.52;191.47;;;Russia;;Vityaz;;2019-12-28;Russia;MOW;Moscow;European Championships
Aleksandr Tarakin;M;D;Raw;33;24-34;24-39;Pro Open;106;110;;;;;;;;;;;-320;320;335;;335;335;4;201.27;199.52;190.54;;;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Tarakin;M;D;Raw;32;24-34;24-39;O;101.7;110;;;;;;;;;;;320;-340;-340;;320;320;2;195.55;193.47;184.75;;;Russia;;Vityaz;;2018-12-22;Russia;MOW;Moscow;European Championships
Aleksandr Tarakin;M;D;Raw;32;24-34;24-39;Open;99.5;100;;;;;;;;;;;330;350;-355;;350;350;1;215.90;213.44;203.87;;;Russia;;RPU;;2018-06-22;Russia;VLA;Suzdal;Russian Championships
Aleksandr Tarakin;M;D;Raw;31;24-34;24-39;O;102;110;;;;;;;;;;;325;-340;;;325;325;1;198.36;196.27;187.42;;;Russia;;Vityaz;;2017-12-23;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksandr Tarakin;M;D;Raw;31;24-34;24-39;Open;102.9;110;;;;;;;;;;;-320;320;337.5;;337.5;337.5;3;205.23;203.15;193.98;;;Russia;;IPL;IPL;2017-12-15;Russia;;Dolgoprudnyy;World Cup
Aleksandr Tarakin;M;D;Raw;31;24-34;24-39;Open;102.3;110;;;;;;;;;;;315;325;335;;335;335;1;204.21;202.09;192.97;;;Russia;;RPU;;2017-06-23;Russia;VLA;Suzdal;National Powerlifting Cup
Aleksandr Tarakin;M;D;Raw;30;24-34;24-39;O;102.55;110;;;;;;;;;;;322.5;332.5;-342.5;;332.5;332.5;1;202.48;200.39;191.35;;;Russia;;Vityaz;;2016-12-24;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksandr Tarakin;M;D;Raw;30;24-34;24-39;Open;103.3;110;;;;;;;;;;;317.5;-332.5;-332.5;;317.5;317.5;2;192.76;190.84;182.22;;;Russia;;GPA;GPA;2016-12-08;Russia;MOW;Dolgoprudny;World Championships
Aleksandr Tarakin;M;D;Raw;30;24-34;24-39;Open;99.8;100;;;;;;;;;;;312.5;325;-330;;325;325;1;200.22;197.95;189.07;;;Russia;;RPU;;2016-06-17;Russia;VLA;Suzdal;Russian Cup
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;O;102.3;110;;;;;;;;;;;300;315;320;;320;320;1;195.07;193.04;184.33;;;Russia;;Vityaz;;2015-12-25;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;Amateur Open;101.3;110;;;;;;;;;;;300;-312.5;312.5;;312.5;312.5;3;191.29;189.22;180.70;;;Russia;;WRPF;WRPF;2015-12-03;Russia;MOW;Moscow;World Championships
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;Open;96;100;;;;;;;;;;;-260;-260;260;;260;260;1;162.97;160.97;153.90;;Yes;Russia;;GPA;GPA;2015-08-07;Russia;MOW;Moscow;Eurasian Championships
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;O;102.05;110;;;;;;;;;;;290;305;-310;;305;305;1;186.11;184.16;175.85;;;Russia;;Vityaz;;2015-05-16;Russia;MOW;Moscow;Russia Championships
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;Pro Open;101;110;;;;;;;;;;;290;-300;300;;300;300;1;183.87;181.86;173.67;;;Russia;;WRPF;WRPF;2015-05-03;Russia;MOW;Moscow;Russian Open Championship
Aleksandr Tarakin;M;D;Raw;29;24-34;24-39;O;103.7;110;;;;;;;;;;;-285;285;302.5;;302.5;302.5;1;183.36;181.57;173.37;;;Russia;;Vityaz;;2015-03-14;Russia;MOW;Moscow;Russian Cup
Aleksandr Tarakin;M;D;Raw;28;24-34;24-39;O;102.2;110;;;;;;;;;;;265;280;290;;290;290;2;176.85;175.00;167.11;;;Russia;;Vityaz;;2014-12-26;Russia;MOW;Moscow;Vladimir Kravtsov's European Championships
Aleksandr Tarakin;M;D;Raw;28;24-34;24-39;Pro Open;105.4;110;;;;;;;;;;;-250;250;265;;265;265;1;159.58;158.14;151.02;;;Russia;;NAP;IPA;2014-10-17;Russia;SVE;Yekaterinburg;World Championships & Golden Tiger 8
