Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Telepnev;M;D;Raw;36;35-39;24-39;Pro Open;103.5;110;;;;;;;;;;;240;250;257.5;;257.5;257.5;2;156.21;154.66;147.68;;;Russia;;WPC;WPC;2018-06-23;Russia;LEN;St. Petersburg;Eastern European Cup
Aleksandr Telepnev;M;B;Unlimited;20;20-23;19-23;Amateur Juniors 20-23;73.55;75;;;;;;150;155;-162.5;;155;;;;;;155;1;112.61;111.98;108.29;60.68;;Russia;;NAP;IPA;2018-03-17;Russia;BEL;Belgorod;Central Federal District Championships
Aleksandr Telepnev;M;SBD;Single-ply;18.5;18-19;19-23;Juniors;79.8;83;;;;;240;;;;;152.5;;;;;230;622.5;1;429.88;425.65;410.17;73.58;Yes;Russia;;FPR;IPF;2017-04-06;Russia;BRY;Bryansk;Central Federal District Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Telepnev;M;SBD;Single-ply;17.5;18-19;14-18;Open;72.8;74;;;;;222.5;;;;;122.5;;;;;205;550;7;402.30;400.29;387.27;68.89;Yes;Russia;;FPR;IPF;2016-11-30;Russia;TAM;Tambov;Central District Powerlifting Championships
Aleksandr Telepnev;M;SBD;Wraps;18;18-19;14-18;Amateur Open;68.3;75;-110;110;125;;125;85;92.5;100;;100;165;175;182.5;;182.5;407.5;1;311.43;311.26;301.98;62.38;Yes;Russia;;WPC-RUS;WPC;2016-01-31;Russia;BEL;Belgorod;Belgorod Region Championships
Aleksandr Telepnev;M;SBD;Wraps;18;18-19;14-18;Amateur Teen 18-19;68.3;75;-110;110;125;;125;85;92.5;100;;100;165;175;182.5;;182.5;407.5;1;311.43;311.26;301.98;62.38;Yes;Russia;;WPC-RUS;WPC;2016-01-31;Russia;BEL;Belgorod;Belgorod Region Championships
Aleksandr Telepnev;M;D;Raw;16.5;16-17;14-18;Amateur Teen 16-17;68.1;75;;;;;;;;;;;167.5;177.5;;;177.5;177.5;1;135.94;135.89;131.86;;Yes;Russia;;WPC;WPC;2015-12-03;Russia;KRS;Kursk;Eurasian Cup
Aleksandr Telepnev;M;D;Raw;17;16-17;14-18;Amateur Teen 16-17;64.8;67.5;;;;;;;;;;;155;160;-165;;160;160;1;127.10;127.56;124.06;;Yes;Russia;;WPC-RUS;WPC;2015-07-10;Russia;BEL;Belgorod;Belgorod Cup
Aleksandr Telepnev;M;B;Single-ply;29.5;24-34;24-39;Open;112.15;120;;;;;;262.5;270;-275;;270;;;;;;270;3;158.77;157.98;151.08;81.48;Yes;Russia;;FPR;IPF;2011-12-23;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Telepnev;M;B;Single-ply;29.5;24-34;24-39;Open;110.75;120;;;;;;250;260;265;;265;;;;;;265;2;156.55;155.63;148.77;80.38;Yes;Russia;;FPR;IPF;2011-04-29;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
Aleksandr Telepnev;M;B;Single-ply;28.5;24-34;24-39;Open;110.5;125;;;;;;235;240;-245;;240;;;;;;240;3;141.90;141.04;134.82;72.87;Yes;Russia;;FPR;IPF;2010-12-24;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Cup
Aleksandr Telepnev;M;SBD;Single-ply;23.5;24-34;24-39;Open;100.35;110;;;;;300;;;;;215;;;;;310;825;1;507.03;501.39;478.86;86.13;Yes;Russia;;FPR;IPF;2005-04-15;Russia;LEN;St. Petersburg;St. Petersburg University Powerlifting Championships
Aleksandr Telepnev;M;B;Single-ply;22.5;20-23;19-23;Juniors;99.1;100;;;;;;;195;207.5;;207.5;;;;;;207.5;1;128.22;126.74;121.07;66.28;Yes;Russia;;FPR;IPF;2004-05-02;Russia;LEN;St. Petersburg;St. Petersburg Bench Press Championships
