Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Tokarchuk;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;62.22;66;;;;;152.5;;;;;95;;;;;160;407.5;1;334.03;336.42;327.87;65.54;Yes;Russia;;FPR;IPF;2018-02-01;Russia;MOW;Moscow;Moscow City Classic Powerlifting Championships
Aleksandr Tokarchuk;M;SBD;Single-ply;16.5;16-17;14-18;Open;56.6;59;;;;;150;;;;;95;;;;;155;400;2;354.70;360.38;353.11;60.17;Yes;Russia;;FPR;IPF;2017-12-21;Russia;MOW;Moscow;Moscow City Powerlifting Championships
Aleksandr Tokarchuk;M;SBD;Single-ply;16.5;16-17;14-18;Open;58.95;59;;;;;150;;;;;95;;;;;155;400;3;342.59;346.74;338.94;58.27;Yes;Russia;;FPR;IPF;2017-04-30;Russia;MOW;Moscow;Moscow Lights Tournament
Aleksandr Tokarchuk;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;58.96;59;;;;;157.5;;;;;107.5;;;;;165;430;3;368.23;372.69;364.30;71.18;Yes;Russia;;FPR;IPF;2017-02-08;Russia;NIZ;Kstovo;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Tokarchuk;M;SBD;Raw;15.5;16-17;14-18;Open;58.92;59;;;;;155;;;;;100;;;;;160;415;1;355.59;359.92;351.82;68.72;Yes;Russia;;FPR;IPF;2016-12-18;Russia;MOW;Moscow;Moscow City Classic Powerlifting Cup
Aleksandr Tokarchuk;M;SBD;Single-ply;15.5;16-17;14-18;Open;58.8;59;;;;;165;;;;;110;;;;;172.5;447.5;2;384.09;388.84;380.14;65.32;Yes;Russia;;FPR;IPF;2016-12-16;Russia;MOW;Moscow;Moscow City Powerlifting Championships
Aleksandr Tokarchuk;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;58.84;59;;;;;160;;;;;105;;;;;170;435;1;373.15;377.74;369.27;63.47;Yes;Russia;;FPR;IPF;2016-11-25;Russia;MOW;Moscow;Moscow City Juniors Sub-Juniors & Masters Powerlifting Championships
Aleksandr Tokarchuk;M;SBD;Raw;15.5;16-17;14-18;Sub-Juniors;58.4;59;;;;;150;;;;;108.5;;;;;160;418.5;6;361.27;365.97;357.92;69.63;Yes;Russia;;FPR;IPF;2016-10-31;Russia;;Vyyezdnoye;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Tokarchuk;M;B;Raw;15.5;16-17;14-18;Sub-Juniors;57.7;59;;;;;;95;100;102.5;;102.5;;;;;;102.5;1;89.39;90.66;88.73;62.62;Yes;Russia;;FPR;IPF;2016-02-10;Russia;TAM;Tambov;Russian Juniors & Sub-Juniors Classic Bench Press Championships
Aleksandr Tokarchuk;M;SBD;Raw;14.5;13-15;14-18;Sub-Juniors;58.4;59;;;;;152.5;;;;;100;;;;;170;422.5;6;364.72;369.47;361.34;70.30;Yes;Russia;;FPR;IPF;2015-12-22;Russia;NIZ;Arzamas;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
