Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Turov;M;SBD;Raw;15.5;16-17;14-18;Sub-Juniors;47.6;48;;;;;97.5;;;;;55;;;;;115;267.5;2;279.64;289.02;285.97;49.68;Yes;Russia;;FPR;IPF;2012-03-27;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Classic Powerlifting Championships
Aleksandr Turov;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;47.45;48;;;;;127.5;;;;;62.5;;;;;132.5;322.5;2;338.24;349.70;346.05;56.38;Yes;Russia;;FPR;IPF;2012-03-21;Russia;NVS;Berdsk;Russian Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Turov;M;SBD;Single-ply;15.5;16-17;14-18;Juniors;50.55;53;;;;;125;;;;;62.5;;;;;130;317.5;1;312.48;321.04;316.68;52.48;Yes;Russia;;FPR;IPF;2012-03-01;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Turov;M;B;Single-ply;15.5;16-17;14-18;Juniors;50.55;53;;;;;;52.5;57.5;62.5;;62.5;;;;;;62.5;2;61.51;63.20;62.34;38.37;Yes;Russia;;FPR;IPF;2012-03-01;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Bench Press Championships
Aleksandr Turov;M;B;Single-ply;15.5;16-17;14-18;Sub-Juniors;52.6;53;;;;;;55;60;65;;65;;;;;;65;5;61.59;63.03;62.03;37.49;Yes;Russia;;FPR;IPF;2012-02-10;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Bench Press Championships
Aleksandr Turov;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;52.6;53;;;;;130;;;;;65;;;;;130;325;2;307.93;315.13;310.13;51.93;Yes;Russia;;FPR;IPF;2012-02-10;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Turov;M;SBD;Single-ply;14.5;13-15;14-18;Sub-Juniors;47.1;48;105;115;-120;;115;-52.5;-52.5;-52.5;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2011-05-18;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Turov;M;SBD;Single-ply;14.5;13-15;14-18;Open;47.1;59;105;115;-120;;115;-52.5;-52.5;-52.5;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2011-05-18;Russia;KGD;Guryevsk;Siberian Cup & Sub-Juniors Championships
Aleksandr Turov;M;SBD;Single-ply;14.5;13-15;14-18;Sub-Juniors;47.15;48;;;;;90;;;;;47.5;;;;;100;237.5;2;250.74;259.39;256.76;41.76;Yes;Russia;;FPR;IPF;2011-02-03;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Powerlifting Championships
Aleksandr Turov;M;B;Single-ply;14.5;13-15;14-18;Sub-Juniors;47.15;48;;;;;;45;47.5;-50;;47.5;;;;;;47.5;3;50.15;51.88;51.35;32.91;Yes;Russia;;FPR;IPF;2011-02-03;Russia;KYA;Krasnoyarsk;Krasnoyarsk Krai Juniors & Sub-Juniors Bench Press Championship
