Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Vasilenko;M;BD;Raw;26;24-34;24-39;Open;89.5;90;;;;;;155;162.5;165;;165;235;250;-262.5;;250;415;1;269.10;265.69;254.70;;Yes;Russia;;IPL;IPL;2022-06-18;Russia;LEN;St. Petersburg;European Cup
Aleksandr Vasilenko;M;SBD;Wraps;30;24-34;24-39;Open;99.2;100;260;272.5;-282.5;;272.5;160;167.5;-172.5;;167.5;285;300;-305;;300;740;2;457.08;451.82;431.60;93.84;;;;WRPF-Belarus;WRPF;2022-05-21;Belarus;;Minsk;6th Belarus Championships
Aleksandr Vasilenko;M;D;Raw;30;24-34;24-39;Open;99.2;100;;;;;;;;;;;285;300;-305;;300;300;1;185.30;183.17;174.97;;;;;WRPF-Belarus;WRPF;2022-05-21;Belarus;;Minsk;6th Belarus Championships
Aleksandr Vasilenko;M;BD;Raw;25;24-34;24-39;Open;88;90;;;;;;155;160;-162.5;;160;235;-242.5;-242.5;;235;395;1;258.36;255.13;244.76;;Yes;Russia;;IPL;IPL;2021-06-26;Russia;LEN;St. Petersburg;European Cup
Aleksandr Vasilenko;M;BD;Raw;25;24-34;24-39;Open;88.3;90;;;;;;150;160;-165;;160;230;-240;-240;;230;390;1;254.64;251.45;241.19;;Yes;;;RPU;;2021-04-03;Russia;LEN;St. Petersburg;Northern Capital V
Aleksandr Vasilenko;M;D;Raw;24;24-34;24-39;Amateur Open;87.3;90;;;;;;;;;;;220;230;235;;235;235;1;154.35;152.44;146.30;;Yes;Russia;;WRPF;WRPF;2020-11-07;Russia;LEN;St. Petersburg;Konstantin Konstantinov Memorial Tournament
Aleksandr Vasilenko;M;B;Raw;29;24-34;24-39;Open;88.6;90;;;;;;140;145;-150;;145;;;;;;145;2;94.51;93.32;89.50;70.46;;;;WRPF-Belarus;WRPF;2020-10-10;Belarus;;Luninets;Polesye Cup
Aleksandr Vasilenko;M;B;Raw;23;20-23;24-39;Juniors 20-23;88.4;90;;;;;;147.5;152.5;-157.5;;152.5;;;;;;152.5;1;99.51;98.26;94.25;74.19;Yes;;;RPU;;2019-11-30;Russia;LEN;St. Petersburg;Neva Battle V
Aleksandr Vasilenko;M;D;Raw;;;;Open;88.8;90;;;;;;;;;;;240;-250;-250;;240;240;5;156.25;154.28;147.95;;;;;WRPF-Belarus;WRPF;2019-07-28;Belarus;;Minsk;MP Verbitsky Cup
Aleksandr Vasilenko;M;BD;Raw;27;24-34;24-39;Open;97.2;90+;;;;;;135;140;145;;145;240;-250;-250;;240;385;8;239.97;237.08;226.58;;;;;WRPF-Belarus;WRPF;2019-04-26;Belarus;;Minsk;4th Belarus Championship
Aleksandr Vasilenko;M;B;Raw;14;13-15;14-18;Amateur Teen 13-15;73.4;75;;;;;;70;75;80;;80;;;;;;80;1;58.20;57.88;55.98;42.85;Yes;;;WPC-RUS;WPC;2019-04-21;Russia;PRI;Vladivostok;Far Eastern Championships
Aleksandr Vasilenko;M;D;Raw;27;24-34;24-39;Open;98.7;100;;;;;;;;;;;225;232.5;240;;240;240;5;148.57;146.84;140.28;;;Belarus;;WRPF-Belarus;WRPF;2018-11-30;Belarus;;Minsk;3rd Belarus Cup
Aleksandr Vasilenko;M;B;Raw;12.5;13-15;;Amateur Teen 13-15;64.8;67.5;;;;;;55;57.5;60;;60;;;;;;60;2;47.66;47.84;46.52;34.38;Yes;Russia;;WPC-RUS;WPC;2018-04-21;Russia;PRI;Vladivostok;Far Eastern Championships
Aleksandr Vasilenko;M;SBD;Single-ply;16.5;16-17;14-18;Sub-Juniors;65;66;;;105;;105;;;65;;65;;;130;;130;300;6;237.76;238.56;231.98;40.63;Yes;Russia;;FPR;IPF;2017-05-05;Russia;KYA;Zelenogorsk;Krasnoyarsk Krai Juniors & Sub-Juniors Championships
Aleksandr Vasilenko;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;65;66;;;;;;60;65;-70;;65;;;;;;65;8;51.51;51.69;50.26;28.66;Yes;Russia;;FPR;IPF;2017-05-05;Russia;KYA;Zelenogorsk;Krasnoyarsk Krai Juniors & Sub-Juniors Championships
Aleksandr Vasilenko;M;B;Raw;12;5-12;;Amateur Youth;52.3;56;;;;;;40;45;47.5;;47.5;;;;;;47.5;1;45.25;46.33;45.61;30.67;Yes;;;WPC-RUS;WPC;2017-04-29;Russia;PRI;Vladivostok;Far East Championship
Aleksandr Vasilenko;M;SBD;Single-ply;18.5;18-19;19-23;Open;73.1;74;;;;;230;;;;;107.5;;;;;215;552.5;4;403.03;400.92;387.81;69.02;Yes;Russia;;FPR;IPF;2013-11-15;Russia;TOM;Tomsk;Tomsk Oblast Powerlifting Cup
