Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aleksandr Vasilev;M;SBD;Raw;30.5;24-34;24-39;Open;92.2;93;;;;;235;;;;;170;;;;;255;660;6;421.68;416.32;398.60;86.71;Yes;Russia;;FPR;IPF;2019-12-05;Russia;NIZ;Arzamas;Volga Powerlifting Championships
Aleksandr Vasilev;M;SBD;Wraps;31;24-34;24-39;Amateur Open;72.8;75;160;172.5;-177.5;;172.5;100;105;107.5;;107.5;175;185;190;;190;470;4;343.78;342.07;330.94;69.59;Yes;Russia;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Aleksandr Vasilev;M;SBD;Single-ply;35.5;35-39;24-39;Open;72.6;74;;;;;-140;;;;;;;;;;;;DQ;;;;;Yes;Russia;;FPR;IPF;2019-11-23;Russia;LEN;St. Petersburg;St. Petersburg Powerlifting Championships
Aleksandr Vasilev;M;B;Raw;35.5;35-39;24-39;Open;73.15;74;;;;;;100;102.5;110;;110;;;;;;110;3;80.21;79.78;77.17;59.02;Yes;Russia;;FPR;IPF;2019-10-12;Russia;LEN;St. Petersburg;St. Petersburg Classic Bench Press Championships
Aleksandr Vasilev;M;D;Raw;31;24-34;24-39;Open;70.5;75;;;;;;;;;;;-182.5;182.5;-187.5;;182.5;182.5;2;136.41;136.02;131.78;;Yes;Russia;;GPA;GPA;2019-06-29;Russia;LEN;St. Petersburg;European Cup
Aleksandr Vasilev;M;B;Single-ply;45;45-49;40-49;Masters 45-49;79;82.5;;;;;;170;180;-187.5;;180;;;;;;180;1;125.05;123.87;119.42;66.46;Yes;Russia;;RPU;;2019-05-24;Russia;VLG;Vologda;National Championships
Aleksandr Vasilev;M;B;Raw;38;35-39;24-39;Pro Open;99.7;100;;;;;;125;142.5;150;;150;;;;;;150;2;92.45;91.40;87.30;68.82;;Russia;;NAP;IPA;2019-04-27;Russia;KIR;Omutninsk;Omutninsk District Championships
Aleksandr Vasilev;M;B;Single-ply;44;40-44;40-49;Masters 40-44;79.8;82.5;;;;;;180;;;;180;;;;;;180;1;124.30;123.08;118.60;65.95;Yes;Russia;;RPU;;2018-12-21;Russia;;Bologda;Russian North Tournament
Aleksandr Vasilev;M;SBD;Wraps;30;24-34;24-39;Open;71;75;160;170;-175;;170;100;-107.5;;;100;170;182.5;-190;;182.5;452.5;2;336.60;335.47;324.91;67.88;;Russia;;IPL;IPL;2018-12-06;Russia;LEN;St. Petersburg;World Championships
Aleksandr Vasilev;M;SBD;Wraps;31;24-34;24-39;Pro Open;60;60;135;140;145;;145;105;-110;110;;110;180;190;200;;200;455;1;384.04;388.06;378.94;74.62;;Russia;;WRPF;WRPF;2018-12-02;Russia;;Rostov-on-Don;Cold Steel Tournament
